startdate,VPNr,Exp,HMI,VPCode,Alter,Geschlecht,Erfahrung,KilometerJahr,Sehhilfe,Farbfehlsichtigkeit,Farbfehlsichtigkeit2,Vorwissen,FAS.CC,FAS.ACC,FAS.LKA,FAS.NoFAS,OftCC,AutomarkeCC,OftACC,AutomarkeACC,OftLKA,AutomarkeLKA,TC01_LevelSel,TC01_LevelOthers,TC01_ChangeAvail,TC01_ChangeAvailSel,TC01_ChangeAvailOthers,TC01_HandsOffAllow,TC01_EmailsAllow,TC01_RemarksTP,TC01_RemarksTL,TC01_ER,TC02_LevelSel,TC02_LevelOthers,TC02_ChangeAvail,TC02_ChangeAvailSel,TC02_ChangeAvailOthers,TC02_HandsOffAllow,TC02_EmailsAllow,TC02_RemarksTP,TC02_RemarksTL,TC02_ER,TC03_LevelSel,TC03_LevelOthers,TC03_ChangeAvail,TC03_ChangeAvailSel,TC03_ChangeAvailOthers,TC03_HandsOffAllow,TC03_EmailsAllow,TC03_TransProblems,TC03_TransProblemsOthers,TC03_RemarksTP,TC03_RemarksTL,TC03_ER,TC04_LevelSel,TC04_LevelOthers,TC04_ChangeAvail,TC04_ChangeAvailSel,TC04_ChangeAvailOthers,TC04_HandsOffAllow,TC04_EmailsAllow,TC04_RemarksTP,TC04_RemarksTL,TC04_ER,TC05_LevelSel,TC05_LevelOthers,TC05_ChangeAvail,TC05_ChangeAvailSel,TC05_ChangeAvailOthers,TC05_HandsOffAllow,TC05_EmailsAllow,TC05_TransProblems,TC05_TransProblemsOthers,TC05_RemarksTP,TC05_RemarksTL,TC05_ER,TC06_LevelSel,TC06_LevelOthers,TC06_ChangeAvail,TC06_ChangeAvailSel,TC06_ChangeAvailOthers,TC06_ChangeAvailReasonSel,TC06_ChangeAvailReasonOthers,TC06_HandsOffAllow,TC06_EmailsAllow,TC06_RemarksTP,TC06_RemarksTL,TC06_ER,TC07_LevelSel,TC07_LevelOthers,TC07_ChangeAvail,TC07_ChangeAvailSel,TC07_ChangeAvailOthers,TC07_HandsOffAllow,TC07_EmailsAllow,TC07_RemarksTP,TC07_RemarksTL,TC07_ER,TC08_LevelSel,TC08_LevelOthers,TC08_ChangeAvail,TC08_ChangeAvailSel,TC08_ChangeAvailOthers,TC08_HandsOffAllow,TC08_EmailsAllow,TC08_RemarksTP,TC08_RemarksTL,TC08_ER,TC09_LevelSel,TC09_LevelOthers,TC09_ChangeAvail,TC09_ChangeAvailSel,TC09_ChangeAvailOthers,TC09_HandsOffAllow,TC09_EmailsAllow,TC09_TransProblems,TC09_TransProblemsOthers,TC09_RemarksTP,TC09_RemarksTL,TC09_ER,TC10_LevelSel,TC10_LevelOthers,TC10_ChangeAvail,TC10_ChangeAvailSel,TC10_ChangeAvailOthers,TC10_ChangeAvailReasonSel,TC10_ChangeAvailReasonOthers,TC10_HandsOffAllow,TC10_EmailsAllow,TC10_TransProblems,TC10_TransProblemsOthers,TC10_RemarksTP,TC10_RemarksTL,TC10_ER,TC11_LevelSel,TC11_LevelOthers,TC11_ChangeAvail,TC11_ChangeAvailSel,TC11_ChangeAvailOthers,TC11_HandsOffAllow,TC11_EmailsAllow,TC11_TransProblems,TC11_TransProblemsOthers,TC11_RemarksTP,TC11_RemarksTL,TC11_ER,TC12_LevelSel,TC12_LevelOthers,TC12_ChangeAvail,TC12_ChangeAvailSel,TC12_ChangeAvailOthers,TC12_ChangeAvailReasonSel,TC12_ChangeAvailReasonOthers,TC12_HandsOffAllow,TC12_EmailsAllow,TC12_TransProblems,TC12_TransProblemsOthers,TC12_RemarksTP,TC12_RemarksTL,TC12_ER,UMUX01,UMUX02,UMUX03,UMUX04,SUS01,SUS02,SUS03,SUS04,SUS05,SUS06,SUS07,SUS08,SUS09,SUS10,Trust,Acceptance,UEQ01,UEQ02,UEQ03,UEQ04,UEQ05,UEQ06,UEQ07,UEQ08,UEQ09,UEQ10,UEQ11,UEQ12,UEQ13,UEQ14,UEQ15,UEQ16,UEQ17,UEQ18,UEQ19,UEQ20,UEQ21,UEQ22,UEQ23,UEQ24,UEQ25,UEQ26,GutGefallen,NichtGefallen,Verbessern,Anmerkungen,AnstrengendWenden,Uebel,AllgAnregungen
2020-08-13 10:04:13,76,1,LC,CL_RI_4,29,1,3,2,0,0,,3,1,1,1,0,3,"Holden (australische Automarke, gehört zu Opel), Mazda, BMW, Audi, Hyundai, Volvo, VW",2,"VW, Audi, BMW, Hyundai, Volvo",2,"VW, Audi, BMW, Hyundai",0,NA,0,NA,NA,0,0,NA,,1,0,NA,1,2,,0,0,NA,,1,4,,0,NA,NA,1,1,0,,NA,erste mode dann fas (prüfen,1,4,NA,0,NA,NA,1,1,NA,,1,2,NA,0,NA,,0,0,0,,NA,,1,2,NA,1,5,,0,,0,0,,kurz unsicher wegen hands on,1,2,NA,0,NA,NA,0,0,,,1,2,NA,1,2,NA,0,0,NA,,1,4,NA,0,NA,NA,1,1,0,NA,NA,,1,0,NA,1,7,,0,,0,0,0,,schneller wenn gleich aus knopf gedrückt hätte (heißt erst mode dann fas gedrückt),,2,4,NA,1,2,NA,1,1,0,NA,NA,,1,0,NA,1,8,,99,systemfehler,0,0,0,,evtl überreagiert wegen bremsen,,2,7,2,7,1,4,1,5,1,4,1,5,2,4,1,4,5,6,7,6,1,3,2,4,6,1,6,7,2,7,4,2,5,3,2,4,7,2,7,1,4,4,1,"Einfache Gestaltung, übersichtliche Elemente, Redundanz über Farbe und Symbol, eindeutig","Hat mir gar nicht gefallen: Kein Ton o.ä. bei Systemfehler
War gewöhnungsbedürftig: Ich bin es vom ACC gewohnt, dass erst das System eingeschaltet und dann nochmal aktiviert werden muss. Hier war beim Einschalten das assistierte Fahren gleich aktiviert","Ein Ton oder taktiles Feedback beim Systemfehler und Übernahmeaufforderung
An das kombinierte Einschalten und Aktivieren könnte man sich vermutlich gut gewöhnen
Die Farbwahl (blau assistiert, gelb automatisiert) finde ich persönlich nicht eindeutig. Würde es eher anders herum erwartet.",,2,3,"Warum wird in der Ansage beim Wenden immer gesagt, dass man in die letzte gefahrene Automatisierungsstufe geschaltet werden soll, wenn es durch den Versuchsfahrer sowieso explizit angesagt wird?"
2020-08-13 13:34:00,77,1,LC,Ma_Ri_8,27,0,2,1,1,0,,3,1,0,1,0,2,"VW, Mercedes, BMW",NA,,0,BMW,0,NA,0,NA,NA,0,0,NA,,1,0,NA,1,2,,0,0,NA,,1,2,,0,NA,NA,0,0,1,nicht eindeutig,NA,"nur assistiert geschaltet
wusste nicht welcher modus er war
auch knöpfe unklar; wurde von mir erklärt
Zusätzlich Bügel Dikablis war im Weg",5,4,NA,0,NA,NA,1,1,NA,,1,2,NA,0,NA,,0,0,0,,NA,,1,2,NA,1,5,,0,,0,0,,,1,2,NA,0,NA,NA,0,0,,,1,2,NA,1,2,NA,0,0,NA,,1,4,NA,0,NA,NA,1,1,0,NA,NA,,1,0,NA,1,4,,1,,0,0,1,"erwartet system wechselt automatisch wenn er hände ans lenkrad nimmt
system soll wechseln seiner meinung nach
",,,5,4,NA,1,2,NA,1,1,0,NA,NA,,1,0,NA,1,6,,0,,0,0,0,,,durch bremsen,2,2,5,4,3,4,2,4,3,4,2,5,2,2,2,3,2,5,3,4,2,3,2,3,4,4,5,5,4,4,4,5,4,6,5,5,6,2,6,2,4,4,4,sehr minimalistische Darstellung. Keine überfrachtung des Kombidisplays,Multimodale Aufforderung wäre besser zu erkennen. Dass der Übergang von lvl 3 zu manuell erkannt wird ist eher zufall ob man gerade in das kombidisplay sieht. Botschaften was zu tun ist nicht beim ersten mal direkt eindeutig. Nach einmaligem Erklären aber sehr nachvollziehbar.,"Multimodalität einführen. 
Eindeutigere Handlungsaufforderungen 
Deutlichere Abhebung welche Modi aktuell verfügbar sind",,1,3,
2020-08-14 11:45:00,51,1,LC,He_Ha_5,54,1,4,1,1,0,,1,1,0,0,0,2,BMW,NA,,NA,,0,NA,0,NA,NA,0,0,NA,,1,0,NA,1,2,,0,0,NA,,1,4,,0,NA,NA,1,1,1,richtigen knopf nicht gefunden,NA,"2 mal Mod bevor Fas taste, dann nochmals mehrmals mod, war sich unsicher welcher modus welcher ist",4,4,NA,0,NA,NA,1,1,NA,Übersteuert durch fas taste das System,1,2,NA,0,NA,,0,0,1,schalter nicht gleich gefunden,NA,"mod schon gleich gefunden meiner meinung, 
zu beginn vor versuchsfahrt (ton) ansage von mir(!) ins automatisierte zu schalten, weil sie nur in assistiert war (aber war vor Ton) GRUND: Nicht mehr sicher welcher Modus welcher ist",2,2,NA,1,5,,99,systemfehler,0,0,kompliziert alles,"ins automatisierte geschalten, obwohl assistiert angesagt vor Versuchsbeginn (ton), Ansage von mir!, GRUND: Nicht mehr sicher welcher Modus welcher ist",1,2,NA,0,NA,NA,0,0,,,1,4,NA,1,2,NA,1,1,NA,"schaltet bei reiner verfügbarkeit in automatisiert, deshalb ach die Antworten gegeben, dass sie im automatisierten fahren war",1,4,NA,0,NA,NA,1,1,0,NA,NA,,1,0,NA,1,8,,1,,0,0,0,,,durch fas übersteuert,1,4,NA,0,NA,NA,1,1,0,NA,NA,"Änderung vergessen anzugeben, aber geschaltet, deswegen auf jeden fall erkannt",1,0,NA,1,8,,2,,0,0,1,"weil erst notbremsen erkannt, meint deswegen hatte sie probleme",,"nicht erkannt das sensorfehler, bei notbremsung erst gebremst",4,3,5,2,4,2,3,3,3,2,2,4,3,4,3,2,3,3,3,2,5,4,2,3,2,3,4,3,5,1,3,6,2,6,4,4,4,6,4,4,4,5,4,Das automatisierte Fahren,"Immer den ständigen zusätzlichen Blick auf das Display ob Aufforderungen kommen, zu kurze Anzeigen","Die Veränderungen sollten den Fahrer mit Tönen signalisiert werden, sodass der ständige Wechsel des Blickwinkels vermindert wird. ",Nein ,5,4,
2020-08-15 11:33:22,52,1,LC,Co_Ca_16,24,1,4,2,0,0,,0,0,0,0,1,NA,,NA,,NA,,0,NA,0,NA,NA,0,0,NA,,1,2,NA,1,2,,1,1,NA,"meinte bereits durch Verfügbarkeit befindet sie sich im Assistierte/Automatisierten Fahren, hat sich mit Nebenaufgabe beschäftigt",5,4,,0,NA,NA,0,0,0,,NA,"Hände Lenkrad sagt sie nein, wegen Aufforderung da hat sie es gemerkt,
nur 1 mal FAS meint dadurch sie ist im automatisierten Fahren,
Hands on kam und sie nahm hände ans lenkrad",5,4,NA,0,NA,NA,1,1,NA,"Bei 1. Ton zu Versuchsbeginn übersteuert durch Bremsen, 
Aufforderung VL Wieder in Automatisiert zu schalten (war nur Missverständnis)",2,2,NA,1,99,konnte jetzt wechseln,0,0,0,,NA,"unsicher welcher Modus was macht und in welchem Modus Sie wirklich ist.
Hat noch einmal in Automatisiert geschaltet um zu testen (Bedienfehler unsicherheit)",4,2,NA,1,5,,0,,0,0,,"Hat vor Versuchsbeginn in Automatisiert geschaltet, Ansage von mir soll in assistiert schalten
Unsicherheit bei den Stufen (Anzeige vermutlich schlecht)",4,2,NA,0,NA,NA,0,0,,hat erst mod dann fas taste gedrückt um in assistiert zu schalten. Tasten unklar.,3,2,NA,1,2,NA,0,0,NA,"hat sich mit nebenaufgabe beschäftigt, dann hands on meldung, nimmt hände ans lenkrad
wusste nicht mehr, dass nur in automatisiert nebenaufgabe benutzt werden darf",2,4,NA,0,NA,NA,1,1,0,NA,NA,,2,0,NA,1,7,,0,,0,0,0,,,"sagt selber kein Problem bei wechsel, hat aber mehrmals MOD Taste dann erst FAS Taste zum übersteuern",3,4,NA,1,2,NA,1,1,0,NA,NA,,1,0,NA,1,8,,0,,0,0,0,,,"Übersteuert durch FAS, KEINE Notbremsung",2,3,1,7,6,4,1,4,1,4,1,5,1,5,2,3,4,5,6,3,7,2,7,6,4,2,2,6,2,7,6,7,6,2,3,5,6,2,4,2,2,2,6,"Die Umstellung in die verschiedenen Automationsstufen waren nach zweimaliger Betätigung leicht zu merken und schnell erlernt.
Die verschiedenen Automationsstufen Ansich, so ist es für jede Situation perfekt einzustellen.","In der ersten Fahrt etwas verwirrt. 
Wenn man sich im Automatisierten Fahren mit der Nebenaufgabe beschäftigt, bekommt man Übernahme Aufforderung nicht mit, außer man schaut durch Zufall auf den Display.",Evtl. Töne einbauen um Übernehme zu bemerken,,1,1,
2020-08-19 07:55:00,53,1,LC,Ir_Ro_9,28,0,3,1,0,1,Rot-Grün_Schwäche leicht,0,1,0,0,0,3,"BMW, VW",NA,,NA,,0,NA,0,NA,NA,0,0,NA,,1,0,NA,1,2,,0,0,NA,,1,4,,0,NA,NA,1,1,0,,NA,"zögrnd aber richtig, nimmt eine hand nicht weg",2,4,NA,0,NA,NA,1,1,NA,"nimmt eine hand nicht weg, obwohl er weiß dass er wegnehmen darf",1,2,NA,0,NA,,0,0,0,,NA,"nach wechsel daumen noch am bedienelement, unsicherheit",2,2,NA,1,5,,0,,0,0,,,1,2,NA,0,NA,NA,0,0,"skala jetzt erst erkannt, kann nicht sagen ob bereits davor ausgegraut war von TC7",,1,2,NA,1,2,NA,0,0,NA,,1,4,NA,0,NA,NA,1,1,0,NA,NA,schaut sehr oft auf kombidisplay in automatisierter fahrt,1,0,NA,0,NA,,NA,,0,0,1,"wollte erst durch FAS taste vermutlich nicht getroffen weil FAS war richtig, dann gebremst (eigentlicher plan war FAS Taste)",,"Skala wird nicht wahrgenommen, auch keine Änderung, nur dass man manuell Fahren soll",2,4,NA,1,2,NA,1,1,0,NA,NA,nimmt die linke Hand nie vom Lenkrad,1,0,NA,1,8,,0,,0,0,0,,Bremsen übersteuert und zusätzlich eigentlich gleichzeit mit tasten und dadurch nochmals angeschaltet in assistiert,,3,6,1,6,1,3,1,4,1,4,1,4,1,3,1,3,3,5,1,4,6,3,5,5,3,3,3,4,3,5,5,5,5,4,4,3,4,3,5,3,3,3,4,"relativ intuitiv
klare Ansagen und verständliche Symbole
","bei Fehlern/Notwendigkeit wieder manuell zu übernehmen, wäre ein intensiver Warnton sinnvoll",Warnton s.o.,,1,1,
2020-08-19 13:36:52,54,1,LC,BR_GO_14,50,0,4,3,0,0,,2,1,0,0,0,0,Mietwagen,NA,,NA,,0,NA,0,NA,NA,0,0,NA,,1,0,NA,1,1,,0,0,NA,,1,2,,0,NA,NA,0,0,0,,NA,"Nur 1 mal FAS in Assitiert, dann kam hands on, nimmt hände wieder ans lenkrad, wusste auch dass er in assistiert war",4,4,NA,0,NA,NA,1,1,NA,,1,2,NA,0,NA,,0,0,0,,NA,,1,2,NA,1,5,,0,,0,0,,,1,2,NA,0,NA,NA,0,0,,,1,2,NA,1,2,NA,0,0,NA,,1,4,NA,0,NA,NA,1,1,0,NA,NA,,1,0,NA,1,8,,0,,0,0,0,,"Sie Systemgrenze nichts vorstellen, eher auch nur aus dem Augenwickel nur erkannt, hat vorschläge wie besser (Töne)",Drück FAS Taste zum übersteuern und relativ spät,2,4,NA,1,2,NA,1,1,0,NA,NA,,1,0,NA,1,5,,1,,0,0,0,,,"Notbremsung kommt, bremst daraufhin ab",3,6,2,5,1,4,1,4,1,4,2,5,1,4,1,4,5,6,6,3,1,2,5,6,5,2,4,6,2,6,6,4,5,2,3,2,6,2,6,2,2,3,4,"Einfach, übersichtlich, fesselnde Nebenaufgabe",Keine akustischen Warnsignale,Unbedingt Warnsignale bzw. Hinweistöne bei Status-Wechsel der Automatisierungs-Verfügbarkeit,Hinweis im Automatisierten Fahren sehr leicht zu übersehen bei Beschäftigung mit der Nebenaufgabe,1,2,
2020-08-19 16:09:30,55,1,LC,BR_RO_20,34,0,4,2,0,0,,0,1,1,1,0,3,BMW / AUDI / VW,2,BMW / AUDI / VW,2,BMW / AUDI / VW,0,NA,0,NA,NA,0,0,NA,,1,4,NA,1,2,,1,1,NA,"schaltet bereits bei Verfügbarkeit in automatisiert, ohne große Probleme",3,4,,0,NA,NA,1,1,0,,NA,,2,4,NA,0,NA,NA,1,1,NA,,1,2,NA,0,NA,,0,0,0,,NA,,2,2,NA,0,NA,,NA,,0,0,,,1,2,NA,0,NA,NA,0,0,,,1,2,NA,0,NA,NA,0,0,NA,Verfügbarkeit nicht erkannt,1,4,NA,0,NA,NA,1,1,0,NA,NA,,1,0,NA,0,NA,,NA,,0,0,0,,,"vermutet er hätte wieder einschalten können, erst spät erkannt Fehler, dann nicht gewusst was zu tun, dann notbremsung, dann erst gebremst 
hat die Fehlermeldung nicht wirklich wahrgenommen",4,4,NA,0,NA,NA,1,1,0,NA,NA,erkennt die Änderung der Verfügbarkeit nicht für alle TCs,1,0,NA,1,8,,0,,0,0,0,,,"wieder bis Notbremsung, dann erst gebremst",3,4,2,7,2,4,1,5,1,5,1,5,1,4,1,4,5,6,7,4,1,2,4,5,6,3,2,6,2,6,4,6,6,3,4,3,6,2,6,2,2,3,6,leichte Bedienbarkeit,unauffällige Warnhinweise,"Wenn kritische Situationen auftreten, auf diese auch deutlicher aufmerksam machen",,2,2,viel Erfolg
2020-08-21 07:31:00,56,1,LC,ED_ER_2,67,0,3,0,0,0,,2,1,0,0,0,5,Honda,NA,,NA,,0,NA,0,NA,NA,0,0,NA,,1,0,NA,0,NA,,0,0,NA,,1,4,,0,NA,NA,0,0,0,,NA,"Nur 1 mal FAS, somit nur in assistiert, Hände aber am Lenkrad, antwortet er war in automatisiert, antwortet er darf hände aber nicht wegnehmen?!, Erklärung von mir",5,4,NA,0,NA,NA,1,1,NA,"spielt kein SURT, vergessen oder unklar, Erklärung von mir nochmals dass er spielen kann",2,2,NA,1,99,meint er war im automatisierten,0,0,0,,NA,"er weiß nicht mehr, dass er selber in assistiert geschaltet hat, denkt dass wo hands on aufforderung kam, dass Sysrem selber gewechselt hat, hat keinen Überblick über HMI und Stufen und Anzeigen (Texte)",3,2,NA,1,99,nicht verstanden,2,,0,0,,"sieht zwar Text, versteht ihn aber nicht, da zu kurz, somit auch keine Änderung der Verfügbarkeit erkannt, HMI zu schlecht",1,2,NA,0,NA,NA,0,0,,,1,2,NA,1,2,NA,0,0,NA,"sieht und liest verfügbarkeit, antwortet auch dementsprechend, drückt aber zu Beginn 1 mal MOD dann erst FAS um in Assistiert zu kommen",3,4,NA,0,NA,NA,1,1,0,NA,NA,"wieder MOD 2mal um in Assistiert zu kommen, dann erst FAS, auch in TC 8 mit MOD versucht, davor immer richtig gemacht ?!",3,0,NA,0,NA,,NA,,0,0,0,,,"nimmt nichts wahr, Notbremsung kommt, Aufforderung von mir zu Bremsen, dadurch auch Antwort keine Probleme bei Wechsel zwischen Stufen, siehe frage davor",5,4,NA,0,NA,NA,1,1,0,NA,NA,"sieht auf Video Verfügbarkeitsänderung sagt aber nein, Handelt aber richtig bei Durchsage, nimmt Verfügbarkeit nicht wahr oder vergessen wegen Durchsage, Problem auch bei anderen PProbanden",2,0,NA,0,NA,,NA,,0,0,0,,,"nimmt nichts wahr, Notbremsung kommt, nur auf meine Aufforderung bremst er dann, nimmt keine Verfügbarkeitsänderung wahr, deswegen auch keine Probleme bei Wechsel zu manuell",5,5,3,4,2,4,2,3,2,4,1,4,2,3,1,4,4,5,4,2,3,2,5,6,6,1,2,7,1,4,6,6,5,2,2,3,2,3,3,2,2,2,6,"Darstellung im Display

","Schriftliche Darstellung
",,,1,2,
2020-08-21 09:54:58,57,1,LC,GE_JO_1,23,1,4,1,2,0,,3,1,0,1,0,3,"Audi, BMW, VW, Mercedes",NA,,4,"Audi, BMW",0,NA,0,NA,NA,0,0,NA,,1,0,NA,1,2,,0,0,NA,,1,4,,0,NA,NA,0,0,0,,NA,"drückt 1 mal FAS und ist in Assistiert, Antwortet sie ist in Automatisiert, hat noch Hände am Lenkrad, antwortet auch sie darf Hände nicht wegnehmen?!",2,2,NA,0,NA,NA,0,0,NA,"unsicher welches Level sie sich befindet, Anzeige zu schlecht, spielt deshalb auch kein SURT, Erklärung von mir",2,2,NA,0,NA,,0,0,0,,NA,,1,2,NA,1,5,,0,,0,0,,,1,2,NA,0,NA,NA,0,0,,,1,2,NA,1,2,NA,0,0,NA,"drückt bei Ton Versuchsbeginn kurz aus, dann wieder an",1,4,NA,0,NA,NA,1,1,0,NA,NA,"immer 1 Hand am Lenkrad immer noch, aber volles Verständnis",1,0,NA,0,NA,,NA,,0,0,0,,,"nimmt nichts wahr, Notbremsung kommt, Aufforderung von mir zu bremsen, Frage nach Probleme bei Übersteuern hinfällig",5,4,NA,1,2,NA,1,1,0,NA,NA,1 Hand immer am Lenkrad,1,0,NA,1,99,weiß nicht ob noch was verfügbar wäre,0,,0,0,0,,,"sieht Fehler drückt MOD, dann kommt Notbremsung, sie bremst daraufhin",4,6,2,6,2,5,1,5,1,4,1,4,1,4,4,4,4,6,7,3,1,2,7,7,6,1,2,7,1,7,6,6,6,2,4,2,6,2,6,2,2,2,7,"Das automatisierte Fahren testen, ist eine sehr hilfreiche und auch bereichernde Erfahrung.",,,,1,1,
2020-08-22 10:35:42,58,1,LC,Er_Mi_22,24,0,4,2,0,0,,2,0,0,0,1,NA,,NA,,NA,,0,NA,0,NA,NA,0,0,NA,,1,0,NA,1,2,,0,0,NA,,1,4,,0,NA,NA,1,1,0,,NA,,2,4,NA,0,NA,NA,1,1,NA,,1,2,NA,0,NA,,0,0,0,,NA,,1,2,NA,0,NA,,NA,,0,0,,"Unsicher ob er im assistierten auch Hände wegnehmen darf, Nachfrage und Antwort von mir",1,2,NA,0,NA,NA,0,0,,,1,2,NA,1,2,NA,0,0,NA,,1,4,NA,0,NA,NA,1,1,0,NA,NA,,1,0,NA,1,7,,99,Notbremsung,0,0,0,,"Schlechte Warnung, soll Ton geben...","Nimmt nichts wahr, erst bei Notbremsung schaut er hin und übersteuert durch FAS",2,4,NA,1,2,NA,1,1,0,NA,NA,,1,0,NA,1,7,,0,,0,0,1,"hat instinktiv auf Bremse gedrückt, vielleicht nicht das beste",,FAS und gebremst,2,1,3,6,4,1,2,4,1,3,2,4,2,2,1,1,1,5,5,3,2,2,7,7,2,2,2,7,5,6,7,7,6,7,6,3,6,2,6,1,1,1,6,"einfach gestaltetes Display, einfach verständliche Symbole","Warnhinweise brauchen Töne , sonst ist das System völlig unbenutzbar und unsicher","Warntöne, wenn Sensorfehler oder Notbremsung auftritt",,1,1,
