startdate,VPCode,VPNr,Exp,HMI,Alter,Geschlecht,Nation,NationGeb,NationGeb2,Farbfehlsichtigkeit,Farbfehlsichtigkeit2,Erfahrung,KilometerJahr,Vorwissen,FAS.CC,FAS.ACC,FAS.LKA,FAS.NoFAS,OftCC,AutomarkeCC,OftACC,AutomarkeACC,OftLKA,AutomarkeLKA,VSM01,VSM02,VSM03,VSM04,VSM05,VSM06,VSM07,VSM08,VSM09,VSM10,VSM11,VSM12,VSM13,VSM14,VSM15,VSM16,VSM17,VSM18,VSM19,VSM20,VSM21,VSM22,VSM23,VSM24,UsabFact01,UsabFact02,UsabFact03,UsabFact04,UsabFact05,UsabFact06,UsabFact07,UsabFact08,UsabFact09,UsabFact10,UsabFact11,UsabFact12,UsabFact13,UsabFact14,UsabFact15,UsabFact16,UsabFact17,UsabFact18,UsabFact19,UsabFact20,UsabFact21,UsabFact22,UsabFact23,UsabFact24,TPComments_PreQ,Wetter,Licht,SehhilfeAuto,SehhilfeLesen,SehhilfeAutoJetzt,SehhilfeLesenJetzt,TC01_LevelSel,TC01_LevelOthers,TC01_ChangeAvail,TC01_ChangeAvailSel,TC01_ChangeAvailOthers,TC01_HandsOffAllow,TC01_EmailsAllow,TC01_ER,TC01_RemarksTP,TC01_RemarksTL,TC02_LevelSel,TC02_LevelOthers,TC02_ChangeAvail,TC02_ChangeAvailSel,TC02_ChangeAvailOthers,TC02_HandsOffAllow,TC02_EmailsAllow,TC02_ER,TC02_RemarksTP,TC02_RemarksTL,TC03_LevelSel,TC03_LevelOthers,TC03_ChangeAvail,TC03_ChangeAvailSel,TC03_ChangeAvailOthers,TC03_HandsOffAllow,TC03_EmailsAllow,TC03_TransProblems,TC03_TransProblemsOthers,TC03_ER,TC03_RemarksTP,TC03_RemarksTL,TC04_LevelSel,TC04_LevelOthers,TC04_ChangeAvail,TC04_ChangeAvailSel,TC04_ChangeAvailOthers,TC04_HandsOffAllow,TC04_EmailsAllow,TC04_ER,TC04_RemarksTP,TC04_RemarksTL,TC05_LevelSel,TC05_LevelOthers,TC05_ChangeAvail,TC05_ChangeAvailSel,TC05_ChangeAvailOthers,TC05_HandsOffAllow,TC05_EmailsAllow,TC05_TransProblems,TC05_TransProblemsOthers,TC05_ER,TC05_RemarksTP,TC05_RemarksTL,TC06_LevelSel,TC06_LevelOthers,TC06_ChangeAvail,TC06_ChangeAvailSel,TC06_ChangeAvailOthers,TC06_ChangeAvailReasonSel,TC06_ChangeAvailReasonOthers,TC06_HandsOffAllow,TC06_EmailsAllow,TC06_ER,TC06_RemarksTP,TC06_RemarksTL,TC07_LevelSel,TC07_LevelOthers,TC07_ChangeAvail,TC07_ChangeAvailSel,TC07_ChangeAvailOthers,TC07_HandsOffAllow,TC07_EmailsAllow,TC07_ER,TC07_RemarksTP,TC07_RemarksTL,TC08_LevelSel,TC08_LevelOthers,TC08_ChangeAvail,TC08_ChangeAvailSel,TC08_ChangeAvailOthers,TC08_HandsOffAllow,TC08_EmailsAllow,TC08_ER,TC08_RemarksTP,TC08_RemarksTL,TC09_LevelSel,TC09_LevelOthers,TC09_ChangeAvail,TC09_ChangeAvailSel,TC09_ChangeAvailOthers,TC09_HandsOffAllow,TC09_EmailsAllow,TC09_TransProblems,TC09_TransProblemsOthers,TC09_ER,TC09_RemarksTP,TC09_RemarksTL,TC10_LevelSel,TC10_LevelOthers,TC10_ChangeAvail,TC10_ChangeAvailSel,TC10_ChangeAvailOthers,TC10_ChangeAvailReasonSel,TC10_ChangeAvailReasonOthers,TC10_HandsOffAllow,TC10_EmailsAllow,TC10_TransProblems,TC10_TransProblemsOthers,TC10_ER,TC10_RemarksTP,TC10_RemarksTL,TC11_LevelSel,TC11_LevelOthers,TC11_ChangeAvail,TC11_ChangeAvailSel,TC11_ChangeAvailOthers,TC11_HandsOffAllow,TC11_EmailsAllow,TC11_TransProblems,TC11_TransProblemsOthers,TC11_ER,TC11_RemarksTP,TC11_RemarksTL,TC12_LevelSel,TC12_LevelOthers,TC12_ChangeAvail,TC12_ChangeAvailSel,TC12_ChangeAvailOthers,TC12_ChangeAvailReasonSel,TC12_ChangeAvailReasonOthers,TC12_HandsOffAllow,TC12_EmailsAllow,TC12_TransProblems,TC12_TransProblemsOthers,TC12_ER,TC12_RemarksTP,TC12_RemarksTL,UMUX01,UMUX02,UMUX03,UMUX04,SUS01,SUS02,SUS03,SUS04,SUS05,SUS06,SUS07,SUS08,SUS09,SUS10,Trust,Acceptance,UEQ01,UEQ02,UEQ03,UEQ04,UEQ05,UEQ06,UEQ07,UEQ08,UEQ09,UEQ10,UEQ11,UEQ12,UEQ13,UEQ14,UEQ15,UEQ16,UEQ17,UEQ18,UEQ19,UEQ20,UEQ21,UEQ22,UEQ23,UEQ24,UEQ25,UEQ26,GutGefallen,NichtGefallen,Verbessern,Anmerkungen,AnstrengendWenden,Uebel,SpeechChangeAvailUp.SOCAUpYes.,SpeechChangeAvailUp.SOCAUpNot.,SpeechChangeAvailDow.SOCADoYes.,SpeechChangeAvailDow.SOCADoNot.,SpeechTransition.SOTransYes.,SpeechTransition.SOTransNot.,SpeechTOR.SOTORYes.,SpeechTOR.SOTORNot.,SpeechHOD.SOHODYes.,SpeechHOD.SOHODNot.,SpeechOperationError.SOOpErrYes.,SpeechOperationError.SOOpErrNot.,SpeechAddressing.SOAddressing.,SpeechComments,AllgAnregungen
2021-07-07 07:16:46,LI_JO_9,1,3,HC,21,0,US and German,0,,0,,2,0,0,1,0,0,0,1,"Toyota, Audi, BMW",NA,,NA,,1,2,3,2,2,1,1,1,2,3,1,3,2,3,1,4,3,3,2,4,2,1,3,3,5,6,6,5,5,6,5,3,4,4,6,5,2,5,5,4,4,4,4,6,5,0,4,6,,2,2,0,0,NA,NA,0,,0,NA,NA,0,0,1,,,2,,1,99,Ass or wut available,1,0,2,,,4,,0,NA,,1,1,0,,1,,Car irritating,4,,0,NA,,1,1,1,,,2,,0,NA,,1,0,0,,1,,,2,,1,5,,0,,0,0,2,,Takes hands to steering wheel after hod,2,,0,NA,,1,0,2,,,2,,1,2,,1,0,2,I think I need to keep hands close to steering wheel in case sth goes wrong,,4,,0,NA,,1,1,0,,2,,,0,,1,5,,NA,Limitation ahead,0,0,1,Slightly unsure how to get back to manual driving,2,,,4,,1,1,,1,1,0,NA,1,,,0,,1,8,,0,,0,0,0,,1,,,6,2,6,3,5,1,4,1,5,1,4,1,3,2,4,5,7,6,2,6,1,7,7,5,2,2,7,1,5,7,6,7,2,1,1,7,2,7,1,1,1,7,The symbols were quite clear and the system gave me ample time to react to warnings and such.,It was sometimes unclear how to get back into manual driving mode,"Maybe separate the button that allows for switching the automation levels up and down, it could be confusing to know if i was currently going up in automation levels or if i was going down","I really liked the flashing lights and signal warning, they were quite clear. This was also the first time I ever drove an automated car, so the experience was quite new and I did not fully trust the system at the beginning",2,1,0,4,0,4,0,4,0,4,0,4,0,3,2,"I feel the system that i just used could definitely use more speech outputs, I have the worry that if something happends to the automated driving, such as a limitation ahead, I might be respond to it quick enough without a clear speech output",I really enjoyed the study and it quite fun to drive what felt like a super futuristic car! Only thing I would change is the tightness on the eye tracker.
2021-07-07 08:58:50,LO_BI_6,51,3,LC,41,0,USA,0,,0,,3,3,2,1,1,1,1,3,"BMW, Jeep, Nissan",3,"BMW, Jeep, Nissan",3,"BMW, Jeep, Nissan",1,2,2,2,2,2,2,2,4,2,2,5,2,3,4,2,4,1,1,3,2,2,3,3,5,6,6,5,5,5,5,3,5,5,5,2,0,4,5,6,3,4,5,5,6,0,4,5,No questions or comments. ,2,2,0,0,NA,NA,99,Far left \\ automated?,0,NA,NA,0,1,1,"I would not feel comfortable while driving automated, Id still be knowing that Im in control",,0,,0,NA,,0,0,1,Secondary activities are very distracting,,99,Full automated,0,NA,,0,0,0,,2,Hesitant at first. I felt the need to monitor the system,,99,Fully automatic and cc,0,NA,,0,0,1,"The more I get used to the car, I get more comfortable I get with letting the car drive
Feel guilty about giving the responsibility away",,2,,1,99,Hod,0,0,1,"Did not know which button to press, not intuitive",3,Dont know difference between assisted and automated ; Only Started to feel comfortable after a while,,2,,0,NA,,NA,,0,0,1,"Assis5 driving, I dont understand what it does. Did not feel need to have foot on accelerator",,2,,0,NA,,0,0,1,"Used to using it, starting to trust it.i dont follow my responsibility,feel guilty",,2,,0,NA,,0,0,1,"Feel more comfortable with secondary activities. Im not ashamed of this I trust it more, I dont look at speed anymore",,4,,0,NA,,0,0,1,Still not intuitively confident with operating the buttons. Becomes easier,3,"Dont know difference between assisted and automated
I guess, automated lets me take off my hands, while assisted is mix of manual and automated",,99,Fully automatic,0,NA,,NA,,0,0,0,,5,After I braked I needed to familiarize myself with how to get back to automated. Took me a while to see and register emergency brake,,99,Automatic,1,2,,0,0,0,NA,2,Way more comfortable with automated driving with doing secondary activities compared to manual driving,,99,Fully automatic,0,NA,,NA,,0,0,0,,2,Fully confident that car can drive itself,,3,6,4,2,4,3,3,1,3,1,4,3,4,4,5,5,5,4,2,4,3,5,5,6,6,6,6,2,3,6,5,6,1,4,2,6,5,6,2,4,4,6,"After a few try´s, I felt the HMI was extremly reliable. The HMI made the driving experience more comfortable.",I felt the HMI was not intuitive and a comfort level needed to be reached into order to be familiar with the controls. ,I would like to have a stronger notification system of HMI changes and warnings. ,Overall a good experience and I would use the HMI on a regular basis when driving. Once I understood how the system worked I would come to rely on it. ,1,1,0,4,0,4,0,4,0,4,0,4,0,4,0,N/A,An enjoayable study. One thing I would like to add is the definition between ''Automated'' and ''Assisted'' driving is still not clear. Deike was a wonderful instructor!
2021-07-07 12:11:58,KA_JO_2,2,3,HC,38,0,USA,0,,0,,1,1,2,1,1,1,0,2,"Audi, Acura, Porsche, Honda",2,"Audi, Acura, Porsche",1,"Porsche, Audi",1,1,2,2,1,1,3,2,3,1,2,3,3,3,4,2,4,1,1,4,1,2,3,3,4,5,6,5,4,6,6,3,4,3,4,3,3,6,6,4,4,3,5,6,6,3,3,5,"I forgot to mention that I've used Mercedes systems as well, but the survey would not let me return to the previous screens to correct the omission.

",2,1,0,0,NA,NA,0,,0,NA,NA,0,0,1,,,0,,1,1,,0,0,1,Manual Icon Loks Like a waning ,,4,,0,NA,,1,1,1,Had to guess which button to use,1,"I dont know whether bigger icon is the active level or the suggested level; slowed me down to 30kmh, felt little bit like an error",,99,Err,0,NA,,0,0,5,,Err,2,,0,NA,,0,0,0,,1,"Intuitive: tried to directly activate l3, but like this way better",,2,,1,5,,NA,Sensor not available,0,0,1,Icon on right confused me,,2,,0,NA,,0,0,1,Anticipated changes in availabilities coming from top,,2,,1,2,,0,0,1,,,4,,0,NA,,1,1,0,,1,"Didnt feel that the car is taking over when switching between manual and assisted, only display informs me",,0,,1,5,,NA,System overloaded\full,0,0,0,,1,,,4,,1,1,,1,1,0,NA,1,"Nothing except for display says the status is okay, on a straight I dont feel the car driving",,0,,1,8,,0,,0,0,0,,1,,,5,2,6,1,4,1,5,1,4,1,4,1,4,1,4,4,6,7,2,2,2,6,6,6,2,3,6,1,6,7,6,6,2,3,2,6,1,7,1,2,2,6,"It was very easy to use, intuitive, and easy to learn. There was not an abundance of options, which made it simple to use on the go.",Sometimes it was hard to tell when I switched to automated driving that the car was in control. It might be helpful to have a physical indication (aside from just the display) that the car was driving autonomously.,See above. Otherwise it was great.,"Nothing more than indicated above or my comments in the car. BMW has a great Navigation interaface vs. their competitors, and I think the design should not drift too far from that.",1,1,1,3,2,2,1,3,0,4,1,4,2,2,0,,
2021-07-07 13:46:12,MI_KH_3,52,3,LC,37,1,United States,0,,0,,3,0,1,1,0,0,0,2,"Mercedes Sprinter, Honda CRV, Nissan Murano",NA,,NA,,1,1,3,2,2,1,3,1,2,2,1,2,1,2,3,2,3,2,3,4,1,3,3,4,3,5,6,5,6,6,5,3,5,3,5,3,2,3,5,6,3,4,5,6,6,3,4,6,"I would have a better ability to answer this questionnaire about the product/interface after I am introduced to it and become familiar, rather than before. ",2,1,0,0,NA,NA,0,,0,NA,NA,0,0,1,,,0,,1,2,,0,0,1,,,4,,0,NA,,1,1,0,,3,"Took wrong level in the beginning, but no problem after hod",,4,,0,NA,,1,1,1,,,2,,0,NA,,0,0,0,,1,,,2,,1,5,,0,,0,0,1," Not sure what Exactly the assisted driving features are, ",,2,,0,NA,,0,0,1,,,2,,1,2,,0,0,1,,,4,,0,NA,,1,1,0,,1,,,0,,1,5,,NA,System failure,0,0,0,,4," No noise, I was distracted ,could be dangerous",,4,,1,1,,1,1,0,NA,1,"Noticed no notification,but the icons are now illuminated",,0,,1,5,,0,,0,0,0,,4,,,3,3,6,1,3,2,4,2,3,2,4,2,3,2,2,2,5,5,4,3,3,4,5,4,3,2,5,4,6,5,5,5,6,3,6,3,4,4,2,2,3,5,"Although the symbol for the assisted driving did not make much sense, it was easy to figure out as it was the middle symbol between the 3 which purose it served. Easy to figure out, intuitave, easy to switch between modes and the displays were easy on the eyes/nice to look at. ","I did not like that there was no sound associated with needing to suddenly switch from automated back to manuel. When something goes wrong in the car, like a sensor or system error, there should be noise/alarm or at the very lease vibration in the steering wheel to notify the driver's attention. If in automated the goal is for the driver to be able to realistically check emails, then they would not be looking constantly at the dashboard for a message to pop up saying that there could be an error and you need to switch back to manual. This feature made no sense to me and seems dangerous, therefore I would not trust using the automated system.","As stated above, there should be a sound or alarm when the driver would need to switch out of automated system to either assisted or manual. Especially is there is a sensor error or emergency braking is needed!","It was a little unclear which exact features were included in the assisted system. Intuitively I could feel that it controls acceleration, and at first I thought it took over the steering because I felt an immediate sensation in the steering wheel when I switched to assisted. However, I learned when the message appeared that I needed to keep my hands on the wheel. I wonder still what the other features of assisted driving would be, since I did not partake in switching lanes or anything other than driving straight.",1,1,0,3,0,4,1,2,0,4,1,3,2,2,0,"I think it would be nice to have the voice feature turned off only for notifications of things that are not safety related,, so that a driver could choose their preference. I think however the speech output for when there are errors or you need to switch back to manual from automated concern safety and therefore should not have the option of being turned off. (Like a safety belt alarm ringing when you don't put it on)","Straightforward, easy and enjoyable experience, aside from the eye mask gave me a headache and began hurting and becoming really uncomfortable the last 15 minutes or so of the driving portion. The person assisting me in the experience was very friendly and helpful and made the experience pleasant for me!"
2021-07-08 07:09:27,GE_RO_16,53,3,LC,28,1,american and german,0,,0,,4,2,2,1,1,1,0,4,"BMW, Mazda, Opel, Suzuki",2,Mazda,2,Mazda,1,1,2,2,2,1,2,2,2,2,1,2,2,3,4,2,4,2,1,1,2,1,3,3,4,5,5,6,5,6,6,4,6,5,6,5,1,5,5,5,6,6,4,6,6,5,5,6,"No, I don't have any questions or comments about the questionnaire. Thank you. ",2,1,3,3,1,1,0,,0,NA,NA,0,0,1,,,0,,1,99,Full automated and second,0,0,3,,,4,,1,3,,1,1,0,,3,,,4,,0,NA,,1,1,2,,,2,,1,3,,1,0,0,,3,"Removing hands is difficult,because I only drive assisted",,2,,0,NA,,NA,,1,0,2,,,2,,0,NA,,0,0,1,,,2,,1,0,,0,0,1,,,4,,0,NA,,1,1,0,,1,,,0,,0,NA,,NA,,0,0,0,,1,,,4,,1,0,,1,1,0,NA,1,,,0,,1,8,,NA,Emergency brake,0,0,0,,5,,,5,1,7,1,5,3,5,1,5,1,5,3,2,5,5,5,7,7,5,1,3,5,5,6,4,4,4,2,6,6,5,6,1,3,2,6,1,6,1,1,1,5,"it is very easy to use, I don`t have to learn so much","I can´t find anything, that was not good. ",A seperate button for assistant driving and one button for automatic driving would be good. ,The human-machine-interface I used was good. And I like the different colours between the different modes. The system was also easy to handle without a lot of instructions. ,3,1,0,3,0,4,0,3,0,4,0,1,0,1,4,"I think, if there any problems like ""there is a sensor error"", the speech outputs are very important and the driver need it always.",The study and also the assistant driving was very interesting and I find the HMI is a very good thing. I would like to need it at every driving with my car. 
2021-07-08 11:51:58,HE_JE_2,54,3,LC,28,0,United States,0,,0,,4,2,4,1,0,1,0,4,"Opel, VW, Audi, BMW, Nissan, Chevrolet, Toyota",NA,,1,"Toyota, BMW",2,3,3,1,2,2,2,1,4,3,1,4,3,5,4,2,3,2,4,3,2,2,1,3,3,5,6,5,6,4,4,3,2,2,4,1,2,6,5,1,2,2,4,5,6,1,2,6,,3,2,0,1,0,0,0,,0,NA,NA,0,0,1,,"Hat L2 & l3 activated, ",0,,0,NA,,0,0,1,,,4,,0,NA,,1,1,1,Took a while to notice how to switch from assisted to automated,3,,,4,,0,NA,,1,1,1,"Strange to focus on surt, not trusting yet",,2,,1,5,,0,0,0,,1,,,0,,1,7,,NA,S.b,0,0,1,,Abgeworfen von auto wegen Regen kurz vor marker,2,,0,NA,,0,0,1,Starting to feel more comfortable with assisted,,2,,0,NA,,0,0,1,,Abgeworfen wegen Regen kurz vor marker,4,,1,0,,1,1,0,,1,Learned that the system does actually steer and maintains speed,,0,,1,8,,0,,0,0,0,,5,Noticing was problematic,Not taken over even though he has seen it and as he said understood it,4,,0,NA,,1,1,0,NA,1,"Sceptically looking at display waiting for a warning, that didnt happen before",,0,,1,4,,0,,0,0,0,,1,"Little awkward that throttle was suddenly turned off
Took the warning seriously this time",,5,2,6,3,2,1,4,1,4,2,5,2,4,2,3,4,5,6,5,1,3,3,5,5,2,3,6,2,6,5,6,5,3,3,2,6,2,6,2,3,3,5,"Quick response to setting the modes, and clarity about which mode I am in was very good. The steering feedback that pushes against small human inputs reminds me that it is working and helps build trust.","I would need more time with the system to develop more trust of it. If it were fitted to my car, and I had several weeks or months to get used to it, I think I would start to use it more often. ","The warning when losing support of automated features needs to be more clear. Especially when one is doing the secondary task, it is very easy to miss all of the warnings indicating that the functionality is going away.","A haptic and auditory feedback is necessary to notice the changes in availability, otherwise it is very easy to miss all of the warnings until the system turns itself off",1,1,0,4,0,4,1,3,0,4,1,4,3,2,0,"Depending on how often the system would be forced to switch between modes, I could see that the constant reminders might become annoying but tolerable. It would be better to have constant reminders than not know what is going on with the car.",Looking forward to see how it would impact the future of BMW cars!
2021-07-08 09:43:02,LI_HE_12,3,3,HC,55,1,USA,0,,0,,3,3,2,1,0,0,0,1,"Toyota, VW",NA,,NA,,2,2,2,2,2,3,3,2,2,2,2,3,3,3,3,2,3,2,2,3,2,3,3,3,4,3,5,5,5,5,5,4,5,4,4,4,3,3,4,4,5,5,3,3,4,4,4,5,,2,1,4,3,0,1,0,,0,NA,NA,0,0,1,,,0,,1,2,,0,0,3,,,4,,0,NA,,1,1,0,,2,,,4,,1,1,,1,1,2,,,2,,0,NA,,0,0,0,,2,"Keep hands on steering wheel in assisted, I know that now",,2,,1,99,Didnt read that part,0,,0,0,1,,,2,,0,NA,,0,0,1,,Distracted by car on track!,4,,1,2,,1,1,1,,,4,,1,1,,1,1,0,,1,,Break because of cars on road,0,,1,8,,NA,Not sure,0,0,0,,5,,Eingreifen,4,,1,1,,1,1,0,NA,1,Understand that you can only activate automated via assisted,,0,,1,8,,NA,Emergency brake,0,0,0,,4,,"Very late take over, Reading difficulties",6,2,6,2,4,2,4,2,4,2,4,3,4,2,4,4,6,6,1,2,2,6,6,5,3,2,4,2,6,6,6,6,4,2,2,6,2,6,2,2,2,6,Everything was easy to use,I liked everything,Not at the moment,No,2,1,0,2,1,1,0,2,1,2,1,2,2,2,2,,"No, everything went well"
2021-07-08 14:04:28,EL_JO_4,4,3,HC,26,0,American,1,German,0,,2,1,1,1,0,0,0,2,"BMW, Audi, Toyota",NA,,NA,,1,2,3,4,2,1,3,2,3,2,1,4,3,3,4,1,5,1,1,2,2,1,3,4,4,4,6,4,4,6,5,3,2,4,6,0,0,6,5,3,1,1,5,6,5,0,4,5,,1,0,0,0,NA,NA,99,0,0,NA,NA,0,0,1,,,99,0,1,0,,0,0,1,,,99,Automatic,0,NA,,1,1,0,,1,,,99,"2, automated driving",0,NA,,1,1,1,,,2,,0,NA,,1,0,1,"Accidentally clicked on power button, I could have pressed the other button
Yellow flashing was good, caught my eye",3,,,2,,1,5,,0,,1,0,3,Thinks hands close to wheel are enough,,2,,0,NA,,0,0,3,I know now I need hand on steering wheel while assisted,,2,,1,2,,0,0,1,"Slightly hands on seems to be enough, which is nice",,4,,0,NA,,1,1,0,,1,,,0,,1,8,,NA,Error ahead,0,0,0,,1,,,4,,1,1,,1,1,0,NA,1,,,0,,1,8,,0,,1,0,0,,1,"The more I see errors, the less Im trusting, I started looking at the road ahead more, noise was good",,7,1,6,2,5,2,5,1,5,1,4,1,4,2,5,5,7,6,2,1,1,7,7,6,2,2,7,1,7,7,7,7,2,3,1,6,2,7,2,2,2,6,The lights on the steering wheel were a nice touch and not very aggressive. The voice/sound was also good for taking me out of my concentration when I was playing the game.,Nothing really,"Maybe have the entire interior light up slightly instead of just the steering wheel. If I were to do something that was making me not look anywhere near the steering wheel, having the entire car light up would make sure I got the message.","The more I used the automatic driving, the more it felt cumbersome to keep my fingers on the steering wheel in assisted mode, even though its quite relaxed by allowing me to only slightly touch the steering wheel. At the beginning I felt slightly distrustful of the automatic driving and assistance but that went away fairly quickly. I think I would take some time though before trusting it with other cars and people around.",1,1,0,3,0,4,1,3,0,3,1,2,4,0,3,Speech outputs definitely make it feel more immersive and I think a must have. A nice calming voice is definitely wanted,"Cool study. I hope that we can have fully automatic cars at some point, I hate driving long distances!"
2021-07-16 13:55:02,MO_JO_11,5,3,HC,36,0,USA,0,,0,,3,1,0,1,0,0,0,3,"BMW, Audi, Toyota, Skoda",NA,,NA,,2,2,2,2,3,2,3,2,3,3,2,3,2,2,4,2,4,2,2,3,2,1,3,2,5,5,6,5,5,5,4,4,4,4,5,4,3,4,5,4,2,2,5,5,4,3,4,4,,1,0,1,0,0,0,0,,0,NA,NA,0,0,1,,,99,Fully automated,1,99,Assisted and fully automated,1,1,3,,,99,Fully automated,0,NA,,1,1,1,"Slight problems, seemed not intuitive that I needed two buttons",3,,,99,Fully automated,0,NA,,1,1,1,,,2,,0,NA,,0,0,0,,1,,,2,,1,99,Fully automated driving no longer available,0,,0,0,1,,,2,,0,NA,,0,0,1,,,2,,0,NA,,0,0,1,,,4,,0,NA,,1,1,0,,1,,,0,,1,99,Fully automated no longer available,1,,0,0,0,,1,I would expect a sound from the car when its important,,4,,1,1,,1,1,0,NA,1,,,0,,1,5,,0,,0,0,0,,1,,,5,2,5,1,5,2,4,1,4,2,5,1,4,1,2,5,6,6,4,1,1,5,6,4,1,4,7,1,6,6,4,6,5,2,3,6,3,7,2,4,3,3,Well integrated into the usual car controls,"Two buttons instead of one.
I expected to be able to click through all modes with one button instead of activiting the system with one button and changing the mode with another.
Uncertainty about what would happen if I did not follow the system`s instructions, in other words what would happen if I did not take back manual control","Turn on and cycle through driving modes with one button
More audio tones to indicate changing availability of driving modes
Information about what will happen if the systems instructions are not followed, eg ""Car will drive to the right and break to a compete stop""",,1,1,0,4,0,4,0,4,0,4,4,0,0,4,0,I dislike the idea of having to active assisted driving first and then having to switch between assisted and automated driving with a button. That seems unnecessarily complicated.,
2021-07-27 07:09:00,SH_DA_8,8,3,HC,38,1,American,0,,0,,1,0,2,1,1,1,0,1,"Buick, Cadillac, Mercedes",1,"Cadillac, Mercedes",1,"Cadillac, Mercedes",2,2,2,1,2,1,4,2,4,1,2,3,2,3,3,2,5,1,3,4,2,2,3,4,5,5,6,6,4,5,6,3,3,3,5,2,1,5,5,5,1,3,3,5,6,0,2,4,,0,0,2,1,0,0,0,,0,NA,NA,0,0,1,,,2,,1,1,,1,0,1,,,2,,0,NA,,1,0,0,,1,"What is the difference between assisted and automated? It told me to put hands on steering wheel, Im curious to experience the system more",,4,,0,NA,,1,1,2,Huge difference in the way the steering wheel felt between assisted and automated. It was a lot smoother and I instantly trusted it more. Assisted had more shakes,,2,,0,NA,,0,0,0,,2,"I dont pay attention to the display. I dont know whether I like assisted, steering feels weird and it distracts",,2,,1,5,,0,,0,1,1,"I could take away one hand, I could engage only halfway and check the car too",,2,,0,NA,,1,0,1,,,2,,1,2,,0,0,1,,,99,Automatic,0,NA,,1,1,0,,1,"Its easy to switch,but I feel like there should be one button for assisted and one for automated",,0,,1,8,,NA,System overload,0,0,0,,2,Very clear display,,99,Automatic,1,6,,1,1,0,NA,1,"I had the notification that they were not available, still I could activate them. I assumed it was a computer error. Since I could activate them, I guessed it was only a display error",,99,Automatic,1,99,Take over now,NA,Sensor something,0,0,0,,3,"I didnt switch,I just held on to the wheel. I guess I should have switched; the notification was not clear: should I switch or just take hands on steering wheel? Didnt think",,6,1,7,1,3,1,5,1,5,2,5,1,4,1,4,4,6,6,4,1,3,6,6,4,2,3,5,4,7,4,6,6,4,4,2,6,1,4,2,3,1,6,<it was interesting and something new. <i have used assitance before but not automation.,<i think it comes down to age. <i felt too nervouse to really engage in other activities during driving but after a while did not mind trying other things during the automated driving,<i felt the buttons were counterintuitive. <why not just have one for automation and one for assited instead of a power on and change in driving levels,"<it is interesting and it is amazing what we are developing in new vehicles. <<<<<<<<<makes me nervous, however, that people might put too much faith in automation and not pa attention to the road",1,1,3,0,3,2,0,2,1,4,0,4,0,2,0,,
