Exp,VP,Aut_Lvl_Malfunction,Aut_Lvl_End,Deactivation
1,1,2,2,0
1,2,2,2,0
1,3,2,2,0
1,4,2,2,0
1,5,2,2,0
1,6,2,2,0
1,7,2,2,0
1,8,2,2,0
1,9,2,2,0
1,10,2,2,0
1,11,2,2,0
1,12,2,2,0
1,13,2,2,0
1,14,2,2,0
1,15,2,2,0
1,16,2,2,0
1,17,2,2,0
1,18,2,2,0
1,19,2,2,0
1,20,2,2,0
1,21,2,2,0
1,22,2,2,0
1,23,2,2,0
1,24,2,2,0
1,25,2,2,0
1,26,2,2,0
1,51,2,2,0
1,52,2,2,0
1,53,2,2,0
1,54,2,2,0
1,55,2,2,0
1,56,2,2,0
1,57,2,2,0
1,58,2,2,0
1,59,2,2,0
1,60,2,0,1
1,61,2,2,0
1,62,2,2,0
1,63,2,2,0
1,65,2,2,0
1,66,2,2,0
1,67,2,2,0
1,68,2,2,0
1,69,2,2,0
1,70,2,2,0
1,71,2,2,0
1,72,2,2,0
1,73,2,2,0
1,74,2,2,0
1,75,2,0,1
1,76,2,2,0
1,77,2,2,0
2,4,2,2,0
2,5,2,3,-1
2,6,2,2,0
2,7,2,2,0
2,8,2,2,0
2,9,2,2,0
2,10,2,2,0
2,11,2,2,0
2,13,2,2,0
2,14,2,2,0
2,15,2,2,0
2,16,2,2,0
2,17,2,2,0
2,18,2,2,0
2,19,2,2,0
2,20,2,2,0
2,21,2,2,0
2,23,2,2,0
2,24,2,2,0
2,25,2,2,0
2,26,2,2,0
2,27,2,2,0
2,28,2,2,0
2,29,2,2,0
2,30,2,0,1
2,31,2,2,0
2,32,2,2,0
2,33,2,2,0
2,34,2,2,0
2,35,2,2,0
2,36,2,2,0
2,37,2,2,0
2,38,2,2,0
2,53,2,0,1
2,54,2,2,0
2,56,0,0,NaN
2,57,2,2,0
2,58,2,2,0
2,59,2,2,0
2,60,2,2,0
2,61,2,2,0
2,62,2,2,0
2,63,2,2,0
2,64,2,2,0
2,65,2,2,0
2,66,2,2,0
2,67,3,3,NaN
2,69,2,0,1
2,70,2,2,0
2,71,3,3,NaN
2,72,2,2,0
2,73,2,2,0
2,74,2,2,0
2,75,2,2,0
2,76,2,2,0
2,77,2,2,0
2,78,3,3,NaN
2,79,2,2,0
2,80,NaN,NaN,NaN
2,81,2,2,0
2,82,2,2,0
3,1,2,2,0
3,2,2,2,0
3,3,2,2,0
3,4,2,2,0
3,5,2,2,0
3,6,2,0,1
3,7,2,2,0
3,8,2,2,0
3,9,2,2,0
3,10,2,2,0
3,11,2,2,0
3,12,2,2,0
3,13,2,2,0
3,14,2,2,0
3,15,2,2,0
3,16,2,2,0
3,17,2,2,0
3,18,2,2,0
3,19,2,2,0
3,20,2,2,0
3,21,2,2,0
3,51,3,3,NaN
3,52,2,2,0
3,53,2,2,0
3,54,2,2,0
3,55,2,2,0
3,56,2,2,0
3,57,3,3,NaN
3,58,2,2,0
3,59,2,2,0
3,60,2,2,0
3,61,2,2,0
3,62,2,2,0
3,63,2,2,0
3,64,2,2,0
3,65,2,2,0
3,66,2,2,0
3,67,2,2,0
3,68,2,2,0
3,69,2,0,1
3,70,2,2,0
3,71,2,2,0
