"Exp","HMI","VPNr","Aut_Lvl_Malfunction","Aut_Lvl_End","Deactivation"
1,"HC",1,2,2,0
1,"HC",2,2,2,0
1,"HC",3,2,2,0
1,"HC",4,2,2,0
1,"HC",5,2,2,0
1,"HC",6,2,2,0
1,"HC",7,2,2,0
1,"HC",8,2,2,0
1,"HC",9,2,2,0
1,"HC",10,2,2,0
1,"HC",11,2,2,0
1,"HC",12,2,2,0
1,"HC",13,2,2,0
1,"HC",14,2,2,0
1,"HC",15,2,2,0
1,"HC",16,2,2,0
1,"HC",17,2,2,0
1,"HC",18,2,2,0
1,"HC",19,2,2,0
1,"HC",20,2,2,0
1,"HC",21,2,2,0
1,"HC",22,2,2,0
1,"HC",23,2,2,0
1,"HC",24,2,2,0
1,"HC",25,2,2,0
1,"HC",26,2,2,0
1,"LC",51,2,2,0
1,"LC",52,2,2,0
1,"LC",53,2,2,0
1,"LC",54,2,2,0
1,"LC",55,2,2,0
1,"LC",56,2,2,0
1,"LC",57,2,2,0
1,"LC",58,2,2,0
1,"LC",59,2,2,0
1,"LC",60,2,0,1
1,"LC",61,2,2,0
1,"LC",62,2,2,0
1,"LC",63,2,2,0
1,"LC",65,2,2,0
1,"LC",66,2,2,0
1,"LC",67,2,2,0
1,"LC",68,2,2,0
1,"LC",69,2,2,0
1,"LC",70,2,2,0
1,"LC",71,2,2,0
1,"LC",72,2,2,0
1,"LC",73,2,2,0
1,"LC",74,2,2,0
1,"LC",75,2,0,1
1,"LC",76,2,2,0
1,"LC",77,2,2,0
2,"HC",4,2,2,0
2,"HC",5,2,3,0
2,"HC",6,2,2,0
2,"HC",7,2,2,0
2,"HC",8,2,2,0
2,"HC",9,2,2,0
2,"HC",10,2,2,0
2,"HC",11,2,2,0
2,"HC",13,2,2,0
2,"HC",14,2,2,0
2,"HC",15,2,2,0
2,"HC",16,2,2,0
2,"HC",17,2,2,0
2,"HC",18,2,2,0
2,"HC",19,2,2,0
2,"HC",20,2,2,0
2,"HC",21,2,2,0
2,"HC",23,2,2,0
2,"HC",24,2,2,0
2,"HC",25,2,2,0
2,"HC",26,2,2,0
2,"HC",27,2,2,0
2,"HC",28,2,2,0
2,"HC",29,2,2,0
2,"HC",30,2,0,1
2,"HC",31,2,2,0
2,"HC",32,2,2,0
2,"HC",33,2,2,0
2,"HC",34,2,2,0
2,"HC",35,2,2,0
2,"HC",36,2,2,0
2,"HC",37,2,2,0
2,"HC",38,2,2,0
2,"LC",53,2,0,1
2,"LC",54,2,2,0
2,"LC",56,0,0,NA
2,"LC",57,2,2,0
2,"LC",58,2,2,0
2,"LC",59,2,2,0
2,"LC",60,2,2,0
2,"LC",61,2,2,0
2,"LC",62,2,2,0
2,"LC",63,2,2,0
2,"LC",64,2,2,0
2,"LC",65,2,2,0
2,"LC",66,2,2,0
2,"LC",67,3,3,NA
2,"LC",69,2,0,1
2,"LC",70,2,2,0
2,"LC",71,3,3,NA
2,"LC",72,2,2,0
2,"LC",73,2,2,0
2,"LC",74,2,2,0
2,"LC",75,2,2,0
2,"LC",76,2,2,0
2,"LC",77,2,2,0
2,"LC",78,3,3,NA
2,"LC",79,2,2,0
2,"LC",80,NA,NA,NA
2,"LC",81,2,2,0
2,"LC",82,2,2,0
3,"HC",1,2,2,0
3,"HC",2,2,2,0
3,"HC",3,2,2,0
3,"HC",4,2,2,0
3,"HC",5,2,2,0
3,"HC",6,2,0,1
3,"HC",7,2,2,0
3,"HC",8,2,2,0
3,"HC",9,2,2,0
3,"HC",10,2,2,0
3,"HC",11,2,2,0
3,"HC",12,2,2,0
3,"HC",13,2,2,0
3,"HC",14,2,2,0
3,"HC",15,2,2,0
3,"HC",16,2,2,0
3,"HC",17,2,2,0
3,"HC",18,2,2,0
3,"HC",19,2,2,0
3,"HC",20,2,2,0
3,"HC",21,2,2,0
3,"LC",51,3,3,NA
3,"LC",52,2,2,0
3,"LC",53,2,2,0
3,"LC",54,2,2,0
3,"LC",55,2,2,0
3,"LC",56,2,2,0
3,"LC",57,3,3,NA
3,"LC",58,2,2,0
3,"LC",59,2,2,0
3,"LC",60,2,2,0
3,"LC",61,2,2,0
3,"LC",62,2,2,0
3,"LC",63,2,2,0
3,"LC",64,2,2,0
3,"LC",65,2,2,0
3,"LC",66,2,2,0
3,"LC",67,2,2,0
3,"LC",68,2,2,0
3,"LC",69,2,0,1
3,"LC",70,2,2,0
3,"LC",71,2,2,0
