"Exp","HMI","VPNr","TC10_Aut_Lvl_Sta","TC10_Aut_Lvl_End","TC10_Aut_Lvl_Notification","TC10_TimeToFirstAction","TC10_TimeToL0","TC10_Action_1","TC10_Action_2","TC10_Action_3","TC10_Action_4","TC10_Action_5","TC10_Action_6","TC10_Action_7","TC10_TimeToAction_1","TC10_TimeToAction_2","TC10_TimeToAction_3","TC10_TimeToAction_4","TC10_TimeToAction_5","TC10_TimeToAction_6","TC10_TimeToAction_7","TC12_Aut_Lvl_Sta","TC12_Aut_Lvl_End","TC12_Aut_Lvl_Notification","TC12_TimeToFirstAction","TC12_TimeToL0","TC12_Action_1","TC12_Action_2","TC12_Action_3","TC12_Action_4","TC12_TimeToAction_1","TC12_TimeToAction_2","TC12_TimeToAction_3","TC12_TimeToAction_4"
1,"HC",1,3,0,3,10.8166668,16.2166665999999,2,2,2,1,NA,NA,NA,10.8166668,11.4166695999999,13.7166683999998,16.1833355999999,NA,NA,NA,3,0,3,2.86666529999999,2.91666660000011,3,NA,NA,NA,2.86666529999999,NA,NA,NA
1,"HC",2,3,0,3,22.8499880000001,22.9166531,3,NA,NA,NA,NA,NA,NA,22.8499880000001,NA,NA,NA,NA,NA,NA,3,0,3,7.3166668999996,9.83333239999972,2,1,NA,NA,7.3166668999996,9.7999998999997,NA,NA
1,"HC",3,3,0,3,9.25000100000016,10.3666653,2,1,NA,NA,NA,NA,NA,9.25000100000016,10.3333335000002,NA,NA,NA,NA,NA,3,0,3,7.51666660000011,7.56666580000008,3,NA,NA,NA,7.51666660000011,NA,NA,NA
1,"HC",4,3,0,3,6.05000300000003,9.93333749999991,2,2,2,2,2,2,1,6.05000300000003,6.51666469999985,7.85000879999995,8.40000040000002,9.06666479999991,9.34999849999999,9.88333330000006,3,0,3,2.58333350000018,2.63333130000019,1,NA,NA,NA,2.58333350000018,NA,NA,NA
1,"HC",5,3,0,3,4.41666669999994,9.85000779999979,2,2,2,2,3,NA,NA,4.41666669999994,4.91666610000003,6.21666629999969,6.86666659999965,9.79999829999963,NA,NA,3,0,3,2.9999870000002,3.04998860000027,3,NA,NA,NA,2.9999870000002,NA,NA,NA
1,"HC",6,3,0,3,17.1999815,18.9833156000001,2,2,1,NA,NA,NA,NA,17.1999815,17.6999820000001,18.916649,NA,NA,NA,NA,3,0,3,3.1999981999998,3.24999809999997,1,NA,NA,NA,3.1999981999998,NA,NA,NA
1,"HC",7,3,0,3,17.6666665000001,17.7166673000001,1,NA,NA,NA,NA,NA,NA,17.6666665000001,NA,NA,NA,NA,NA,NA,3,0,3,4.18333319999976,4.25000020000013,1,NA,NA,NA,4.18333319999976,NA,NA,NA
1,"HC",8,3,0,3,23.8833304000001,21.8333308000001,3,NA,NA,NA,NA,NA,NA,23.8833304000001,NA,NA,NA,NA,NA,NA,3,0,3,8.30000070000021,8.35000059999991,3,NA,NA,NA,8.30000070000021,NA,NA,NA
1,"HC",9,3,0,3,18.1833354999998,18.2166769999999,1,NA,NA,NA,NA,NA,NA,18.1833354999998,NA,NA,NA,NA,NA,NA,3,0,3,6.86666690000007,6.91666720000003,1,NA,NA,NA,6.86666690000007,NA,NA,NA
1,"HC",10,3,0,3,9.26666479999991,9.31666470000008,1,NA,NA,NA,NA,NA,NA,9.26666479999991,NA,NA,NA,NA,NA,NA,3,0,3,4.58333419999992,4.65000059999991,1,NA,NA,NA,4.58333419999992,NA,NA,NA
1,"HC",11,3,0,3,7.49999470000016,7.54999640000006,1,NA,NA,NA,NA,NA,NA,7.49999470000016,NA,NA,NA,NA,NA,NA,3,0,3,7.33333549999981,7.36666029999987,1,NA,NA,NA,7.33333549999981,NA,NA,NA
1,"HC",12,3,0,3,19.3,19.3499979000001,1,NA,NA,NA,NA,NA,NA,19.3,NA,NA,NA,NA,NA,NA,3,0,3,3.60000020000013,3.64999870000011,1,NA,NA,NA,3.60000020000013,NA,NA,NA
