Exp,HMI,VP,TC01_Duration,TC01_Surt_AOI_Attention_Ratio,TC01_street_AOI_Attention_Ratio,TC01_ic_AOI_Attention_Ratio,TC01_wheel_AOI_Attention_Ratio,TC01_EyesOnAOIs,TC01_valid,TC01_Comment,TC04_Duration,TC04_Surt_AOI_Attention_Ratio,TC04_street_AOI_Attention_Ratio,TC04_ic_AOI_Attention_Ratio,TC04_wheel_AOI_Attention_Ratio,TC04_EyesOnAOIs,TC04_valid,TC04_Comment,TC07_Duration,TC07_Surt_AOI_Attention_Ratio,TC07_street_AOI_Attention_Ratio,TC07_ic_AOI_Attention_Ratio,TC07_wheel_AOI_Attention_Ratio,TC07_EyesOnAOIs,TC07_valid,TC07_Comment,TC01_Lvl_start,TC01_Lvl_end,TC01_prop_L0,TC01_prop_L2,TC01_prop_L3,TC04_Lvl_start,TC04_Lvl_end,TC04_prop_L0,TC04_prop_L2,TC04_prop_L3,TC07_Lvl_start,TC07_Lvl_end,TC07_prop_L0,TC07_prop_L2,TC07_prop_L3
1,HC,1,69.536,1.293,74.242,14.695,0.933,0.91,1,,72.265,73.489,12.991,1.799,0,0.88,1,,71.095,0,69.161,27.182,0.772,0.97,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
1,HC,2,65.71,0,62.467,28.499,0.785,0.92,1,,70.984,24.004,24.073,31.145,0.848,0.80,1,,71.56,1.544,48.262,39.627,0.823,0.90,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
1,HC,3,73.713,0,89.5,8.696,0,0.98,1,,72.549,98.861,0.591,0,0,0.99,1,,71.756,0,65.59,29.949,0,0.96,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
1,HC,4,70.502,0,75.482,17.889,0,0.93,1,,72.116,71.813,19.607,3.15,0,0.95,1,,71.903,0,92.284,6.581,0,0.99,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
1,HC,5,70.389,0.426,71.217,27.499,0.307,0.99,1,,71.146,6.418,76.803,8.855,0,0.92,1,,70.941,1.147,46.522,48.392,1.9,0.98,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
1,HC,6,71.46,0.97,71.226,22.74,0.735,0.96,1,,72.487,91.185,2.347,0.563,0,0.94,1,,71.814,0,70.619,12.265,0,0.83,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
1,HC,7,69.634,0,49.846,43.291,0,0.93,1,,71.966,76.647,0.207,6.735,0,0.84,1,,71.812,0,62.991,22.308,0,0.85,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
1,HC,8,72.367,0,71.414,28.887,0,1.00,1,,71.184,75.473,5.878,12.905,0,0.94,1,,71.933,0,80.119,18.841,0,0.99,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
1,HC,9,70.668,0,53.876,39.565,0,0.93,1,,69.394,92.877,0.385,0,0,0.93,1,,69.887,0.312,59.432,27.632,0.527,0.88,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
1,HC,10,70.268,0,68.373,28.24,0,0.97,1,,71.976,88.398,5.51,2.195,0,0.96,1,,71.917,0,74.469,18.425,0,0.93,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
1,HC,11,72.613,0,59.182,37.949,0,0.97,1,,72.118,95.362,0,2.302,0,0.98,1,,71.362,1.589,58.336,34.6,0,0.95,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
1,HC,12,69.629,1.567,74.042,17.438,3.105,0.96,1,,58.652,92.222,1.26,1.127,0,0.95,1,,72.079,3.283,57.623,28.506,0,0.89,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
1,HC,13,67.811,2.261,46.596,34.893,12.97,0.97,1,,72.351,82.749,10.996,2.572,0,0.96,1,,72.505,9.965,26.164,44.022,8.197,0.88,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
1,HC,17,67.69,0,81.188,12.186,0,0.93,1,,72.145,96.21,1.724,0.207,0,0.98,1,,72.093,0,82.402,11.801,0,0.94,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
1,HC,18,69.29,0,88.375,8.574,0.827,0.98,1,,71.317,96.387,0.219,1.719,0,0.98,1,,71.741,0,80.478,13.848,0,0.94,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
1,HC,19,67.34,0.582,86.329,12.106,0,0.99,1,,73.511,72.269,6.282,16.2,1.155,0.96,1,,72.209,1.987,85.145,9.273,0.252,0.97,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
1,HC,20,73.332,0,70.893,27.868,0,0.99,1,,70.578,89.478,3.256,1.928,0,0.95,1,,72.159,0,78.198,18.49,0,0.97,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
