Exp,HMI,VP,TC10_Comment,TC10_valid,TC10_EB_triggered,TC10_Aut_Lvl_Notification,TC10_Aut_Lvl_End,TC10_TimeToL0,TC10_Nth_Gaze_To_IC,TC10_N_Gazes_Till_EB_or_TO,TC10_IC_Glance_Allocation_Time,TC10_IC_Glance_at_Start,TC10_IC_Number_Of_Glances_after_start,TC10_IC_Total_Duration,TC10_IC_Mean_Duration,TC10_IC_Max_Duration,TC10_IC_First_Glance_Duration_incl_start,TC10_IC_First_Glance_Duration_without_start,TC10_Street_Glance_at_Start,TC10_Street_Number_Of_Glances_after_start,TC10_Street_Total_Duration,TC10_Street_Mean_Duration,TC10_Street_Max_Duration,TC10_Street_First_Glance_Duration_incl_start,TC10_Street_First_Glance_Duration_without_start,TC10_Surt_Glance_at_Start,TC10_Surt_Number_Of_Glances_after_start,TC10_Surt_Total_Duration,TC10_Surt_Mean_Duration,TC10_Surt_Max_Duration,TC10_Surt_First_Glance_Duration_incl_start,TC10_Surt_First_Glance_Duration_without_start,TC10_Wheel_Glance_at_Start,TC10_Wheel_Number_Of_Glances_after_start,TC10_Wheel_Total_Duration,TC10_Wheel_Mean_Duration,TC10_Wheel_Max_Duration,TC10_Wheel_First_Glance_Duration_incl_start,TC10_Wheel_First_Glance_Duration_without_start
1,HC,1,,1,0,3,0,16.2166666,1,12,0.470,0,6,10.320,1.720,3.200,3.200,3.200,0,1,0.260,0.260,0.260,0.260,0.260,1,1,0.470,0.470,0.470,0.470,,0,5,5.17,1.03,3.48,0.52,0.52
1,HC,2,,1,1,3,0,22.9166531,1,12,4.400,0,6,7.120,1.187,2.560,0.310,0.310,0,4,7.420,1.855,5.950,0.390,0.390,1,3,5.460,1.820,4.400,4.400,0.380,0,0,0.00,,0.00,,
1,HC,3,,1,0,3,0,10.3666653,1,5,0.620,0,3,8.647,2.882,7.670,7.670,7.670,0,1,0.400,0.400,0.400,0.400,0.400,1,1,0.620,0.620,0.620,0.620,,0,1,0.70,0.70,0.70,0.70,0.70
1,HC,4,,1,0,3,0,9.9333375,1,6,0.710,0,3,7.563,2.521,4.150,3.360,3.360,0,1,0.780,0.780,0.780,0.780,0.780,1,1,0.710,0.710,0.710,0.710,,0,2,0.88,0.44,0.63,0.63,0.63
1,HC,5,,1,0,3,0,9.8500078,0,7,,1,3,6.920,2.307,3.500,3.110,3.500,0,3,1.720,0.573,1.230,0.150,0.150,0,0,0.000,,0.000,,,0,2,1.21,0.61,0.92,0.92,0.92
1,HC,6,,1,0,3,0,18.9833156,1,11,8.101,0,6,7.352,1.225,3.649,3.649,3.649,0,3,1.820,0.607,0.800,0.550,0.550,1,1,8.101,8.101,8.101,8.101,,0,2,1.71,0.85,1.24,1.24,1.24
1,HC,7,,1,0,3,0,17.7166673,1,8,0.370,0,4,14.387,3.597,8.090,8.090,8.090,0,1,1.020,1.020,1.020,1.020,1.020,1,2,0.960,0.480,0.590,0.370,0.590,0,2,1.35,0.68,0.90,0.90,0.90
1,HC,8,,1,1,3,0,21.8333308,2,12,8.820,0,6,6.870,1.145,2.340,0.850,0.850,0,5,4.310,0.862,1.330,0.530,0.530,1,1,8.680,8.680,8.680,8.680,,0,1,0.14,0.14,0.14,0.14,0.14
1,HC,9,,1,0,3,0,18.216677,1,12,8.290,0,6,8.280,1.380,4.440,4.440,4.440,0,4,0.960,0.240,0.480,0.070,0.070,1,1,8.290,8.290,8.290,8.290,,0,2,0.69,0.34,0.48,0.21,0.21
1,HC,10,,1,0,3,0,9.3166647,1,5,0.590,0,3,7.407,2.469,2.530,2.530,2.530,0,0,0.000,,0.000,,,1,2,1.540,0.770,0.950,0.590,0.950,0,1,0.37,0.37,0.37,0.37,0.37
1,HC,11,,1,0,3,0,7.5499964,1,7,3.130,0,4,3.040,0.760,2.310,2.310,2.310,0,1,0.310,0.310,0.310,0.310,0.310,1,1,3.130,3.130,3.130,3.130,,0,2,1.07,0.53,0.61,0.46,0.46
1,HC,12,,1,0,3,0,19.3499979,1,12,0.500,0,6,11.680,1.947,3.720,2.710,2.710,0,0,0.000,,0.000,,,1,5,6.520,1.304,2.040,0.500,1.410,0,2,1.15,0.57,0.72,0.43,0.43
1,HC,13,,1,0,3,0,19.5666669,2,12,3.470,0,6,11.927,1.988,3.570,3.330,3.330,0,3,1.650,0.550,0.730,0.540,0.540,1,1,2.930,2.930,2.930,2.930,,0,3,3.06,1.02,1.55,1.55,1.55
1,HC,14,kein ET,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,HC,15,kein ET,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,HC,16,kein ET,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,HC,17,,1,0,3,0,8.9833343,1,5,2.440,0,3,5.473,1.824,2.700,2.320,2.320,0,0,0.000,,0.000,,,1,1,2.440,2.440,2.440,2.440,,0,2,1.07,0.54,0.73,0.73,0.73
1,HC,18,,1,0,3,0,13.6166651,1,7,8.690,0,4,3.787,0.947,1.440,0.520,0.520,0,2,0.990,0.495,0.630,0.360,0.360,1,1,8.690,8.690,8.690,8.690,,0,1,0.15,0.15,0.15,0.15,0.15
1,HC,19,,1,1,3,0,22.8999927,1,10,0.560,0,5,13.380,2.676,4.320,3.930,3.930,0,4,4.870,1.217,1.650,0.900,0.900,1,1,0.560,0.560,0.560,0.560,,0,1,1.19,1.19,1.19,1.19,1.19
1,HC,20,,1,1,3,0,25.5666668,1,5,7.550,0,3,11.320,3.773,7.090,7.090,7.090,0,2,1.130,0.565,0.720,0.720,0.720,1,1,7.550,7.550,7.550,7.550,,0,0,0.00,,0.00,,
1,HC,21,,1,0,3,0,9.5666666,1,8,0.580,0,4,5.577,1.394,2.410,2.410,2.410,0,3,2.420,0.807,1.290,1.290,1.290,1,2,1.570,0.785,0.990,0.580,0.990,0,0,0.00,,0.00,,
1,HC,22,,1,0,3,0,10.766667,1,7,0.410,0,4,8.727,2.182,3.320,3.160,3.160,0,2,0.680,0.340,0.410,0.270,0.270,1,1,0.410,0.410,0.410,0.410,,0,1,0.95,0.95,0.95,0.95,0.95
1,HC,23,,1,0,3,0,17.8166658,1,12,8.410,0,6,6.580,1.097,2.520,1.560,1.560,0,4,1.900,0.475,0.700,0.700,0.700,1,1,8.410,8.410,8.410,8.410,,0,2,0.93,0.46,0.74,0.19,0.19
1,HC,24,,1,0,3,0,16.1833334,4,10,5.950,0,4,7.853,1.963,4.100,4.100,4.100,1,5,3.200,0.640,1.520,0.320,0.500,0,2,5.130,2.565,3.310,3.310,3.310,0,0,0.00,,0.00,,
1,HC,25,,1,0,3,0,7.4166659,2,6,2.530,0,3,3.697,1.232,2.300,2.300,2.300,1,2,0.690,0.345,0.440,0.250,0.440,0,1,2.280,2.280,2.280,2.280,2.280,0,1,0.75,0.75,0.75,0.75,0.75
1,HC,26,kein ET,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,LC,51,,1,0,3,0,4.9166676,1,3,0.610,0,2,3.757,1.878,3.050,3.050,3.050,0,0,0.000,,0.000,,,1,1,0.610,0.610,0.610,0.610,,0,1,0.55,0.55,0.55,0.55,0.55
