"Exp","HMI","VPNr","TC10_comment","TC10_valid","TC10_EB_triggered","TC10_lvl_notification","TC10_lvl_end","TC10_TimeToL0","TC10_nth_gaze_to_ic","TC10_n_gazes_till_EB_or_TO","TC10_ic_glance_allocation_time","TC10_ic_glance_at_start","TC10_ic_n_glances_after_start","TC10_ic_total_duration","TC10_ic_mean_duration","TC10_ic_max_duration","TC10_ic_1st_glance_duration_incl_start","TC10_ic_1st_glance_duration_without_start","TC10_street_glance_at_start","TC10_street_n_glances_after_start","TC10_street_total_duration","TC10_street_mean_duration","TC10_street_max_duration","TC10_street_1st_glance_duration_incl_start","TC10_street_1st_glance_duration_without_start","TC10_surt_glance_at_start","TC10_surt_n_glances_after_start","TC10_surt_total_duration","TC10_surt_mean_duration","TC10_surt_max_duration","TC10_surt_1st_glance_duration_incl_start","TC10_surt_1st_glance_duration_without_start","TC10_wheel_glance_at_start","TC10_wheel_n_glances_after_start","TC10_wheel_total_duration","TC10_wheel_mean_duration","TC10_wheel_max_duration","TC10_wheel_1st_glance_duration_incl_start","TC10_wheel_1st_glance_duration_without_start","TC12_comment","TC12_valid","TC12_EB_triggered","TC12_lvl_notification","TC12_lvl_end","TC12_TimeToL0","TC12_nth_gaze_to_ic","TC12_n_gazes_till_EB_or_TO","TC12_ic_glance_allocation_time","TC12_ic_glance_at_start","TC12_ic_n_glances_after_start","TC12_ic_total_duration","TC12_ic_mean_duration","TC12_ic_max_duration","TC12_ic_1st_glance_duration_incl_start","TC12_ic_1st_glance_duration_without_start","TC12_street_glance_at_start","TC12_street_n_glances_after_start","TC12_street_total_duration","TC12_street_mean_duration","TC12_street_max_duration","TC12_street_1st_glance_duration_incl_start","TC12_street_1st_glance_duration_without_start","TC12_surt_glance_at_start","TC12_surt_n_glances_after_start","TC12_surt_total_duration","TC12_surt_mean_duration","TC12_surt_max_duration","TC12_surt_1st_glance_duration_incl_start","TC12_surt_1st_glance_duration_without_start","TC12_wheel_glance_at_start","TC12_wheel_n_glances_after_start","TC12_wheel_total_duration","TC12_wheel_mean_duration","TC12_wheel_max_duration","TC12_wheel_1st_glance_duration_incl_start","TC12_wheel_1st_glance_duration_without_start"
1,"HC",1,"",1,0,3,0,16.2166666,1,12,0.47,0,6,10.32,1.72,3.2,3.2,3.2,0,1,0.26,0.26,0.26,0.26,0.26,1,1,0.47,0.47,0.47,0.47,NA,0,5,5.17,1.03,3.48,0.52,0.52,"",1,0,3,0,2.9166666,1,3,0.24,0,2,2.297,1.148,1.75,1.75,1.75,0,1,0.38,0.38,0.38,0.38,0.38,1,1,0.24,0.24,0.24,0.24,NA,0,0,0,NA,0,NA,NA
1,"HC",2,"",1,1,3,0,22.9166531,1,12,4.4,0,6,7.12,1.187,2.56,0.31,0.31,0,4,7.42,1.855,5.95,0.39,0.39,1,3,5.46,1.82,4.4,4.4,0.38,0,0,0,NA,0,NA,NA,"",1,1,3,0,9.8333324,1,5,0.88,0,3,4.21,1.403,1.55,1.55,1.55,0,2,0.91,0.455,0.59,0.32,0.32,1,1,0.88,0.88,0.88,0.88,NA,0,0,0,NA,0,NA,NA
1,"HC",3,"",1,0,3,0,10.3666653,1,5,0.62,0,3,8.647,2.882,7.67,7.67,7.67,0,1,0.4,0.4,0.4,0.4,0.4,1,1,0.62,0.62,0.62,0.62,NA,0,1,0.7,0.7,0.7,0.7,0.7,"",1,1,3,0,7.5666658,1,3,0.8,0,2,4.21,2.105,3.59,3.59,3.59,0,1,0.99,0.99,0.99,0.99,0.99,1,1,0.8,0.8,0.8,0.8,NA,0,0,0,NA,0,NA,NA
1,"HC",4,"",1,0,3,0,9.9333375,1,6,0.71,0,3,7.563,2.521,4.15,3.36,3.36,0,1,0.78,0.78,0.78,0.78,0.78,1,1,0.71,0.71,0.71,0.71,NA,0,2,0.88,0.44,0.63,0.63,0.63,"",1,0,3,0,2.6333313,0,5,NA,1,3,1.553,0.518,1.05,0.2,1.05,0,2,0.69,0.345,0.56,0.13,0.13,0,0,0,NA,0,NA,NA,0,1,0.39,0.39,0.39,0.39,0.39
1,"HC",5,"",1,0,3,0,9.8500078,0,7,NA,1,3,6.92,2.307,3.5,3.11,3.5,0,3,1.72,0.573,1.23,0.15,0.15,0,0,0,NA,0,NA,NA,0,2,1.21,0.61,0.92,0.92,0.92,"",1,0,3,0,3.0499886,1,1,0.23,0,1,2.82,2.82,2.82,2.82,2.82,1,1,0.23,0.23,0.23,0.23,NA,0,0,0,NA,0,NA,NA,0,0,0,NA,0,NA,NA
1,"HC",6,"",1,0,3,0,18.9833156,1,11,8.101,0,6,7.352,1.225,3.649,3.649,3.649,0,3,1.82,0.607,0.8,0.55,0.55,1,1,8.101,8.101,8.101,8.101,NA,0,2,1.71,0.85,1.24,1.24,1.24,"",1,0,3,0,3.2499981,1,3,0.82,0,2,1.73,0.865,1.39,1.39,1.39,0,0,0,NA,0,NA,NA,1,1,0.82,0.82,0.82,0.82,NA,0,1,0.7,0.7,0.7,0.7,0.7
1,"HC",7,"",1,0,3,0,17.7166673,1,8,0.37,0,4,14.387,3.597,8.09,8.09,8.09,0,1,1.02,1.02,1.02,1.02,1.02,1,2,0.96,0.48,0.59,0.37,0.59,0,2,1.35,0.68,0.9,0.9,0.9,"",1,0,3,0,4.2500002,1,5,0.92,0,3,2.63,0.877,1.9,1.9,1.9,0,1,0.29,0.29,0.29,0.29,0.29,1,1,0.92,0.92,0.92,0.92,NA,0,1,0.41,0.41,0.41,0.41,0.41
1,"HC",8,"",1,1,3,0,21.8333308,2,12,8.82,0,6,6.87,1.145,2.34,0.85,0.85,0,5,4.31,0.862,1.33,0.53,0.53,1,1,8.68,8.68,8.68,8.68,NA,0,1,0.14,0.14,0.14,0.14,0.14,"",1,1,3,0,8.3500006,1,3,0.89,0,2,4.3,2.15,3.36,0.94,0.94,0,1,0.81,0.81,0.81,0.81,0.81,1,1,0.89,0.89,0.89,0.89,NA,0,0,0,NA,0,NA,NA
1,"HC",9,"",1,0,3,0,18.216677,1,12,8.29,0,6,8.28,1.38,4.44,4.44,4.44,0,4,0.96,0.24,0.48,0.07,0.07,1,1,8.29,8.29,8.29,8.29,NA,0,2,0.69,0.34,0.48,0.21,0.21,"",1,1,3,0,6.9166672,1,7,0.22,0,4,4.43,1.107,2.08,0.9,0.9,0,3,1.35,0.45,0.74,0.49,0.49,1,1,0.22,0.22,0.22,0.22,NA,0,0,0,NA,0,NA,NA
1,"HC",10,"",1,0,3,0,9.3166647,1,5,0.59,0,3,7.407,2.469,2.53,2.53,2.53,0,0,0,NA,0,NA,NA,1,2,1.54,0.77,0.95,0.59,0.95,0,1,0.37,0.37,0.37,0.37,0.37,"",1,0,3,0,4.6500006,1,3,0.81,0,2,3.37,1.685,2.86,2.86,2.86,0,0,0,NA,0,NA,NA,1,1,0.81,0.81,0.81,0.81,NA,0,1,0.47,0.47,0.47,0.47,0.47
