Exp,VPNr,TC01_LevelSel_n,TC01_ChangeAvail_n,TC02_LevelSel_n,TC02_ChangeAvail_n,TC03_LevelSel_n,TC03_ChangeAvail_n,TC04_LevelSel_n,TC04_ChangeAvail_n,TC05_LevelSel_n,TC05_ChangeAvail_n,TC06_LevelSel_n,TC06_ChangeAvail_n,TC06_ChangeAvailReason_n,TC07_LevelSel_n,TC07_ChangeAvail_n,TC08_LevelSel_n,TC08_ChangeAvail_n,TC09_LevelSel_n,TC09_ChangeAvail_n,TC10_LevelSel_n,TC10_ChangeAvail_n,TC10_ChangeAvailReason_n,TC11_LevelSel_n,TC11_ChangeAvail_n,TC12_LevelSel_n,TC12_ChangeAvail_n,TC12_ChangeAvailReason_n
1,76,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,77,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,51,,,,,,,,,,,,,0,,,,,,,,,,,,,,
1,52,,,,,,,,,,0,,,,,,,,,,,,,,,,,
1,53,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,54,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,55,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,56,,,,,,,,,,88,,99,,,,,,,,,,,,,,,
1,57,,,,,,,,,,,,,,,,,,,,,,,,,,99,
1,58,,,,,,,,,,,,,,,,,,,,,,0,,,,,
1,59,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,60,,,,,,,,,,,,,,,,,,,,,99,,,,,,
1,61,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,62,,,,,,,,,,,,66,,,,,,,,,,,,,,,
1,63,,,,,,,,,,,,66,,,,,,,,,,,,,,,0
1,65,,,,,,,,,,,,,,,,,,,,,99,,,,,99,0
1,66,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,67,,,,99,,,,,,,,,,,,,,,,,,,,,,,
1,68,,,,,,,,,,,,,,,,,,,,,,,,,,99,
1,69,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,70,,,,,99,,,,,,,,,,,,,,,,99,,,,,99,0
1,71,,,,,,,,,,,,,,,,,,,,,99,,,,,,
1,72,,,,,,,,,,,,,,,,,,,,,99,0,,,,,
1,73,,,,,,,,,,,,,,,,,,,,,,,,,,99,99
1,74,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,75,,,,,,,,,,,,99,,,,,,,,,,,,,,,0
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
