"startdate","VPNr","Exp","HMI","VPCode","Alter","Geschlecht","Erfahrung","KilometerJahr","Sehhilfe","Farbfehlsichtigkeit","Farbfehlsichtigkeit2","Vorwissen","FAS.CC","FAS.ACC","FAS.LKA","FAS.NoFAS","OftCC","AutomarkeCC","OftACC","AutomarkeACC","OftLKA","AutomarkeLKA","Wetter","Licht","TC01_LevelSel","TC01_LevelOthers","TC01_ChangeAvail","TC01_ChangeAvailSel","TC01_ChangeAvailOthers","TC01_HandsOffAllow","TC01_EmailsAllow","TC01_RemarksTP","TC01_RemarksTL","TC01_ER","TC02_LevelSel","TC02_LevelOthers","TC02_ChangeAvail","TC02_ChangeAvailSel","TC02_ChangeAvailOthers","TC02_HandsOffAllow","TC02_EmailsAllow","TC02_RemarksTP","TC02_RemarksTL","TC02_ER","TC03_LevelSel","TC03_LevelOthers","TC03_ChangeAvail","TC03_ChangeAvailSel","TC03_ChangeAvailOthers","TC03_HandsOffAllow","TC03_EmailsAllow","TC03_TransProblems","TC03_TransProblemsOthers","TC03_RemarksTP","TC03_RemarksTL","TC03_ER","TC04_LevelSel","TC04_LevelOthers","TC04_ChangeAvail","TC04_ChangeAvailSel","TC04_ChangeAvailOthers","TC04_HandsOffAllow","TC04_EmailsAllow","TC04_RemarksTP","TC04_RemarksTL","TC04_ER","TC05_LevelSel","TC05_LevelOthers","TC05_ChangeAvail","TC05_ChangeAvailSel","TC05_ChangeAvailOthers","TC05_HandsOffAllow","TC05_EmailsAllow","TC05_TransProblems","TC05_TransProblemsOthers","TC05_RemarksTP","TC05_RemarksTL","TC05_ER","TC06_LevelSel","TC06_LevelOthers","TC06_ChangeAvail","TC06_ChangeAvailSel","TC06_ChangeAvailOthers","TC06_ChangeAvailReasonSel","TC06_ChangeAvailReasonOthers","TC06_HandsOffAllow","TC06_EmailsAllow","TC06_RemarksTP","TC06_RemarksTL","TC06_ER","TC07_LevelSel","TC07_LevelOthers","TC07_ChangeAvail","TC07_ChangeAvailSel","TC07_ChangeAvailOthers","TC07_HandsOffAllow","TC07_EmailsAllow","TC07_RemarksTP","TC07_RemarksTL","TC07_ER","TC08_LevelSel","TC08_LevelOthers","TC08_ChangeAvail","TC08_ChangeAvailSel","TC08_ChangeAvailOthers","TC08_HandsOffAllow","TC08_EmailsAllow","TC08_RemarksTP","TC08_RemarksTL","TC08_ER","TC09_LevelSel","TC09_LevelOthers","TC09_ChangeAvail","TC09_ChangeAvailSel","TC09_ChangeAvailOthers","TC09_HandsOffAllow","TC09_EmailsAllow","TC09_TransProblems","TC09_TransProblemsOthers","TC09_RemarksTP","TC09_RemarksTL","TC09_ER","TC10_LevelSel","TC10_LevelOthers","TC10_ChangeAvail","TC10_ChangeAvailSel","TC10_ChangeAvailOthers","TC10_ChangeAvailReasonSel","TC10_ChangeAvailReasonOthers","TC10_HandsOffAllow","TC10_EmailsAllow","TC10_TransProblems","TC10_TransProblemsOthers","TC10_RemarksTP","TC10_RemarksTL","TC10_ER","TC11_LevelSel","TC11_LevelOthers","TC11_ChangeAvail","TC11_ChangeAvailSel","TC11_ChangeAvailOthers","TC11_HandsOffAllow","TC11_EmailsAllow","TC11_TransProblems","TC11_TransProblemsOthers","TC11_RemarksTP","TC11_RemarksTL","TC11_ER","TC12_LevelSel","TC12_LevelOthers","TC12_ChangeAvail","TC12_ChangeAvailSel","TC12_ChangeAvailOthers","TC12_ChangeAvailReasonSel","TC12_ChangeAvailReasonOthers","TC12_HandsOffAllow","TC12_EmailsAllow","TC12_TransProblems","TC12_TransProblemsOthers","TC12_RemarksTP","TC12_RemarksTL","TC12_ER","UMUX01","UMUX02","UMUX03","UMUX04","SUS01","SUS02","SUS03","SUS04","SUS05","SUS06","SUS07","SUS08","SUS09","SUS10","Trust","Acceptance","UEQ01","UEQ02","UEQ03","UEQ04","UEQ05","UEQ06","UEQ07","UEQ08","UEQ09","UEQ10","UEQ11","UEQ12","UEQ13","UEQ14","UEQ15","UEQ16","UEQ17","UEQ18","UEQ19","UEQ20","UEQ21","UEQ22","UEQ23","UEQ24","UEQ25","UEQ26","GutGefallen","NichtGefallen","Verbessern","Anmerkungen","AnstrengendWenden","Uebel","AllgAnregungen"
"2020-10-01 08:32:56",53,2,"LC","Ma_Ro_06",56,"0","3","2","1",0,"","0",1,0,0,0,"0","Bmw","","","","","0","0","99","Alles selber machen ",0,"","",0,0,"","","1","0","",1,"2","",0,0,"Meldung sehr klein, lieber größer und mit Audio Durchsage","","1","4","",0,"","",1,1,0,"","Fehlendes Vertrauen für nebenaufgabe","","4","99","Teilautonom",0,"","",0,0,"Symbole unklar zu weit unten","","4","2","",0,"","",0,0,0,"","","","1","99","Fahrer fährt",1,"99","Teilautonom nicht verfügbar ","0","",0,0,"","","3","99","Teilautonom",0,"","",0,0,"","","1","2","",1,"2","",0,0,"","","1","4","",0,"","",1,1,0,"","","","1","99","Normal",1,"99","Autonom  nicht verfügbar selber fahren","0","",0,0,0,"","Automatischer Wechsel ","","2","99","Autonom",0,"","",1,1,0,"","","","3","99","Selber fahren",1,"99","System nicht verfügbar ","0","",0,0,0,"","","","2","4","1","4","1","3","2","3","1","2","1","2","3","1","5","5","5",4,3,4,4,4,6,6,4,4,7,6,3,5,5,7,6,1,4,4,4,7,5,4,5,3,7,"Automatisiertes fahren ","Anzeige und Aufmerksamkeit sehr klein bei Änderu ge ","Sprech Ansage wie imCocpit wären sehr hilfreich ","",1,1,"Testfahrtn waren zu kurz"
"2020-10-01 10:35:21",54,2,"LC","An_Al_18",58,"0","4","2","0",1,"Rot grün","1",1,0,0,0,"4","Mercedes","","","","","1","0","0","",0,"","",0,0,"","","1","0","",1,"99","Von manuell auf automatisiert ",0,0,"Verwirrende Anzeige, drei Symbole beleuchtet aber unklar welche Stufe aktiv, erst gemerkt als Hände vom Lenkrad und Auto nicht gelenkt","","3","4","",1,"99","Von manuell auf automatisiert ",1,1,0,"","Jetzt Automation verstanden un gelernt wie Anzeige bei Wechsel aussieht ","","2","4","",1,"99","Hin und her geschaltet",1,1,"","Unsicherheit ob Hände entfernen dürfen "" Ich kann, aber darf eigentlich nicht""","1","2","",1,"99","Umschalten genannt",0,0,0,"","","Proband nimmt noch einmal Abbildung i n die Hand ""ich merke keinen unterschied"", verwirrung da Auto sich in l2 komplett gleich verhält","1","2","",1,"99","Assistiert nichtverfügbar","0","",0,0,"Jetzt verstanden Mitte = assistiert und rechts = automatisiert (skala)","","1","2","",1,"99","Umschalten zwischen den Stufen genannt",0,0,"","","1","2","",1,"99","Umschalten genannt",0,0,"","","1","4","",1,"99","Umschalten genannt",1,1,0,"","","","1","0","",1,"99","","99","Ende Systemstrecke , übernehmen",0,0,0,"","Unterschied zwischen  l2 u l3 beim Fahrverhalten nicht klar, nur durch Anzeige - verwirrt","","1","4","",1,"99","Umschalten genannt",1,1,0,"","","","1","0","",1,"8","","0","",0,0,0,"","Erst Wechsel über mod probiert, drücken der Tasten noch nicht zu 100 Prozent klar","","2","3","2","5","3","3","2","4","1","4","2","4","2","3","2","3","3",6,5,3,3,5,4,6,6,2,5,6,2,5,4,7,6,5,3,4,5,3,5,2,4,5,6,"Relativ einfach zu bedienen","Am Anfang verwirrend","Akustische Unterstützung wäre hilfreich","Fahrerlebnis war bei assistirtem und autonomen Fahren identisch",1,1,""
"2020-10-01 15:36:16",56,2,"LC","Ma_Ka_14.05.1997",23,"0","1","0","0",0,"","2",1,0,0,0,"2","VW Konzern","","","","","0","0","0","",0,"","",0,0,"","","1","0","",1,"1","",0,0,"","","1","2","",1,"0","",0,0,0,"","","Ansage war automatisiert,  falsch verstanden oder verwechselt?","3","4","",1,"0","",1,1,"Korrektur tc3: ich war nur assistiert,  nicht automatisiert ","","1","2","",1,"0","",1,0,0,"","","VP nennt immer die verfügbaren Level, nicht nur die änderungen","1","0","",1,"99","Aufgefordert selber zu fahren","99","Hod",0,0,"","HOD lange nicht die Hände ans Steuer- fast Notbremsung","4","2","",1,"99","Manuell und assistiert verfügbar ",1,0,"","","1","2","",1,"2","",1,0,"","Auch nach HOD der Meinung, dass Hände nicht an Lenkrad müssen","1","4","",0,"","",1,1,0,"","","Hände nicht an Lenkrad in l2, überwacht aber und lässt es nicht wieder zur bremsung kommen","1","0","",1,"5","","0","",0,0,0,"","","","2","4","",1,"0","",1,1,0,"","","","1","0","",1,"6","","0","",0,0,0,"","","","1","5","1","7","1","5","1","5","1","5","1","5","1","5","1","4","5",6,7,4,1,1,7,7,6,1,2,7,1,7,7,7,7,1,4,1,7,1,6,1,1,1,7,"Visuelle Darstellung der modi","Visuell reizgebung bei ""Probleme"". ","Besonders bei gegenlicht waren die Aufforderungen in grau nur schwer zu erkennen Farben wären gut","",1,1,""
"2020-10-02 08:36:06",4,2,"HC","Lu_LE_06",22,"0","2","0","0",0,"","1",0,0,0,1,"","","","","","","1","1","0","",0,"","",0,0,"","","1","0","",1,"1","",0,0,"","","1","4","",0,"","",1,1,0,"","","","2","4","",0,"","",1,1,"","","1","2","",0,"","",0,0,0,"","","","1","2","",1,"5","","99","Sensordefekt",0,0,"Assistiert scheint auch eine Weile ohne Hände am Lenkrad zu funktionieren ","","1","2","",0,"","",0,0,"","","1","2","",1,"2","",0,0,"","","1","4","",0,"","",1,1,0,"","","","1","0","",1,"5","","1","",0,0,0,"","","","1","4","",1,"1","",1,1,0,"","","","1","0","",1,"5","","99","Sensordefekt",0,0,0,"","","","1","7","2","7","1","5","1","5","1","5","1","5","1","4","1","4","4",5,1,4,1,2,4,5,3,4,5,6,2,7,5,3,5,2,4,2,6,1,4,2,2,2,5,"Einfach zu lernen und bedienen","Nicht klar was der untereinander zwischen assistiertes und automatisiertes fahren war. Außer Hände am Lenkrad als Bedingung scheinen die Funktionalitäten gleich zu sein","Mehr Informationen zu den Funktionalitäten der Stufen","Keine",1,1,"Keine"
"2020-10-02 10:42:03",5,2,"HC","Fü_Be_24",42,"1","3","1","0",0,"","0",1,0,0,0,"2","BMW, Audi ","","","","","2","1","0","",0,"","",0,0,"","","3","0","",1,"99","Zwei Zeichen angegangen",0,0,"","","2","4","",0,"","",1,0,0,"","","","4","2","",1,"1","",0,0,"Alle Knöpfe gedrückt und so automatisiert gefunden","","4","2","",1,"99","Umschalten genannt",0,0,0,"","Unsicher in l3 den Blick von Straße z wenden","Proband lenkt und gibt Gas um das Auto zu testen","1","4","",1,"5","","1","",1,1,"","Proband handelt ohne Aufforderung- Hinweis von lv","2","2","",0,"","",0,0,"","","1","2","",1,"2","",0,0,"Hinweis zum ersten mal gesehen","","1","4","",0,"","",1,1,0,"","Ab jetzt sicherer in L3,  Blick von Straße dennoch unwohl","","1","0","",0,"","","","",0,0,0,"","Geräusch klingt wie SMS, hätte erwartet, dass Auto bremst","Keinerlei Reaktion auf Nachricht, obwohl gesehen ","4","4","",0,"","",1,1,0,"","","","1","0","",0,"","","","",0,0,1,"Wiederherstellen von Level mit mod versucht,ging aber nicht","","","1","6","1","7","2","3","1","5","1","5","1","5","1","4","1","3","2",7,7,2,1,1,7,7,4,1,1,7,2,7,6,7,7,4,1,1,6,1,4,1,1,1,7,"Tolles Auto","Das SMS Geräusch als warnhinweis. Das selbe Geräusch bei unterschiedlichen warnhinweisen.","","",1,1,""
"2020-10-02 13:40:15",6,2,"HC","Re_Os_15",24,"1","2","0","0",0,"","4",1,1,1,0,"0","Toyota, BMW","0","BMW","0","BMW","3","1","4","",0,"","",1,1,"Wusste nicht ob schon ausprobieren darf ","","4","0","",1,"1","",0,0,"","","1","4","",0,"","",1,1,0,"","","","1","4","",0,"","",1,1,"","","1","2","",0,"","",0,0,0,"","","","1","2","",1,"5","","0","",0,0,"","","1","2","",0,"","",0,0,"","","1","2","",1,"2","",0,0,"","","1","4","",0,"","",1,1,0,"","","","1","0","",1,"99","Vom automatisierten ins manuelle übernehmen","0","",0,0,1,"Übersteuern über lenken versucht,ging nicht, dann gebremst","","","3","4","",1,"1","",1,1,0,"","Nicht mehr sicher ob in automatisierten oder assistiert weil sie sich nicht mehr ganz an Anzeige erinnern kann","","1","0","",1,"99","Von automatisiert übernehmen ","0","",0,0,0,"","","Übernahme wieder über lenken versucht, dann aber schnell gebremst","2","6","1","7","3","4","2","5","1","4","1","4","1","4","2","4","3",6,6,4,2,4,3,3,7,1,4,6,2,5,5,3,5,2,4,3,5,2,5,2,4,4,4,"Es waren nur die wichtigsten Infos angezeigt, nicht überladen, klar strukturiert durch Aufteilung in drei Bereiche","Farbgestaltung und Knopfbelegung (siehe nächster Punkt) ","Ich fände es intuitiver wenn Farben getauscht wären, sodass grün automatisiert bedeutet, weil grün signalisiert, dass alles in Ordnung ist und man frei handeln darf wie man möchte. Das Blau hat weder eine positive noch eine negative Bedeutung, deshalb passt es gut für den assistieren Zustand. Außerdem könnte man die Knopfbelegung anders gestalten, sodass man direkt vom manuellen zum assistierten Zustand schalten kann (zb ein Knopf für assistiert, einer für automatisiert und für manuell kann man ja übersteuern) ","",1,1,"Sehr viel Input auf einmal"
"2020-10-02 15:37:31",57,2,"LC","SA_HA_02",23,"0","3","1","0",0,"","1",1,0,1,0,"2","3er BMW","","","2","Opel Astra","1","2","0","",0,"","",0,0,"","","1","4","",0,"","",1,1,"Auto hat nicht übernommen, obwohl angezeigt","","4","4","",0,"","",1,1,0,"","","","2","4","",0,"","",1,1,"","","1","2","",0,"","",0,0,0,"","","","1","2","",1,"5","","0","",0,0,"","","1","2","",0,"","",0,0,"","","1","2","",1,"2","",0,0,"","","1","4","",0,"","",1,1,0,"","","","1","4","",0,"","","","",1,1,0,"","","Proband irritiert, da trotz Warnung das Fahrzeug weitergefahren ist, hat sich nicht dazu aufgefordert gefühlt zu übernehmen, irritiert von notbremsung "" ich will keine notbremsung machen""","4","4","",1,"0","",1,1,0,"","","","1","4","",0,"","","","",1,1,0,"","Angeblich nicht verfügbar, ich soll übernehmen, System ist aber in automatisierten modus geblieben durch leichtes Gas geben","","4","7","1","7","1","5","1","5","1","5","2","5","1","5","1","4","5",7,7,2,1,1,6,7,5,1,2,6,2,7,7,5,7,2,4,2,6,1,5,2,1,1,7,"Das Gefühl, man muss nicht seine Augen überall haben. Es wirkte erleichternd.","Systemausfälle","Höhere Farbkontraste zwischen ""verfügbar"" und ""Nicht verfügbar"" der Symbole im Display","Es war eine spannende Sache, die ich mir in meinem Auto sehr gut vorstellen könnte. ",1,1,"Eventuell mehr Reklame. Ich habe nur über Dritte davon erfahren. Viel Erfolg mit der Studie!"
"2020-10-05 08:41:32",7,2,"HC","An_Kn_05",62,"1","3","2","1",0,"","1",0,0,0,1,"","","","","","","3","1","0","",0,"","",0,0,"","","1","99","Vollautomatisch ",1,"1","",1,1,"","","4","4","",1,"0","",1,1,1,"Wollte direkt ins automatisiert schalten, Hinweis, dass das nicht geht","","","2","4","",0,"","",1,1,"","","1","2","",0,"","",0,0,0,"","","","1","2","",1,"5","","0","",0,0,"","","1","2","",0,"","",0,0,"","","1","2","",1,"2","",0,0,"Steuerung von Auto bemerkt, Steinen nicht ausgewichen","","1","4","",0,"","",1,1,0,"","","","1","0","",1,"4","","0","",0,0,0,"","","","1","4","",1,"0","",1,1,0,"","","","1","0","",1,"6","","0","",0,0,0,"","","","1","7","2","6","1","4","1","4","2","3","1","4","2","4","3","4","4",6,5,5,2,4,6,7,6,2,4,6,2,5,5,6,6,1,3,2,6,3,4,2,2,2,6,"Daß man nebenbei beim Automatisierten Verfahren etwas anderes machen kann.","Daß die eine Angabe ""Systemfehler"" zu kurz zu sehen war.","S. Anmerkung vorher. ","",1,1,"Bessere Brille, die nicht so weh tut und mit der nicht das Display so verdeckt ist, daß man dauernd den Kopf bewegen muß, um etwas auf dem Display zu erkennen. - Fragen beim abschließenden Fragebogen genauer formulieren."
"2020-10-05 10:37:56",58,2,"LC","In_Pe_97",27,"1","4","2","1",0,"","0",1,1,1,0,"2","Audi, Ford, VW, Hyundai, range rover, mercedes","2","Rangerover","5","Mercedes, Hyundai, range rover ","1","1","0","",0,"","",0,0,"","","1","0","",1,"1","",0,0,"","","1","4","",0,"","",1,1,0,"","","","2","4","",0,"","",1,1,"","","1","2","",0,"","",0,0,0,"","","","1","2","",1,"5","","0","",0,0,"","","1","2","",0,"","",0,0,"","","1","2","",1,"2","",0,0,"","","1","4","",0,"","",1,1,0,"","","","1","0","",1,"5","","99","Systemfehler",0,0,0,"","","","3","4","",1,"0","",1,1,0,"","","","1","4","",1,"6","","0","",1,1,0,"","Notbremsung verwirrt","P hat nicht übernommen, nur Hände ans Lenkrad, als nichts passierte hände wieder weg","3","7","1","7","1","4","1","5","2","5","4","5","1","4","1","4","5",6,5,5,1,2,4,5,5,2,4,6,2,6,5,6,6,2,6,1,6,1,7,1,2,2,5,"Angenehme Bedienung ","Veränderungen werden wenig/gar nicht über Ton angezeigt","Aktiv Töne wenn das automatisierte fahren ausfällt/Fahrer übernehmen muss","Sehr interessant ",1,1,""
"2020-10-05 13:35:17",8,2,"HC","Ch_Ku1_17",68,"0","4","1","0",0,"","2",1,1,1,0,"5","Toyota, VW","5","Toyota, VW","4","VW","1","1","99","Erste",0,"","",0,0,"","Hände vom Lenkrad : Weiß ich nicht","1","99","Eins",1,"99","Hätte in nächste Stufe schalten können",0,0,"","","1","99","Erste Stufe",0,"","",1,0,1,"Erst mit Pfeil rauf und runter versucht, ging nicht, dann mit anderer Taste versucht","","","4","99","Nicht drauf geachtet",1,"99","Lenkradunterstützung und Spurhalteassistent",1,0,"","P sagt ja bei Hände von l entfernen, obwohl HOD genannt","4","99","Eins",1,"99","Lenkrad Unterstützung und Spurhalteassistent",1,0,0,"","","","4","99","Eins",1,"99","Irgendeine Automatik nicht verfügbar ","2","",1,0,"","","3","99","Eins",0,"","",1,0,"","","2","99","Eins",0,"","",1,0,"Wollte probieren was passiert wenn Hände nicht an Lenkrad genommen werden","","3","99","Eins",1,"99","Geschwindigkeitsassistent aktiv",1,0,0,"","","","2","99","Drei",1,"8","","2","",1,1,0,"","","P: Unten stand immer Stufe 1, deshalb immer die bei erster Frage angegeben","2","4","",0,"","",1,1,0,"","","","1","4","",0,"","","","",1,1,0,"","Sensorfehler musste manuell weiterfahren ","","2","4","1","7","1","5","1","5","1","4","1","5","1","5","1","4","5",6,6,3,1,2,4,6,7,1,3,7,2,7,5,2,6,1,4,1,7,1,5,3,2,2,4,"Alles wie bei aktuellen Systemen. Besser als bei aktuellen Systemen ist die nicht mehr notwedige Lenkrad Bedienung. ","Muss halt besser in der gesamten Displayanzeige integriert werden. ","Siehe oben. ","Nein",1,1,"Nein"
