"Test","diff_means","TOST_t1","TOST_p1","TOST_t2","TOST_p2","TOST_df","alpha","low_eqbound","high_eqbound","low_eqbound_d","high_eqbound_d","LL_CI_TOST","UL_CI_TOST","LL_CI_TTest","UL_CI_TTest","NHST_t","NHST_p"
"UEQ_Attractiveness_12",-0.3281315678856662,0.8714265517545638,0.1927297448431698,-4.423911079710462,1.1637408121335535e-5,107.71177117514277,0.05,-0.48911330248534157,0.48911330248534157,-0.5,0.5,-0.6346273793616403,-0.021635756409692175,-0.6943166451849602,0.03805350941362773,-1.7762422639779492,0.07851651923151681
"UEQ_Attractiveness_23",-0.10883424408014575,1.9240512269380097,0.02867764895078519,-3.1183607063065324,0.0012050696184828199,94.55827412962812,0.05,-0.45950157859045115,0.45950157859045115,-0.5,0.5,-0.4115826338549527,0.1939141456946612,-0.470677326048179,0.25300883788788753,-0.5971547396842614,0.5518313124424656
"UEQ_Perspicuity_12",-0.02033417402269877,2.5694296507443926,0.005757724438679708,-2.7533642809864003,0.0034476648440499693,110.7784191509667,0.05,-0.5884406756485804,0.5884406756485804,-0.5,0.5,-0.3870819323669976,0.3464135843216001,-0.45847256435140354,0.417804216306006,-0.09196731512100395,0.9268901125932654
"UEQ_Perspicuity_23",-0.4746291959406712,0.40325170809547534,0.34381857137673,-4.685840151895438,4.47590523617337e-6,98.49027418447703,0.05,-0.5640120710344226,0.5640120710344226,-0.5,0.5,-0.8426816757758919,-0.1065767161054505,-0.914469543751304,-0.03478884813003852,-2.1412942218999818,0.03471769959041303
"UEQ_Efficiency_12",-0.2061002522068094,1.4236011074138262,0.07875995846335361,-3.859195177604413,9.825193395202377e-5,105.24324388541915,0.05,-0.4470308332678181,0.4470308332678181,-0.5,0.5,-0.4869478569938414,0.07474735258022264,-0.541663328184167,0.12946282377054819,-1.2177970350952936,0.22602440604600704
"UEQ_Efficiency_23",-0.3019125683060111,0.5715036155163784,0.2844785415901324,-4.521266087575233,8.55594869751961e-6,98.73080069052482,0.05,-0.389281935743836,0.389281935743836,-0.5,0.5,-0.5557535896617365,-0.04807154695028565,-0.605262578431352,0.00143744181932981,-1.9748812360294274,0.05107436335786074
"UEQ_Dependability_12",-0.0018127364438840221,2.662324643935304,0.004458182657891719,-2.680787230916841,0.004233910552346456,110.70170232944264,0.05,-0.5246097759203477,0.5246097759203477,-0.5,0.5,-0.3275362309767047,0.32391075808893666,-0.39094183756074863,0.3873163646729806,-0.009231293490768415,0.9926512134496193
"UEQ_Dependability_23",-0.20491803278688514,1.5559646165706673,0.06147766313588013,-3.5199503619709724,3.288810247293673e-4,97.53999708314035,0.05,-0.529610010883369,0.529610010883369,-0.5,0.5,-0.5514502877773255,0.14161422220355518,-0.6190525434506109,0.20921647787684067,-0.9819928727001525,0.3285328521811861
"UEQ_Novelty_12",0.08858764186633039,3.074813142344762,0.0013258955414094924,-2.255428761292503,0.013033594477570177,110.9903104137862,0.05,-0.5762784496989448,0.5762784496989448,-0.5,0.5,-0.27007232451443913,0.4472476082470999,-0.3398864641623454,0.5170617478950061,0.40969219052612943,0.6828213911747512
"UEQ_Novelty_23",-0.3889539422326307,0.8104094777027492,0.20984652449746627,-4.256171783988994,2.4055714853111848e-5,96.78703614285219,0.05,-0.5719102422653506,0.5719102422653506,-0.5,0.5,-0.7638812545225134,-0.014026629942747948,-0.8370332295477332,0.05912534508247186,-1.7228811531431223,0.08810365464799588
"UEQ_Stimulation_12",-0.24377364438839844,1.3748141441481643,0.08603010231145973,-3.9167865926797885,7.91557157685237e-5,107.03913143999515,0.05,-0.5074613601772232,0.5074613601772232,-0.5,0.5,-0.5620089165930822,0.07446162781628524,-0.6239908246908801,0.1364435359140832,-1.270986224265812,0.20648875812170367
"UEQ_Stimulation_23",-0.2775175644028105,1.0194103483011874,0.1552821574135018,-4.040698775808174,5.36392823919645e-5,96.2282563655273,0.05,-0.4647914932418419,0.4647914932418419,-0.5,0.5,-0.5826278706045271,0.02759274179890614,-0.6421642040006095,0.08712907519498853,-1.5106442137534934,0.13415602115575478
