"Test";"eta_sq_Exp";"eta_sq_HMI";"eta_sq_Interaction";"eta_sq_Residuals";"eta_sq_part_Exp";"eta_sq_part_HMI";"eta_sq_part_Interaction";"eta_sq_part_Residuals";"SumSq_Exp";"SumSq_HMI";"SumSq_Interaction";"SumSq_Residuals";"Df_Exp";"Df_HMI";"Df_Interaction";"Df_Residuals";"MeanSq_Exp";"MeanSq_HMI";"MeanSq_Interaction";"MeanSq_Residuals";"F_Exp";"F_HMI";"F_Interaction";"F_Residuals";"p_Exp";"p_HMI";"p_Interaction";"p_Residuals";"lev_Df_group";"lev_Df";"lev_F";"lev_x1";"lev_p";"lev_x2";"shap_W";"shap_p";"method";"data"
"SUS 12";"1,11570345911402e-04";"6,57393017146383e-03";"4,82687267793747e-03";"0,989294970709108";"1,12764916423974e-04";"6,60120038455965e-03";"4,85541355925945e-03";NA;"2,69469537451369e+00";"1,58776412143481e+02";"116,5807219862290367";"23893,8811188811196";"1";"1";"1";"109";"2,69469537451369e+00";"1,58776412143481e+02";"116,5807219862290367";"219,209918521845140";"0,012292762082501974";"0,72431217170339146";"0,53182229514223056";NA;"0,9119211663432989";"0,396598871530985164";"0,4674058848903161";NA;"3";"109";"0,579626409107887";NA;"0,6296160916853035";NA;"0.946535282167002";"0.0001965462730739";"Shapiro-Wilk normality test";"anova_SUS_res"
"UMUX 12";"1,48183148532883e-02";"9,10368014391100e-02";"3,49630160967660e-02";"0,865886627195366";"1,68255157270023e-02";"9,51348861517781e-02";"3,88111560648396e-02";NA;"4,10941412802396e+02";"2,52463199566160e+03";"969,5941389347426593";"24012,7624111999066";"1";"1";"1";"109";"4,10941412802396e+02";"2,52463199566160e+03";"969,5941389347426593";"220,300572579815650";"1,865366975628312884";"11,45994295928086970";"4,40123294996637071";NA;"0,1748182644107408";"0,000989446935517835";"0,0382242299676843";NA;"3";"109";"2,558792215724161";NA;"0,0588090862039847";NA;"0.963821794750583";"0.00376464153967733";"Shapiro-Wilk normality test";"anova_UMUX_res"
"Trust 12";"9,84701553707012e-07";"8,49514977957321e-03";"7,67658679948231e-03";"0,984971651482845";"9,99724781717352e-07";"8,55101526168590e-03";"7,73344121656412e-03";NA;"1,26111512258831e-04";"1,08798059831844e+00";"0,9831465855053807";"126,1461038961038";"1";"1";"1";"109";"1,26111512258831e-04";"1,08798059831844e+00";"0,9831465855053807";"1,157303705468842";"0,000108970110147311";"0,94009946842577508";"0,84951476510402457";NA;"0,9916902162449314";"0,334398840012905874";"0,3587252101248742";NA;"3";"109";"1,765702156218615";NA;"0,1579976345819039";NA;"0.924436892123443";"7.89979820489899e-06";"Shapiro-Wilk normality test";"anova_Trust_res"
"Acceptance 12";"1,52446349204454e-02";"1,48873387894976e-03";"1,11224962245088e-02";"0,973318821461320";"1,54209978348200e-02";"1,52720798150779e-03";"1,12982826144020e-02";NA;"1,94645657196625e+00";"1,90083649606080e-01";"1,4201360666124998";"124,2747252747251";"1";"1";"1";"109";"1,94645657196625e+00";"1,90083649606080e-01";"1,4201360666124998";"1,140135094263533";"1,707215734135050234";"0,16672028653662707";"1,24558578519138829";NA;"0,1940971699676299";"0,683844199553752308";"0,2668515918521748";NA;"3";"109";"0,557871135503823";NA;"0,6439651137732318";NA;"0.90194490715173";"4.8135229979707e-07";"Shapiro-Wilk normality test";"anova_Acceptance_res"
"UEQ_Attractiveness 12";"2,88344424928917e-02";"5,01265162739228e-03";"2,54961730854502e-02";"0,943351060282602";"2,96594039003588e-02";"5,28557932409376e-03";"2,63159889478309e-02";NA;"3,14655499298046e+00";"5,47004992731559e-01";"2,7822667542018280";"102,9430685055685";"1";"1";"1";"109";"3,14655499298046e+00";"5,47004992731559e-01";"2,7822667542018280";"0,944431821152005";"3,331690994001379469";"0,57918949836350242";"2,94596887979489974";NA;"0,0706951589074698";"0,448273496906778535";"0,0889326997101749";NA;"3";"109";"0,178242275912688";NA;"0,9109462583847298";NA;"0.956805505392858";"0.00107631803401271";"Shapiro-Wilk normality test";"anova_UEQ_Attractiveness_res"
"UEQ_Perspicuity 12";"7,20558381670658e-05";"6,29765326296389e-03";"5,74506067637970e-03";"0,988735202527194";"7,28714696999538e-05";"6,32909076953335e-03";"5,77694790832029e-03";NA;"1,11827631939434e-02";"9,77369313975714e-01";"0,8916092673827904";"153,4475472444223";"1";"1";"1";"109";"1,11827631939434e-02";"9,77369313975714e-01";"0,8916092673827904";"1,407775662792865";"0,007943569056846804";"0,69426495982799286";"0,63334612960557957";NA;"0,9291447723215647";"0,406539577625399828";"0,4278603363604881";NA;"3";"109";"1,488927172967896";NA;"0,2216060356559987";NA;"0.932187477009049";"2.29520278115351e-05";"Shapiro-Wilk normality test";"anova_UEQ_Perspicuity_res"
"UEQ_Efficiency 12";"1,31360014097872e-02";"6,97798299347739e-04";"1,89415163029729e-03";"0,984230746690375";"1,31706831361777e-02";"7,08476064479398e-04";"1,92080296676714e-03";NA;"1,17426262159991e+00";"6,23780734165820e-02";"0,1693233267654364";"87,9830429986680";"1";"1";"1";"109";"1,17426262159991e+00";"6,23780734165820e-02";"0,1693233267654364";"0,807183880721725";"1,454764706834790200";"0,07727864109576627";"0,20977045108239756";NA;"0,2303764348006625";"0,781546376921315566";"0,6478591369702313";NA;"3";"109";"0,251433874020804";NA;"0,8601648255458721";NA;"0.959832116972581";"0.00182985752142898";"Shapiro-Wilk normality test";"anova_UEQ_Efficiency_res"
"UEQ_Dependability 12";"1,57619367721213e-05";"4,29389322004247e-02";"7,98477455658310e-03";"0,951619380992846";"1,65630040979761e-05";"4,31738708840096e-02";"8,32090452131416e-03";NA;"1,95887397397598e-03";"5,33639729519172e+00";"0,9923378892511039";"118,2660776723277";"1";"1";"1";"109";"1,95887397397598e-03";"5,33639729519172e+00";"0,9923378892511039";"1,085009886902089";"0,001805397349483094";"4,91829370368979113";"0,91458879889511291";NA;"0,9661858460007452";"0,028648267102955205";"0,3410160809469959";NA;"3";"109";"2,509759027662246";NA;"0,0625434794601101";NA;"0.963104479883306";"0.0033005585636657";"Shapiro-Wilk normality test";"anova_UEQ_Dependability_res"
"UEQ_Novelty 12";"1,29040140809285e-03";"8,33015003088612e-04";"7,67912435872129e-03";"0,990352398350356";"1,30127643583675e-03";"8,40422984303512e-04";"7,69427035518569e-03";NA;"1,92877897195046e-01";"1,24511784565641e-01";"1,1478082318574536";"148,0291999667000";"1";"1";"1";"109";"1,92877897195046e-01";"1,24511784565641e-01";"1,1478082318574536";"1,358066054740367";"0,142023943917750417";"0,09168315792227420";"0,84517850059722610";NA;"0,7070098361945714";"0,762625269119854288";"0,3599499132592489";NA;"3";"109";"0,848957393779564";NA;"0,4700630384966087";NA;"0.980959776048559";"0.107672459503161";"Shapiro-Wilk normality test";"anova_UEQ_Novelty_res"
"UEQ_Stimulation 12";"1,46983595671368e-02";"6,45918856711546e-03";"1,28820803514630e-02";"0,967529844852825";"1,49643020847856e-02";"6,63168510679786e-03";"1,31394570183128e-02";NA;"1,70083108322952e+00";"7,47429577920627e-01";"1,4906590479264281";"111,9584009740260";"1";"1";"1";"109";"1,70083108322952e+00";"7,47429577920627e-01";"1,4906590479264281";"1,027141293339688";"1,655888137550547645";"0,72767941739583375";"1,45126971098556479";NA;"0,2008855740149330";"0,395507040534670562";"0,2309335124853795";NA;"3";"109";"0,210893275099267";NA;"0,8886685873510627";NA;"0.970620060722413";"0.0136340777677102";"Shapiro-Wilk normality test";"anova_UEQ_Stimulation_res"
