"Exp","HMI","VPNr","GutGefallen","NichtGefallen","Verbessern","Anmerkungen","AllgAnregungen","TC01_ChangeAvailOthers","TC01_ImplemAvail","TC01_Instr","TC01_LevelOthers","TC01_observedLevel","TC01_RemarksTL","TC01_RemarksTP","TC02_ChangeAvailOthers","TC02_ImplemAvail","TC02_Instr","TC02_LevelOthers","TC02_observedLevel","TC02_RemarksTL","TC02_RemarksTP","TC03_ChangeAvailOthers","TC03_ImplemAvail","TC03_Instr","TC03_LevelOthers","TC03_observedLevel","TC03_RemarksTL","TC03_RemarksTP","TC03_TransProblemsOthers","TC04_ChangeAvailOthers","TC04_ImplemAvail","TC04_Instr","TC04_LevelOthers","TC04_observedLevel","TC04_RemarksTL","TC04_RemarksTP","TC05_ChangeAvailOthers","TC05_ImplemAvail","TC05_Instr","TC05_LevelOthers","TC05_observedLevel","TC05_RemarksTL","TC05_RemarksTP","TC05_TransProblemsOthers","TC06_ChangeAvailOthers","TC06_ChangeAvailReasonOthers","TC06_ImplemAvail","TC06_Instr","TC06_LevelOthers","TC06_observedLevel","TC06_RemarksTL","TC06_RemarksTP","TC07_ChangeAvailOthers","TC07_ImplemAvail","TC07_Instr","TC07_LevelOthers","TC07_observedLevel","TC07_RemarksTL","TC07_RemarksTP","TC08_ChangeAvailOthers","TC08_ImplemAvail","TC08_Instr","TC08_LevelOthers","TC08_observedLevel","TC08_RemarksTL","TC08_RemarksTP","TC09_ChangeAvailOthers","TC09_ImplemAvail","TC09_Instr","TC09_LevelOthers","TC09_observedLevel","TC09_RemarksTL","TC09_RemarksTP","TC09_TransProblemsOthers","TC10_ChangeAvailOthers","TC10_ChangeAvailReasonOthers","TC10_ImplemAvail","TC10_Instr","TC10_LevelOthers","TC10_observedLevel","TC10_RemarksTL","TC10_RemarksTP","TC10_TransProblemsOthers","TC11_ChangeAvailOthers","TC11_ImplemAvail","TC11_Instr","TC11_LevelOthers","TC11_observedLevel","TC11_RemarksTL","TC11_RemarksTP","TC11_TransProblemsOthers","TC12_ChangeAvailOthers","TC12_ChangeAvailReasonOthers","TC12_ImplemAvail","TC12_Instr","TC12_LevelOthers","TC12_observedLevel","TC12_RemarksTL","TC12_RemarksTP","TC12_TransProblemsOthers"
"1","LC",76,"Einfache Gestaltung, übersichtliche Elemente, Redundanz über Farbe und Symbol, eindeutig","Hat mir gar nicht gefallen: Kein Ton o.ä. bei Systemfehler
War gewöhnungsbedürftig: Ich bin es vom ACC gewohnt, dass erst das System eingeschaltet und dann nochmal aktiviert werden muss. Hier war beim Einschalten das assistierte Fahren gleich aktiviert","Ein Ton oder taktiles Feedback beim Systemfehler und Übernahmeaufforderung
An das kombinierte Einschalten und Aktivieren könnte man sich vermutlich gut gewöhnen
Die Farbwahl (blau assistiert, gelb automatisiert) finde ich persönlich nicht eindeutig. Würde es eher anders herum erwartet.","","Warum wird in der Ansage beim Wenden immer gesagt, dass man in die letzte gefahrene Automatisierungsstufe geschaltet werden soll, wenn es durch den Versuchsfahrer sowieso explizit angesagt wird?",NA,1000,0,NA,0,"",NA,"",23,0,NA,0,"",NA,NA,1000,3,"",3,"erste mode dann fas (prüfen",NA,"",NA,1000,3,NA,3,"",NA,"",1000,2,NA,2,"",NA,"","","",2,2,NA,2,"kurz unsicher wegen hands on","",NA,1000,2,NA,2,"","",NA,23,2,NA,2,"",NA,NA,1000,3,NA,3,"",NA,NA,"","",0,0,NA,0,"","schneller wenn gleich aus knopf gedrückt hätte (heißt erst mode dann fas gedrückt)","",NA,23,3,NA,3,"",NA,NA,"","systemfehler",0,0,NA,0,"","evtl überreagiert wegen bremsen",""
"1","LC",77,"sehr minimalistische Darstellung. Keine überfrachtung des Kombidisplays","Multimodale Aufforderung wäre besser zu erkennen. Dass der Übergang von lvl 3 zu manuell erkannt wird ist eher zufall ob man gerade in das kombidisplay sieht. Botschaften was zu tun ist nicht beim ersten mal direkt eindeutig. Nach einmaligem Erklären aber sehr nachvollziehbar.","Multimodalität einführen. 
Eindeutigere Handlungsaufforderungen 
Deutlichere Abhebung welche Modi aktuell verfügbar sind","","",NA,1000,0,NA,0,"",NA,"",23,0,NA,0,"",NA,NA,1000,3,"",2,"nur assistiert geschaltet
wusste nicht welcher modus er war
auch knöpfe unklar; wurde von mir erklärt
Zusätzlich Bügel Dikablis war im Weg",NA,"nicht eindeutig",NA,1000,3,NA,3,"",NA,"",1000,2,NA,2,"",NA,"","","",2,2,NA,2,"","",NA,1000,2,NA,2,"","",NA,23,2,NA,2,"",NA,NA,1000,3,NA,3,"",NA,NA,"","",0,0,NA,0,"","","erwartet system wechselt automatisch wenn er hände ans lenkrad nimmt
system soll wechseln seiner meinung nach
",NA,23,3,NA,3,"",NA,NA,"","",0,0,NA,0,"durch bremsen","",""
"1","LC",51,"Das automatisierte Fahren","Immer den ständigen zusätzlichen Blick auf das Display ob Aufforderungen kommen, zu kurze Anzeigen","Die Veränderungen sollten den Fahrer mit Tönen signalisiert werden, sodass der ständige Wechsel des Blickwinkels vermindert wird. ","Nein ","",NA,1000,0,NA,0,"",NA,"",23,0,NA,0,"",NA,NA,1000,3,"",3,"2 mal Mod bevor Fas taste, dann nochmals mehrmals mod, war sich unsicher welcher modus welcher ist",NA,"richtigen knopf nicht gefunden",NA,1000,3,NA,3,"Übersteuert durch fas taste das System",NA,"",1000,2,NA,2,"mod schon gleich gefunden meiner meinung, 
zu beginn vor versuchsfahrt (ton) ansage von mir(!) ins automatisierte zu schalten, weil sie nur in assistiert war (aber war vor Ton) GRUND: Nicht mehr sicher welcher Modus welcher ist",NA,"schalter nicht gleich gefunden","","systemfehler",2,2,NA,2,"ins automatisierte geschalten, obwohl assistiert angesagt vor Versuchsbeginn (ton), Ansage von mir!, GRUND: Nicht mehr sicher welcher Modus welcher ist","kompliziert alles",NA,1000,2,NA,2,"","",NA,23,2,NA,3,"schaltet bei reiner verfügbarkeit in automatisiert, deshalb ach die Antworten gegeben, dass sie im automatisierten fahren war",NA,NA,1000,3,NA,3,"",NA,NA,"","",0,0,NA,0,"durch fas übersteuert","","",NA,23,3,NA,3,"Änderung vergessen anzugeben, aber geschaltet, deswegen auf jeden fall erkannt",NA,NA,"","",0,0,NA,0,"nicht erkannt das sensorfehler, bei notbremsung erst gebremst","","weil erst notbremsen erkannt, meint deswegen hatte sie probleme"
"1","LC",52,"Die Umstellung in die verschiedenen Automationsstufen waren nach zweimaliger Betätigung leicht zu merken und schnell erlernt.
Die verschiedenen Automationsstufen Ansich, so ist es für jede Situation perfekt einzustellen.","In der ersten Fahrt etwas verwirrt. 
Wenn man sich im Automatisierten Fahren mit der Nebenaufgabe beschäftigt, bekommt man Übernahme Aufforderung nicht mit, außer man schaut durch Zufall auf den Display.","Evtl. Töne einbauen um Übernehme zu bemerken","","",NA,1000,0,NA,0,"",NA,"",23,0,NA,0,"meinte bereits durch Verfügbarkeit befindet sie sich im Assistierte/Automatisierten Fahren, hat sich mit Nebenaufgabe beschäftigt",NA,NA,1000,3,"",2,"Hände Lenkrad sagt sie nein, wegen Aufforderung da hat sie es gemerkt,
nur 1 mal FAS meint dadurch sie ist im automatisierten Fahren,
Hands on kam und sie nahm hände ans lenkrad",NA,"",NA,1000,3,NA,3,"Bei 1. Ton zu Versuchsbeginn übersteuert durch Bremsen, 
Aufforderung VL Wieder in Automatisiert zu schalten (war nur Missverständnis)",NA,"konnte jetzt wechseln",1000,2,NA,2,"unsicher welcher Modus was macht und in welchem Modus Sie wirklich ist.
Hat noch einmal in Automatisiert geschaltet um zu testen (Bedienfehler unsicherheit)",NA,"","","",2,2,NA,2,"Hat vor Versuchsbeginn in Automatisiert geschaltet, Ansage von mir soll in assistiert schalten
Unsicherheit bei den Stufen (Anzeige vermutlich schlecht)","",NA,1000,2,NA,2,"hat erst mod dann fas taste gedrückt um in assistiert zu schalten. Tasten unklar.","",NA,23,2,NA,2,"hat sich mit nebenaufgabe beschäftigt, dann hands on meldung, nimmt hände ans lenkrad
wusste nicht mehr, dass nur in automatisiert nebenaufgabe benutzt werden darf",NA,NA,1000,3,NA,3,"",NA,NA,"","",0,0,NA,0,"sagt selber kein Problem bei wechsel, hat aber mehrmals MOD Taste dann erst FAS Taste zum übersteuern","","",NA,23,3,NA,3,"",NA,NA,"","",0,0,NA,0,"Übersteuert durch FAS, KEINE Notbremsung","",""
"1","LC",53,"relativ intuitiv
klare Ansagen und verständliche Symbole
","bei Fehlern/Notwendigkeit wieder manuell zu übernehmen, wäre ein intensiver Warnton sinnvoll","Warnton s.o.","","",NA,1000,0,NA,0,"",NA,"",23,0,NA,0,"",NA,NA,1000,3,"",3,"zögrnd aber richtig, nimmt eine hand nicht weg",NA,"",NA,1000,3,NA,3,"nimmt eine hand nicht weg, obwohl er weiß dass er wegnehmen darf",NA,"",1000,2,NA,2,"nach wechsel daumen noch am bedienelement, unsicherheit",NA,"","","",2,2,NA,2,"","",NA,1000,2,NA,2,"","skala jetzt erst erkannt, kann nicht sagen ob bereits davor ausgegraut war von TC7",NA,23,2,NA,2,"",NA,NA,1000,3,NA,3,"schaut sehr oft auf kombidisplay in automatisierter fahrt",NA,NA,"","",0,0,NA,0,"Skala wird nicht wahrgenommen, auch keine Änderung, nur dass man manuell Fahren soll","","wollte erst durch FAS taste vermutlich nicht getroffen weil FAS war richtig, dann gebremst (eigentlicher plan war FAS Taste)",NA,23,3,NA,3,"nimmt die linke Hand nie vom Lenkrad",NA,NA,"","",0,0,NA,0,"","Bremsen übersteuert und zusätzlich eigentlich gleichzeit mit tasten und dadurch nochmals angeschaltet in assistiert",""
"1","LC",54,"Einfach, übersichtlich, fesselnde Nebenaufgabe","Keine akustischen Warnsignale","Unbedingt Warnsignale bzw. Hinweistöne bei Status-Wechsel der Automatisierungs-Verfügbarkeit","Hinweis im Automatisierten Fahren sehr leicht zu übersehen bei Beschäftigung mit der Nebenaufgabe","",NA,1000,0,NA,0,"",NA,"",23,0,NA,0,"",NA,NA,1000,3,"",2,"Nur 1 mal FAS in Assitiert, dann kam hands on, nimmt hände wieder ans lenkrad, wusste auch dass er in assistiert war",NA,"",NA,1000,3,NA,3,"",NA,"",1000,2,NA,2,"",NA,"","","",2,2,NA,2,"","",NA,1000,2,NA,2,"","",NA,23,2,NA,2,"",NA,NA,1000,3,NA,3,"",NA,NA,"","",0,0,NA,0,"Drück FAS Taste zum übersteuern und relativ spät","Sie Systemgrenze nichts vorstellen, eher auch nur aus dem Augenwickel nur erkannt, hat vorschläge wie besser (Töne)","",NA,23,3,NA,3,"",NA,NA,"","",0,0,NA,0,"Notbremsung kommt, bremst daraufhin ab","",""
"1","LC",55,"leichte Bedienbarkeit","unauffällige Warnhinweise","Wenn kritische Situationen auftreten, auf diese auch deutlicher aufmerksam machen","","viel Erfolg",NA,1000,0,NA,0,"",NA,"",23,0,NA,3,"schaltet bereits bei Verfügbarkeit in automatisiert, ohne große Probleme",NA,NA,1000,3,"",3,"",NA,"",NA,1000,3,NA,3,"",NA,"",1000,2,NA,2,"",NA,"","","",2,2,NA,2,"","",NA,1000,2,NA,2,"","",NA,23,2,NA,2,"Verfügbarkeit nicht erkannt",NA,NA,1000,3,NA,3,"",NA,NA,"","",0,0,NA,0,"vermutet er hätte wieder einschalten können, erst spät erkannt Fehler, dann nicht gewusst was zu tun, dann notbremsung, dann erst gebremst 
hat die Fehlermeldung nicht wirklich wahrgenommen","","",NA,23,3,NA,3,"erkennt die Änderung der Verfügbarkeit nicht für alle TCs",NA,NA,"","",0,0,NA,0,"wieder bis Notbremsung, dann erst gebremst","",""
"1","LC",56,"Darstellung im Display

","Schriftliche Darstellung
","","","",NA,1000,0,NA,0,"",NA,"",23,0,NA,0,"",NA,NA,1000,3,"",2,"Nur 1 mal FAS, somit nur in assistiert, Hände aber am Lenkrad, antwortet er war in automatisiert, antwortet er darf hände aber nicht wegnehmen?!, Erklärung von mir",NA,"",NA,1000,3,NA,3,"spielt kein SURT, vergessen oder unklar, Erklärung von mir nochmals dass er spielen kann",NA,"meint er war im automatisierten",1000,2,NA,2,"er weiß nicht mehr, dass er selber in assistiert geschaltet hat, denkt dass wo hands on aufforderung kam, dass Sysrem selber gewechselt hat, hat keinen Überblick über HMI und Stufen und Anzeigen (Texte)",NA,"","nicht verstanden","",2,2,NA,2,"sieht zwar Text, versteht ihn aber nicht, da zu kurz, somit auch keine Änderung der Verfügbarkeit erkannt, HMI zu schlecht","",NA,1000,2,NA,2,"","",NA,23,2,NA,2,"sieht und liest verfügbarkeit, antwortet auch dementsprechend, drückt aber zu Beginn 1 mal MOD dann erst FAS um in Assistiert zu kommen",NA,NA,1000,3,NA,3,"wieder MOD 2mal um in Assistiert zu kommen, dann erst FAS, auch in TC 8 mit MOD versucht, davor immer richtig gemacht ?!",NA,NA,"","",0,0,NA,0,"nimmt nichts wahr, Notbremsung kommt, Aufforderung von mir zu Bremsen, dadurch auch Antwort keine Probleme bei Wechsel zwischen Stufen, siehe frage davor","","",NA,23,3,NA,3,"sieht auf Video Verfügbarkeitsänderung sagt aber nein, Handelt aber richtig bei Durchsage, nimmt Verfügbarkeit nicht wahr oder vergessen wegen Durchsage, Problem auch bei anderen PProbanden",NA,NA,"","",0,0,NA,0,"nimmt nichts wahr, Notbremsung kommt, nur auf meine Aufforderung bremst er dann, nimmt keine Verfügbarkeitsänderung wahr, deswegen auch keine Probleme bei Wechsel zu manuell","",""
"1","LC",57,"Das automatisierte Fahren testen, ist eine sehr hilfreiche und auch bereichernde Erfahrung.","","","","",NA,1000,0,NA,0,"",NA,"",23,0,NA,0,"",NA,NA,1000,3,"",2,"drückt 1 mal FAS und ist in Assistiert, Antwortet sie ist in Automatisiert, hat noch Hände am Lenkrad, antwortet auch sie darf Hände nicht wegnehmen?!",NA,"",NA,1000,3,NA,3,"unsicher welches Level sie sich befindet, Anzeige zu schlecht, spielt deshalb auch kein SURT, Erklärung von mir",NA,"",1000,2,NA,2,"",NA,"","","",2,2,NA,2,"","",NA,1000,2,NA,2,"","",NA,23,2,NA,2,"drückt bei Ton Versuchsbeginn kurz aus, dann wieder an",NA,NA,1000,3,NA,3,"immer 1 Hand am Lenkrad immer noch, aber volles Verständnis",NA,NA,"","",0,0,NA,0,"nimmt nichts wahr, Notbremsung kommt, Aufforderung von mir zu bremsen, Frage nach Probleme bei Übersteuern hinfällig","","",NA,23,3,NA,3,"1 Hand immer am Lenkrad",NA,NA,"weiß nicht ob noch was verfügbar wäre","",0,0,NA,0,"sieht Fehler drückt MOD, dann kommt Notbremsung, sie bremst daraufhin","",""
"1","LC",58,"einfach gestaltetes Display, einfach verständliche Symbole","Warnhinweise brauchen Töne , sonst ist das System völlig unbenutzbar und unsicher","Warntöne, wenn Sensorfehler oder Notbremsung auftritt","","",NA,1000,0,NA,0,"",NA,"",23,0,NA,0,"",NA,NA,1000,3,"",3,"",NA,"",NA,1000,3,NA,3,"",NA,"",1000,2,NA,2,"",NA,"","","",2,2,NA,2,"Unsicher ob er im assistierten auch Hände wegnehmen darf, Nachfrage und Antwort von mir","",NA,1000,2,NA,2,"","",NA,23,2,NA,2,"",NA,NA,1000,3,NA,3,"",NA,NA,"","Notbremsung",0,0,NA,0,"Nimmt nichts wahr, erst bei Notbremsung schaut er hin und übersteuert durch FAS","Schlechte Warnung, soll Ton geben...","",NA,23,3,NA,3,"",NA,NA,"","",0,0,NA,0,"FAS und gebremst","","hat instinktiv auf Bremse gedrückt, vielleicht nicht das beste"
