"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","VP","HMI","Datum","Wetter","Licht","AutomatStufeBefunden","AutomatStufeBefunden[other]","AenderungVerfuegbark","FallsJa","FallsJa[other]","HaendeLenkrad","Emails","Sonderanmerkungen","Notiz","ER1","q0r496","q0r496[other]","r94q0","r440q0","r440q0[other]","r182q0","r164q0","q0r969","q0r262","ER2","q0r972","q0r972[other]","r215q0","r564q0","r564q0[other]","r554q0","r329q0","Probleme","fallsjaproblem","q0r994","q0r624","ER3","q0r888","q0r888[other]","r665q0","r207q0","r207q0[other]","r274q0","r274q1","q0r3","q0r337","ER4","q0r341","q0r341[other]","r676q0","r217q0","r217q0[other]","r36q0","r448q0","r500q0","r729q0","q0r409","q0r873","ER5","q0r432","q0r432[other]","r462q0","r608q0","r608q0[other]","FallsJa2","FallsJa2[other]","r711q0","r5q0","q0r933","q0r157","ER6","q0r842","q0r842[other]","r159q0","r808q0","r808q0[other]","r734q0","r620q0","q0r676","q0r791","ER7","q0r204","q0r204[other]","r77q0","r29q0","r29q0[other]","r64q0","r175q0","q0r774","q0r98","ER8","q0r691","q0r691[other]","r582q0","r243q0","r243q0[other]","r185q0","r36q1","r438q0","r17q0","q0r355","q0r255","ER9","q0r940","q0r940[other]","r405q0","r754q0","r754q0[other]","r733q0","r733q0[other]","r801q0","r235q0","q0r299","q0r360","q0r485","q0r216","ER10","q0r64","q0r64[other]","r850q0","r972q0","r972q0[other]","r722q0","r230q0","r469q0","r138q0","q0r83","q0r805","TC11","q0r522","q0r522[other]","r225q0","r822q0","r822q0[other]","r857q0","r857q0[other]","r769q0","r658q0","r663q0","r314q0","q0r1017","q0r594","ER12"
"18","2020-09-29 09:57:08","1","de","","2020-09-29 08:57:43","2020-09-29 09:57:08","02","A1","2020-09-29 08:57:52","A4","A2","A1","","N","","","N","N","","","A1","A5","","Y","A2","","Y","Y","Erster Kontakt mit Bedienelementen beim fahren sehr s chwer","","A4","A5","","N","","","Y","Y","N","","","","A1","A5","","N","","","Y","Y","","","A1","A3","","N","","","N","N","N","","","","A1","A3","","Y","A7","","A1","","N","N","","","A1","A3","","N","","","N","N","","","A1","A3","","Y","A4","","N","N","","Erst hier Skala richtig angeschaut _ Anmerkung Icons sind weiter links","A1","A5","","N","","","Y","Y","N","","","","A1","A1","","Y","A8","","A2","","N","N","N","","","","A2","A5","","Y","A3","","Y","Y","N","","","Hase auf Straße","A1","A1","","Y","A8","","A1","","N","N","Y","Bremsen für Übernahme - Allein ans Lenkrad fassen reicht nicht, hätte Proband aber erwartet, zumindest kurz zu lenken","","","A2"
"19","2020-09-29 12:02:36","1","de","","2020-09-29 11:00:25","2020-09-29 12:02:36","51","A2","2020-09-29 11:00:34","A3","A2","A1","","N","","","N","N","","","A1","A1","","Y","A4","","N","N","","","A1","A5","","N","","","Y","Y","Y","Nach einschalten mit zwischenstufe gerechnet","","","A2","A5","","N","","","Y","Y","Wieder Anzeige ""Automatisiertes fahren verfügbar"" erwartet - Weil es bei erster Fahrt auch so war und sich an Fahrbedingungen nichts geändert hat","","A1","A3","","N","","","N","N","N","","","","A1","A3","","N","","","","","N","N","","","A3","A3","","N","","","N","N","","","A1","A3","","Y","A4","","N","N","","","A1","A5","","N","","","Y","Y","N","","","","A1","A5","","Y","A8","","A3","","Y","Y","Y","Als Änderung der Verfügbarkeit wahrgenommen und deshalb nicht gehandelt","","","A4","A5","","Y","A4","","Y","Y","N","","","","A1","A1","","N","","","","","N","N","N","","Akustisches Signal bei Sensorfehler gewünscht","","A1"
"20","2020-09-29 15:14:38","1","de","","2020-09-29 14:06:18","2020-09-29 15:14:38","03","A1","2020-09-29 14:06:27","A3","A2","-oth-","Nicht automatisiert","N","","","N","N","","","A1","A1","","Y","-oth-","Assistenz verfügbar, nicht gemerkt welche Stufen genau","N","N","","","A2","A5","","Y","A4","","Y","Y","N","","","","A1","A5","","N","","","Y","Y","","","A1","A3","","Y","A3","","N","N","N","","","","A1","A3","","Y","-oth-","Assistenzsystem","A1","","N","N","","","A2","A3","","Y","A7","","N","N","","","A2","A3","","Y","A4","","N","N","","","A1","A5","","N","","","Y","Y","N","","","","A1","A1","","Y","A10","","A3","","N","N","Y","Erst mit Lenken versucht - funktionierte nicht","","","A3","A5","","Y","A3","","Y","Y","N","","","","A1","A1","","Y","A10","","A1","","N","N","N","","","","A2"
"21","2020-09-29 17:13:46","1","de","","2020-09-29 16:04:14","2020-09-29 17:13:46","52","A2","2020-09-29 16:04:28","A3","A2","A1","","N","","","N","N","","","A4","A1","","Y","A4","","N","N","","","A1","A5","","N","","","Y","Y","Y","Dachte 2 mal FAS drücken, drücken der anderen Taste erst bei zweitem Versuch ","","","A3","A5","","N","","","Y","Y","","","A1","A3","","N","","","Y","N","N","","","Unsicherheit ob Hände ans Steuer in L2","A2","A3","","Y","A7","","A1","","N","N","","","A1","A3","","N","","","N","N","","","A1","A3","","Y","A4","","N","N","","","A1","A5","","N","","","Y","Y","N","","","","A1","A1","","Y","A10","","-oth-","Außerhalb der Wertgrenze","N","N","Y","Kurz überlegt ob über Taste deaktiviert werden kann - Machte für Proband keinen Sinn, also übersteuert","","","A2","A5","","Y","A4","","Y","Y","N","","","","A1","A1","","Y","A7","","A1","","N","N","N","","Immer Angst eine Meldung zu verpassen - Stressig in L3,Konzentration auf nebenaufgabe nicht möglich","","A1"
"23","2020-10-01 10:19:14","1","de","","2020-10-01 09:30:14","2020-10-01 10:19:14","53","A2","2020-10-01 09:30:21","A1","A1","-oth-","Alles selber machen ","N","","","N","N","","","A1","A1","","Y","A4","","N","N","Meldung sehr klein, lieber größer und mit Audio Durchsage","","A1","A5","","N","","","Y","Y","N","","Fehlendes Vertrauen für nebenaufgabe","","A4","-oth-","Teilautonom","N","","","N","N","Symbole unklar zu weit unten","","A4","A3","","N","","","N","N","N","","","","A1","-oth-","Fahrer fährt","Y","-oth-","Teilautonom nicht verfügbar ","A1","","N","N","","","A3","-oth-","Teilautonom","N","","","N","N","","","A1","A3","","Y","A4","","N","N","","","A1","A5","","N","","","Y","Y","N","","","","A1","-oth-","Normal","Y","-oth-","Autonom  nicht verfügbar selber fahren","A1","","N","N","N","","Automatischer Wechsel ","","A2","-oth-","Autonom","N","","","Y","Y","N","","","","A3","-oth-","Selber fahren","Y","-oth-","System nicht verfügbar ","A1","","N","N","N","","","","A2"
"24","2020-10-01 12:15:05","1","de","","2020-10-01 11:05:29","2020-10-01 12:15:05","54","A2","2020-10-01 11:24:14","A2","A1","A1","","N","","","N","N","","","A1","A1","","Y","-oth-","Von manuell auf automatisiert ","N","N","Verwirrende Anzeige, drei Symbole beleuchtet aber unklar welche Stufe aktiv, erst gemerkt als Hände vom Lenkrad und Auto nicht gelenkt","","A3","A5","","Y","-oth-","Von manuell auf automatisiert ","Y","Y","N","","Jetzt Automation verstanden un gelernt wie Anzeige bei Wechsel aussieht ","","A2","A5","","Y","-oth-","Hin und her geschaltet","Y","Y","","Unsicherheit ob Hände entfernen dürfen "" Ich kann, aber darf eigentlich nicht""","A1","A3","","Y","-oth-","Umschalten genannt","N","N","N","","","Proband nimmt noch einmal Abbildung i n die Hand ""ich merke keinen unterschied"", verwirrung da Auto sich in l2 komplett gleich verhält","A1","A3","","Y","-oth-","Assistiert nichtverfügbar","A1","","N","N","Jetzt verstanden Mitte = assistiert und rechts = automatisiert (skala)","","A1","A3","","Y","-oth-","Umschalten zwischen den Stufen genannt","N","N","","","A1","A3","","Y","-oth-","Umschalten genannt","N","N","","","A1","A5","","Y","-oth-","Umschalten genannt","Y","Y","N","","","","A1","A1","","Y","-oth-","","-oth-","Ende Systemstrecke , übernehmen","N","N","N","","Unterschied zwischen  l2 u l3 beim Fahrverhalten nicht klar, nur durch Anzeige - verwirrt","","A1","A5","","Y","-oth-","Umschalten genannt","Y","Y","N","","","","A1","A1","","Y","A10","","A1","","N","N","N","","Erst Wechsel über mod probiert, drücken der Tasten noch nicht zu 100 Prozent klar","","A2"
"25","2020-10-01 17:06:11","1","de","","2020-10-01 16:00:40","2020-10-01 17:06:11","56","A2","2020-10-01 16:23:07","A1","A1","A1","","N","","","N","N","","","A1","A1","","Y","A3","","N","N","","","A1","A3","","Y","A2","","N","N","N","","","Ansage war automatisiert,  falsch verstanden oder verwechselt?","A3","A5","","Y","A2","","Y","Y","Korrektur tc3: ich war nur assistiert,  nicht automatisiert ","","A1","A3","","Y","A2","","Y","N","N","","","VP nennt immer die verfügbaren Level, nicht nur die änderungen","A1","A1","","Y","-oth-","Aufgefordert selber zu fahren","-oth-","Hod","N","N","","HOD lange nicht die Hände ans Steuer- fast Notbremsung","A4","A3","","Y","-oth-","Manuell und assistiert verfügbar ","Y","N","","","A1","A3","","Y","A4","","Y","N","","Auch nach HOD der Meinung, dass Hände nicht an Lenkrad müssen","A1","A5","","N","","","Y","Y","N","","","Hände nicht an Lenkrad in l2, überwacht aber und lässt es nicht wieder zur bremsung kommen","A1","A1","","Y","A7","","A1","","N","N","N","","","","A2","A5","","Y","A2","","Y","Y","N","","","","A1","A1","","Y","A8","","A1","","N","N","N","","","","A1"
"26","2020-10-02 09:59:29","1","de","","2020-10-02 08:47:55","2020-10-02 09:59:29","04","A1","2020-10-02 09:19:11","A2","A2","A1","","N","","","N","N","","","A1","A1","","Y","A3","","N","N","","","A1","A5","","N","","","Y","Y","N","","","","A2","A5","","N","","","Y","Y","","","A1","A3","","N","","","N","N","N","","","","A1","A3","","Y","A7","","-oth-","Sensordefekt","N","N","Assistiert scheint auch eine Weile ohne Hände am Lenkrad zu funktionieren ","","A1","A3","","N","","","N","N","","","A1","A3","","Y","A4","","N","N","","","A1","A5","","N","","","Y","Y","N","","","","A1","A1","","Y","A7","","A2","","N","N","N","","","","A1","A5","","Y","A3","","Y","Y","N","","","","A1","A1","","Y","A7","","-oth-","Sensordefekt","N","N","N","","","","A1"
"27","2020-10-02 12:15:06","1","de","","2020-10-02 11:06:25","2020-10-02 12:15:06","05","A1","2020-10-02 11:26:15","A3","A2","A1","","N","","","N","N","","","A3","A1","","Y","-oth-","Zwei Zeichen angegangen","N","N","","","A2","A5","","N","","","Y","N","N","","","","A4","A3","","Y","A3","","N","N","Alle Knöpfe gedrückt und so automatisiert gefunden","","A4","A3","","Y","-oth-","Umschalten genannt","N","N","N","","Unsicher in l3 den Blick von Straße z wenden","Proband lenkt und gibt Gas um das Auto zu testen","A1","A5","","Y","A7","","A2","","Y","Y","","Proband handelt ohne Aufforderung- Hinweis von lv","A2","A3","","N","","","N","N","","","A1","A3","","Y","A4","","N","N","Hinweis zum ersten mal gesehen","","A1","A5","","N","","","Y","Y","N","","Ab jetzt sicherer in L3,  Blick von Straße dennoch unwohl","","A1","A1","","N","","","","","N","N","N","","Geräusch klingt wie SMS, hätte erwartet, dass Auto bremst","Keinerlei Reaktion auf Nachricht, obwohl gesehen ","A4","A5","","N","","","Y","Y","N","","","","A1","A1","","N","","","","","N","N","Y","Wiederherstellen von Level mit mod versucht,ging aber nicht","","","A1"
"28","2020-10-02 15:00:31","1","de","","2020-10-02 14:04:30","2020-10-02 15:00:31","06","A1","2020-10-02 14:17:57","A4","A2","A5","","N","","","Y","Y","Wusste nicht ob schon ausprobieren darf ","","A4","A1","","Y","A3","","N","N","","","A1","A5","","N","","","Y","Y","N","","","","A1","A5","","N","","","Y","Y","","","A1","A3","","N","","","N","N","N","","","","A1","A3","","Y","A7","","A1","","N","N","","","A1","A3","","N","","","N","N","","","A1","A3","","Y","A4","","N","N","","","A1","A5","","N","","","Y","Y","N","","","","A1","A1","","Y","-oth-","Vom automatisierten ins manuelle übernehmen","A1","","N","N","Y","Übersteuern über lenken versucht,ging nicht, dann gebremst","","","A3","A5","","Y","A3","","Y","Y","N","","Nicht mehr sicher ob in automatisierten oder assistiert weil sie sich nicht mehr ganz an Anzeige erinnern kann","","A1","A1","","Y","-oth-","Von automatisiert übernehmen ","A1","","N","N","N","","","Übernahme wieder über lenken versucht, dann aber schnell gebremst","A2"
