"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","VP","HMI","Datum","Wetter","Licht","AutomatStufeBefunden","AutomatStufeBefunden[other]","AenderungVerfuegbark","FallsJa","FallsJa[other]","HaendeLenkrad","Emails","Sonderanmerkungen","Notiz","ER1","q0r496","q0r496[other]","r94q0","r440q0","r440q0[other]","r182q0","r164q0","q0r969","q0r262","ER2","q0r972","q0r972[other]","r215q0","r564q0","r564q0[other]","r554q0","r329q0","Probleme","fallsjaproblem","q0r994","q0r624","ER3","q0r888","q0r888[other]","r665q0","r207q0","r207q0[other]","r274q0","r274q1","q0r3","q0r337","ER4","q0r341","q0r341[other]","r676q0","r217q0","r217q0[other]","r36q0","r448q0","r500q0","r729q0","q0r409","q0r873","ER5","q0r432","q0r432[other]","r462q0","r608q0","r608q0[other]","FallsJa2","FallsJa2[other]","r711q0","r5q0","q0r933","q0r157","ER6","q0r842","q0r842[other]","r159q0","r808q0","r808q0[other]","r734q0","r620q0","q0r676","q0r791","ER7","q0r204","q0r204[other]","r77q0","r29q0","r29q0[other]","r64q0","r175q0","q0r774","q0r98","ER8","q0r691","q0r691[other]","r582q0","r243q0","r243q0[other]","r185q0","r36q1","r438q0","r17q0","q0r355","q0r255","ER9","q0r940","q0r940[other]","r405q0","r754q0","r754q0[other]","r733q0","r733q0[other]","r801q0","r235q0","q0r299","q0r360","q0r485","q0r216","ER10","q0r64","q0r64[other]","r850q0","r972q0","r972q0[other]","r722q0","r230q0","r469q0","r138q0","q0r83","q0r805","TC11","q0r522","q0r522[other]","r225q0","r822q0","r822q0[other]","r857q0","r857q0[other]","r769q0","r658q0","r663q0","r314q0","q0r1017","q0r594","ER12"
"18","2020-09-29 09:57:08","1","de","","2020-09-29 08:57:43","2020-09-29 09:57:08","02","HC_HMI","2020-09-29 08:57:52","Leichter Regen","Hell","Manuelles Fahren","","Nein","","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Ja","Alle verfügbar","","Ja","Ja","Erster Kontakt mit Bedienelementen beim fahren sehr s chwer","","4 - Massive Fehler; Ein oder mehrere Fehler Deutlich beeinträchtigter Operationsablauf Übermäßige Korrektur von Fehlern Keine Hilfe des Experimentators erforderlich","Automatisiertes Fahren","","Nein","","","Ja","Ja","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Nein","","","Ja","Ja","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Nein","","","Nein","Nein","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Ja","Automatisiert nicht mehr verfügbar","","Sensorfehler","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Nein","","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Ja","Automatisiert verfügbar","","Nein","Nein","","Erst hier Skala richtig angeschaut _ Anmerkung Icons sind weiter links","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Nein","","","Ja","Ja","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Ja","Automatisiert und Assistiert nicht mehr verfügbar","","Weiß nicht mehr","","Nein","Nein","Nein","","","","2 - Zögern; Unabhängige Lösung ohne Fehler Aber: Zögern, sehr bewusstes Handeln und volle Konzentration","Automatisiertes Fahren","","Ja","Assistiert und Automatisiertes Fahren verfügbar","","Ja","Ja","Nein","","","Hase auf Straße","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Ja","Automatisiert und Assistiert nicht mehr verfügbar","","Sensorfehler","","Nein","Nein","Ja","Bremsen für Übernahme - Allein ans Lenkrad fassen reicht nicht, hätte Proband aber erwartet, zumindest kurz zu lenken","","","2 - Zögern; Unabhängige Lösung ohne Fehler Aber: Zögern, sehr bewusstes Handeln und volle Konzentration"
"19","2020-09-29 12:02:36","1","de","","2020-09-29 11:00:25","2020-09-29 12:02:36","51","LC_HMI","2020-09-29 11:00:34","Stark bewölkt","Hell","Manuelles Fahren","","Nein","","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Ja","Automatisiert verfügbar","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Nein","","","Ja","Ja","Ja","Nach einschalten mit zwischenstufe gerechnet","","","2 - Zögern; Unabhängige Lösung ohne Fehler Aber: Zögern, sehr bewusstes Handeln und volle Konzentration","Automatisiertes Fahren","","Nein","","","Ja","Ja","Wieder Anzeige ""Automatisiertes fahren verfügbar"" erwartet - Weil es bei erster Fahrt auch so war und sich an Fahrbedingungen nichts geändert hat","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Nein","","","Nein","Nein","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Nein","","","","","Nein","Nein","","","3 - Kleinere Fehler; Unabhängige Lösung ohne oder mit kleineren Fehlern, die selbstbewusst korrigiert Aber: Längere Denkpausen Bewertung möglicher Arbeitsschritte","Assistiertes Fahren","","Nein","","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Ja","Automatisiert verfügbar","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Nein","","","Ja","Ja","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Ja","Automatisiert und Assistiert nicht mehr verfügbar","","Nichts erkannt","","Ja","Ja","Ja","Als Änderung der Verfügbarkeit wahrgenommen und deshalb nicht gehandelt","","","4 - Massive Fehler; Ein oder mehrere Fehler Deutlich beeinträchtigter Operationsablauf Übermäßige Korrektur von Fehlern Keine Hilfe des Experimentators erforderlich","Automatisiertes Fahren","","Ja","Automatisiert verfügbar","","Ja","Ja","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Nein","","","","","Nein","Nein","Nein","","Akustisches Signal bei Sensorfehler gewünscht","","1 - Keine Probleme; Schnelles Verarbeiten"
"20","2020-09-29 15:14:38","1","de","","2020-09-29 14:06:18","2020-09-29 15:14:38","03","HC_HMI","2020-09-29 14:06:27","Stark bewölkt","Hell","Sonstiges","Nicht automatisiert","Nein","","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Ja","Sonstiges","Assistenz verfügbar, nicht gemerkt welche Stufen genau","Nein","Nein","","","2 - Zögern; Unabhängige Lösung ohne Fehler Aber: Zögern, sehr bewusstes Handeln und volle Konzentration","Automatisiertes Fahren","","Ja","Automatisiert verfügbar","","Ja","Ja","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Nein","","","Ja","Ja","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Ja","Assistiert und Automatisiertes Fahren verfügbar","","Nein","Nein","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Ja","Sonstiges","Assistenzsystem","Sensorfehler","","Nein","Nein","","","2 - Zögern; Unabhängige Lösung ohne Fehler Aber: Zögern, sehr bewusstes Handeln und volle Konzentration","Assistiertes Fahren","","Ja","Automatisiert nicht mehr verfügbar","","Nein","Nein","","","2 - Zögern; Unabhängige Lösung ohne Fehler Aber: Zögern, sehr bewusstes Handeln und volle Konzentration","Assistiertes Fahren","","Ja","Automatisiert verfügbar","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Nein","","","Ja","Ja","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Ja","Nur Manuell verfügbar","","Nichts erkannt","","Nein","Nein","Ja","Erst mit Lenken versucht - funktionierte nicht","","","3 - Kleinere Fehler; Unabhängige Lösung ohne oder mit kleineren Fehlern, die selbstbewusst korrigiert Aber: Längere Denkpausen Bewertung möglicher Arbeitsschritte","Automatisiertes Fahren","","Ja","Assistiert und Automatisiertes Fahren verfügbar","","Ja","Ja","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Ja","Nur Manuell verfügbar","","Sensorfehler","","Nein","Nein","Nein","","","","2 - Zögern; Unabhängige Lösung ohne Fehler Aber: Zögern, sehr bewusstes Handeln und volle Konzentration"
"21","2020-09-29 17:13:46","1","de","","2020-09-29 16:04:14","2020-09-29 17:13:46","52","LC_HMI","2020-09-29 16:04:28","Stark bewölkt","Hell","Manuelles Fahren","","Nein","","","Nein","Nein","","","4 - Massive Fehler; Ein oder mehrere Fehler Deutlich beeinträchtigter Operationsablauf Übermäßige Korrektur von Fehlern Keine Hilfe des Experimentators erforderlich","Manuelles Fahren","","Ja","Automatisiert verfügbar","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Nein","","","Ja","Ja","Ja","Dachte 2 mal FAS drücken, drücken der anderen Taste erst bei zweitem Versuch ","","","3 - Kleinere Fehler; Unabhängige Lösung ohne oder mit kleineren Fehlern, die selbstbewusst korrigiert Aber: Längere Denkpausen Bewertung möglicher Arbeitsschritte","Automatisiertes Fahren","","Nein","","","Ja","Ja","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Nein","","","Ja","Nein","Nein","","","Unsicherheit ob Hände ans Steuer in L2","2 - Zögern; Unabhängige Lösung ohne Fehler Aber: Zögern, sehr bewusstes Handeln und volle Konzentration","Assistiertes Fahren","","Ja","Automatisiert nicht mehr verfügbar","","Sensorfehler","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Nein","","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Ja","Automatisiert verfügbar","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Nein","","","Ja","Ja","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Ja","Nur Manuell verfügbar","","Sonstiges","Außerhalb der Wertgrenze","Nein","Nein","Ja","Kurz überlegt ob über Taste deaktiviert werden kann - Machte für Proband keinen Sinn, also übersteuert","","","2 - Zögern; Unabhängige Lösung ohne Fehler Aber: Zögern, sehr bewusstes Handeln und volle Konzentration","Automatisiertes Fahren","","Ja","Automatisiert verfügbar","","Ja","Ja","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Ja","Automatisiert nicht mehr verfügbar","","Sensorfehler","","Nein","Nein","Nein","","Immer Angst eine Meldung zu verpassen - Stressig in L3,Konzentration auf nebenaufgabe nicht möglich","","1 - Keine Probleme; Schnelles Verarbeiten"
"23","2020-10-01 10:19:14","1","de","","2020-10-01 09:30:14","2020-10-01 10:19:14","53","LC_HMI","2020-10-01 09:30:21","Sonnig, blauer Himmel","Sehr hell, blendend","Sonstiges","Alles selber machen ","Nein","","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Ja","Automatisiert verfügbar","","Nein","Nein","Meldung sehr klein, lieber größer und mit Audio Durchsage","","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Nein","","","Ja","Ja","Nein","","Fehlendes Vertrauen für nebenaufgabe","","4 - Massive Fehler; Ein oder mehrere Fehler Deutlich beeinträchtigter Operationsablauf Übermäßige Korrektur von Fehlern Keine Hilfe des Experimentators erforderlich","Sonstiges","Teilautonom","Nein","","","Nein","Nein","Symbole unklar zu weit unten","","4 - Massive Fehler; Ein oder mehrere Fehler Deutlich beeinträchtigter Operationsablauf Übermäßige Korrektur von Fehlern Keine Hilfe des Experimentators erforderlich","Assistiertes Fahren","","Nein","","","Nein","Nein","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Sonstiges","Fahrer fährt","Ja","Sonstiges","Teilautonom nicht verfügbar ","Sensorfehler","","Nein","Nein","","","3 - Kleinere Fehler; Unabhängige Lösung ohne oder mit kleineren Fehlern, die selbstbewusst korrigiert Aber: Längere Denkpausen Bewertung möglicher Arbeitsschritte","Sonstiges","Teilautonom","Nein","","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Ja","Automatisiert verfügbar","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Nein","","","Ja","Ja","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Sonstiges","Normal","Ja","Sonstiges","Autonom  nicht verfügbar selber fahren","Systemgrenze","","Nein","Nein","Nein","","Automatischer Wechsel ","","2 - Zögern; Unabhängige Lösung ohne Fehler Aber: Zögern, sehr bewusstes Handeln und volle Konzentration","Sonstiges","Autonom","Nein","","","Ja","Ja","Nein","","","","3 - Kleinere Fehler; Unabhängige Lösung ohne oder mit kleineren Fehlern, die selbstbewusst korrigiert Aber: Längere Denkpausen Bewertung möglicher Arbeitsschritte","Sonstiges","Selber fahren","Ja","Sonstiges","System nicht verfügbar ","Sensorfehler","","Nein","Nein","Nein","","","","2 - Zögern; Unabhängige Lösung ohne Fehler Aber: Zögern, sehr bewusstes Handeln und volle Konzentration"
"24","2020-10-01 12:15:05","1","de","","2020-10-01 11:05:29","2020-10-01 12:15:05","54","LC_HMI","2020-10-01 11:24:14","Leicht bewölkt","Sehr hell, blendend","Manuelles Fahren","","Nein","","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Ja","Sonstiges","Von manuell auf automatisiert ","Nein","Nein","Verwirrende Anzeige, drei Symbole beleuchtet aber unklar welche Stufe aktiv, erst gemerkt als Hände vom Lenkrad und Auto nicht gelenkt","","3 - Kleinere Fehler; Unabhängige Lösung ohne oder mit kleineren Fehlern, die selbstbewusst korrigiert Aber: Längere Denkpausen Bewertung möglicher Arbeitsschritte","Automatisiertes Fahren","","Ja","Sonstiges","Von manuell auf automatisiert ","Ja","Ja","Nein","","Jetzt Automation verstanden un gelernt wie Anzeige bei Wechsel aussieht ","","2 - Zögern; Unabhängige Lösung ohne Fehler Aber: Zögern, sehr bewusstes Handeln und volle Konzentration","Automatisiertes Fahren","","Ja","Sonstiges","Hin und her geschaltet","Ja","Ja","","Unsicherheit ob Hände entfernen dürfen "" Ich kann, aber darf eigentlich nicht""","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Ja","Sonstiges","Umschalten genannt","Nein","Nein","Nein","","","Proband nimmt noch einmal Abbildung i n die Hand ""ich merke keinen unterschied"", verwirrung da Auto sich in l2 komplett gleich verhält","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Ja","Sonstiges","Assistiert nichtverfügbar","Sensorfehler","","Nein","Nein","Jetzt verstanden Mitte = assistiert und rechts = automatisiert (skala)","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Ja","Sonstiges","Umschalten zwischen den Stufen genannt","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Ja","Sonstiges","Umschalten genannt","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Ja","Sonstiges","Umschalten genannt","Ja","Ja","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Ja","Sonstiges","","Sonstiges","Ende Systemstrecke , übernehmen","Nein","Nein","Nein","","Unterschied zwischen  l2 u l3 beim Fahrverhalten nicht klar, nur durch Anzeige - verwirrt","","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Ja","Sonstiges","Umschalten genannt","Ja","Ja","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Ja","Nur Manuell verfügbar","","Sensorfehler","","Nein","Nein","Nein","","Erst Wechsel über mod probiert, drücken der Tasten noch nicht zu 100 Prozent klar","","2 - Zögern; Unabhängige Lösung ohne Fehler Aber: Zögern, sehr bewusstes Handeln und volle Konzentration"
"25","2020-10-01 17:06:11","1","de","","2020-10-01 16:00:40","2020-10-01 17:06:11","56","LC_HMI","2020-10-01 16:23:07","Sonnig, blauer Himmel","Sehr hell, blendend","Manuelles Fahren","","Nein","","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Ja","Assistiert und Automatisiertes Fahren verfügbar","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Ja","Alle verfügbar","","Nein","Nein","Nein","","","Ansage war automatisiert,  falsch verstanden oder verwechselt?","3 - Kleinere Fehler; Unabhängige Lösung ohne oder mit kleineren Fehlern, die selbstbewusst korrigiert Aber: Längere Denkpausen Bewertung möglicher Arbeitsschritte","Automatisiertes Fahren","","Ja","Alle verfügbar","","Ja","Ja","Korrektur tc3: ich war nur assistiert,  nicht automatisiert ","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Ja","Alle verfügbar","","Ja","Nein","Nein","","","VP nennt immer die verfügbaren Level, nicht nur die änderungen","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Ja","Sonstiges","Aufgefordert selber zu fahren","Sonstiges","Hod","Nein","Nein","","HOD lange nicht die Hände ans Steuer- fast Notbremsung","4 - Massive Fehler; Ein oder mehrere Fehler Deutlich beeinträchtigter Operationsablauf Übermäßige Korrektur von Fehlern Keine Hilfe des Experimentators erforderlich","Assistiertes Fahren","","Ja","Sonstiges","Manuell und assistiert verfügbar ","Ja","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Ja","Automatisiert verfügbar","","Ja","Nein","","Auch nach HOD der Meinung, dass Hände nicht an Lenkrad müssen","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Nein","","","Ja","Ja","Nein","","","Hände nicht an Lenkrad in l2, überwacht aber und lässt es nicht wieder zur bremsung kommen","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Ja","Automatisiert nicht mehr verfügbar","","Systemgrenze","","Nein","Nein","Nein","","","","2 - Zögern; Unabhängige Lösung ohne Fehler Aber: Zögern, sehr bewusstes Handeln und volle Konzentration","Automatisiertes Fahren","","Ja","Alle verfügbar","","Ja","Ja","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Ja","Automatisiert und Assistiert nicht mehr verfügbar","","Sensorfehler","","Nein","Nein","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten"
"26","2020-10-02 09:59:29","1","de","","2020-10-02 08:47:55","2020-10-02 09:59:29","04","HC_HMI","2020-10-02 09:19:11","Leicht bewölkt","Hell","Manuelles Fahren","","Nein","","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Ja","Assistiert und Automatisiertes Fahren verfügbar","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Nein","","","Ja","Ja","Nein","","","","2 - Zögern; Unabhängige Lösung ohne Fehler Aber: Zögern, sehr bewusstes Handeln und volle Konzentration","Automatisiertes Fahren","","Nein","","","Ja","Ja","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Nein","","","Nein","Nein","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Ja","Automatisiert nicht mehr verfügbar","","Sonstiges","Sensordefekt","Nein","Nein","Assistiert scheint auch eine Weile ohne Hände am Lenkrad zu funktionieren ","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Nein","","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Ja","Automatisiert verfügbar","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Nein","","","Ja","Ja","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Ja","Automatisiert nicht mehr verfügbar","","Weiß nicht mehr","","Nein","Nein","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Ja","Assistiert und Automatisiertes Fahren verfügbar","","Ja","Ja","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Ja","Automatisiert nicht mehr verfügbar","","Sonstiges","Sensordefekt","Nein","Nein","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten"
"27","2020-10-02 12:15:06","1","de","","2020-10-02 11:06:25","2020-10-02 12:15:06","05","HC_HMI","2020-10-02 11:26:15","Stark bewölkt","Hell","Manuelles Fahren","","Nein","","","Nein","Nein","","","3 - Kleinere Fehler; Unabhängige Lösung ohne oder mit kleineren Fehlern, die selbstbewusst korrigiert Aber: Längere Denkpausen Bewertung möglicher Arbeitsschritte","Manuelles Fahren","","Ja","Sonstiges","Zwei Zeichen angegangen","Nein","Nein","","","2 - Zögern; Unabhängige Lösung ohne Fehler Aber: Zögern, sehr bewusstes Handeln und volle Konzentration","Automatisiertes Fahren","","Nein","","","Ja","Nein","Nein","","","","4 - Massive Fehler; Ein oder mehrere Fehler Deutlich beeinträchtigter Operationsablauf Übermäßige Korrektur von Fehlern Keine Hilfe des Experimentators erforderlich","Assistiertes Fahren","","Ja","Assistiert und Automatisiertes Fahren verfügbar","","Nein","Nein","Alle Knöpfe gedrückt und so automatisiert gefunden","","4 - Massive Fehler; Ein oder mehrere Fehler Deutlich beeinträchtigter Operationsablauf Übermäßige Korrektur von Fehlern Keine Hilfe des Experimentators erforderlich","Assistiertes Fahren","","Ja","Sonstiges","Umschalten genannt","Nein","Nein","Nein","","Unsicher in l3 den Blick von Straße z wenden","Proband lenkt und gibt Gas um das Auto zu testen","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Ja","Automatisiert nicht mehr verfügbar","","Weiß nicht mehr","","Ja","Ja","","Proband handelt ohne Aufforderung- Hinweis von lv","2 - Zögern; Unabhängige Lösung ohne Fehler Aber: Zögern, sehr bewusstes Handeln und volle Konzentration","Assistiertes Fahren","","Nein","","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Ja","Automatisiert verfügbar","","Nein","Nein","Hinweis zum ersten mal gesehen","","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Nein","","","Ja","Ja","Nein","","Ab jetzt sicherer in L3,  Blick von Straße dennoch unwohl","","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Nein","","","","","Nein","Nein","Nein","","Geräusch klingt wie SMS, hätte erwartet, dass Auto bremst","Keinerlei Reaktion auf Nachricht, obwohl gesehen ","4 - Massive Fehler; Ein oder mehrere Fehler Deutlich beeinträchtigter Operationsablauf Übermäßige Korrektur von Fehlern Keine Hilfe des Experimentators erforderlich","Automatisiertes Fahren","","Nein","","","Ja","Ja","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Nein","","","","","Nein","Nein","Ja","Wiederherstellen von Level mit mod versucht,ging aber nicht","","","1 - Keine Probleme; Schnelles Verarbeiten"
"28","2020-10-02 15:00:31","1","de","","2020-10-02 14:04:30","2020-10-02 15:00:31","06","HC_HMI","2020-10-02 14:17:57","Leichter Regen","Hell","Automatisiertes Fahren","","Nein","","","Ja","Ja","Wusste nicht ob schon ausprobieren darf ","","4 - Massive Fehler; Ein oder mehrere Fehler Deutlich beeinträchtigter Operationsablauf Übermäßige Korrektur von Fehlern Keine Hilfe des Experimentators erforderlich","Manuelles Fahren","","Ja","Assistiert und Automatisiertes Fahren verfügbar","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Nein","","","Ja","Ja","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Nein","","","Ja","Ja","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Nein","","","Nein","Nein","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Ja","Automatisiert nicht mehr verfügbar","","Sensorfehler","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Nein","","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Ja","Automatisiert verfügbar","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Nein","","","Ja","Ja","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Ja","Sonstiges","Vom automatisierten ins manuelle übernehmen","Systemgrenze","","Nein","Nein","Ja","Übersteuern über lenken versucht,ging nicht, dann gebremst","","","3 - Kleinere Fehler; Unabhängige Lösung ohne oder mit kleineren Fehlern, die selbstbewusst korrigiert Aber: Längere Denkpausen Bewertung möglicher Arbeitsschritte","Automatisiertes Fahren","","Ja","Assistiert und Automatisiertes Fahren verfügbar","","Ja","Ja","Nein","","Nicht mehr sicher ob in automatisierten oder assistiert weil sie sich nicht mehr ganz an Anzeige erinnern kann","","1 - Keine Probleme; Schnelles Verarbeiten","Manuelles Fahren","","Ja","Sonstiges","Von automatisiert übernehmen ","Sensorfehler","","Nein","Nein","Nein","","","Übernahme wieder über lenken versucht, dann aber schnell gebremst","2 - Zögern; Unabhängige Lösung ohne Fehler Aber: Zögern, sehr bewusstes Handeln und volle Konzentration"
"29","2020-10-02 16:58:09","1","de","","2020-10-02 15:59:20","2020-10-02 16:58:09","57","LC_HMI","2020-10-02 16:01:31","Leicht bewölkt","Düster, dämmrig","Manuelles Fahren","","Nein","","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Nein","","","Ja","Ja","Auto hat nicht übernommen, obwohl angezeigt","","4 - Massive Fehler; Ein oder mehrere Fehler Deutlich beeinträchtigter Operationsablauf Übermäßige Korrektur von Fehlern Keine Hilfe des Experimentators erforderlich","Automatisiertes Fahren","","Nein","","","Ja","Ja","Nein","","","","2 - Zögern; Unabhängige Lösung ohne Fehler Aber: Zögern, sehr bewusstes Handeln und volle Konzentration","Automatisiertes Fahren","","Nein","","","Ja","Ja","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Nein","","","Nein","Nein","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Ja","Automatisiert nicht mehr verfügbar","","Sensorfehler","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Nein","","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Assistiertes Fahren","","Ja","Automatisiert verfügbar","","Nein","Nein","","","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Nein","","","Ja","Ja","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Nein","","","","","Ja","Ja","Nein","","","Proband irritiert, da trotz Warnung das Fahrzeug weitergefahren ist, hat sich nicht dazu aufgefordert gefühlt zu übernehmen, irritiert von notbremsung "" ich will keine notbremsung machen""","4 - Massive Fehler; Ein oder mehrere Fehler Deutlich beeinträchtigter Operationsablauf Übermäßige Korrektur von Fehlern Keine Hilfe des Experimentators erforderlich","Automatisiertes Fahren","","Ja","Alle verfügbar","","Ja","Ja","Nein","","","","1 - Keine Probleme; Schnelles Verarbeiten","Automatisiertes Fahren","","Nein","","","","","Ja","Ja","Nein","","Angeblich nicht verfügbar, ich soll übernehmen, System ist aber in automatisierten modus geblieben durch leichtes Gas geben","","4 - Massive Fehler; Ein oder mehrere Fehler Deutlich beeinträchtigter Operationsablauf Übermäßige Korrektur von Fehlern Keine Hilfe des Experimentators erforderlich"
