"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","VPNr","HMI","Datum","UsabilityMetric[SQ001]","UsabilityMetric[SQ002]","UsabilityMetric[SQ003]","UsabilityMetric[SQ004]","SUS1[SQ001]","SUS1[SQ002]","SUS1[SQ003]","SUS1[SQ004]","SUS1[SQ005]","SUS1[SQ006]","SUS1[SQ007]","SUS1[SQ008]","SUS1[SQ009]","SUS1[SQ010]","TuA[SQ001]","TuA[SQ002]","UEQ[SQ001]","UEQ[SQ002]","UEQ[SQ003]","UEQ[SQ004]","UEQ[SQ005]","UEQ[SQ006]","UEQ[SQ007]","UEQ[SQ008]","UEQ[SQ009]","UEQ[SQ010]","UEQ[SQ011]","UEQ[SQ012]","UEQ[SQ013]","UEQ[SQ014]","UEQ[SQ015]","UEQ[SQ016]","UEQ[SQ017]","UEQ[SQ018]","UEQ[SQ019]","UEQ[SQ020]","UEQ[SQ021]","UEQ[SQ022]","UEQ[SQ023]","UEQ[SQ024]","UEQ[SQ025]","UEQ[SQ026]","GutGefallen","NichtGefallen","Verbessern","Anmerkungen","AnstrengendWenden[SQ001]","Uebel[SQ001]","AllgAnregungen"
"8","2020-09-28 12:21:05","1","de","","2020-09-28 12:11:09","2020-09-28 12:21:05","01","HC_HMI","2020-09-28 12:11:18","5","3","5","3","3","2","Stimme voll zu - 5","Stimme gar nicht zu - 1","3","3","4","2","3","2","4","4","4","5","1","3","2","6","6","4","2","2","6","3","6","5","5","5","3","2","4","6","3","5","4","3","3","6","Far signals unterstützen den Fahrer. Intuitive Nutzung. Einfache Bedienung. ","Farbkodierung der Modi unterschiedlich zur Vorbereitung. Verfügbarkeit der Stufen sollte nicht grau sein sondern mit Farbkodierung einheitlich. Fehler und Warnung etwas überladen. Blinkende Elemente von Text entkoppelt. Aktive Modi vielleicht weiter oben anzeigen. Verschwinden leichthinter Lenkrad. ","Siehe was nicht gefallen. ","","1","1",""
"9","2020-09-28 15:13:51","1","de","","2020-09-28 15:08:16","2020-09-28 15:13:51","50","LC_HMI","2020-09-28 15:08:30","6","Stimme gar nicht zu - 1","Stimme voll zu - 7","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme voll zu - 5","6","7","3","1","1","7","7","6","2","3","7","2","7","6","5","7","1","4","2","6","1","7","3","1","2","4","","Sichtbarkeit der Warnungen","Ein Signalton könnte helfen wenn man das Steuer übernehmen muss","","1","1",""
"11","2020-09-29 17:30:34","1","de","","2020-09-29 17:15:15","2020-09-29 17:30:34","52","LC_HMI","2020-09-29 17:15:22","Stimme gar nicht zu - 1","Stimme voll zu - 7","3","Stimme voll zu - 7","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","Stimme gar nicht zu - 1","3","4","3","2","Stimme gar nicht zu - 1","3","Stimme gar nicht zu - 1","Stimme gar nicht zu - 1","2","2","6","4","5","4","4","1","4","5","2","6","2","1","4","1","6","4","7","4","2","4","3","4","6","6","Teilweise klare Anweisung ","Anweisung kommen aus bedienelement auf welches ich im assistierten Modus wenig und im automatisierten Modus gar nicht schaue. Wechsel von manuell direkt auf autonom nicht möglich. Vertrauensverlust in automatisierten Modus , da man trotzdem noch dabei bleiben muss um Befehle entgegenzunehmen. Also kaum Unterschied zum assistierten Modus ","Direkte Wechselmöglichkeit von manuell zu automatisiert. Befehl für Übernahme auf Tablett und windschutzscheibe im blickfeld zeigen . Kombination mit Ton erhöht Aufmerksamkeit","Kein komfortgewinn für Fahrer im automatisierten Modus","1","1",""
"12","2020-09-29 10:05:35","1","de","","2020-09-29 09:58:00","2020-09-29 10:05:35","2","HC_HMI","2020-09-29 09:58:14","6","2","6","2","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","Stimme voll zu - 5","3","Stimme voll zu - 5","Stimme voll zu - 5","7","7","3","1","1","5","7","7","2","4","6","2","6","7","6","6","2","4","2","6","1","7","1","2","1","6","Design. Hinweise zur uebernahme","","","","1","1",""
"13","2020-09-29 12:14:24","1","de","","2020-09-29 11:46:43","2020-09-29 12:14:24","51","LC_HMI","2020-09-29 11:47:30","5","Stimme gar nicht zu - 1","6","3","3","2","4","Stimme gar nicht zu - 1","4","2","4","2","3","Stimme gar nicht zu - 1","4","Stimme voll zu - 5","5","5","4","2","2","5","5","4","2","3","6","3","6","5","7","5","4","2","4","5","2","6","5","3","3","6","Bedienung über nur zwei Knöpfe. ","Wenig aussagekräftige Farben blau und gelb. ","Akustische Signale wie z. B. ""Vollbremsung"" ","","1","1",""
"14","2020-09-29 15:23:39","1","de","","2020-09-29 14:59:13","2020-09-29 15:23:39","3 ","HC_HMI","2020-09-29 14:59:26","6","Stimme gar nicht zu - 1","6","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","4","2","3","Stimme gar nicht zu - 1","4","2","3","3","5","6","3","1","2","4","4","7","4","4","6","2","6","4","5","6","2","2","3","6","2","5","2","2","2","5","Angenehme Stimme ","","","","1","1",""
"16","2020-10-01 10:35:29","1","de","","2020-10-01 10:24:32","2020-10-01 10:35:29","53","LC_HMI","2020-10-01 10:24:39","4","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","3","2","3","Stimme gar nicht zu - 1","2","Stimme gar nicht zu - 1","2","3","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme voll zu - 5","Stimme voll zu - 5","4","3","4","4","4","6","6","4","4","7","6","3","5","5","7","6","1","4","4","4","7","5","4","5","3","7","Automatisiertes fahren ","Anzeige und Aufmerksamkeit sehr klein bei Änderu ge ","Sprech Ansage wie imCocpit wären sehr hilfreich ","","1","1","Testfahrtn waren zu kurz"
"17","2020-10-01 12:28:53","1","de","","2020-10-01 12:00:41","2020-10-01 12:28:53","54","LC_HMI","2020-10-01 12:01:09","3","2","5","3","3","2","4","Stimme gar nicht zu - 1","4","2","4","2","3","2","3","3","6","5","3","3","5","4","6","6","2","5","6","2","5","4","7","6","5","3","4","5","3","5","2","4","5","6","Relativ einfach zu bedienen","Am Anfang verwirrend","Akustische Unterstützung wäre hilfreich","Fahrerlebnis war bei assistirtem und autonomen Fahren identisch","1","1",""
"18","2020-10-01 17:16:34","1","de","","2020-10-01 16:49:14","2020-10-01 17:16:34","56","LC_HMI","2020-10-01 16:50:08","5","Stimme gar nicht zu - 1","Stimme voll zu - 7","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","4","Stimme voll zu - 5","6","7","4","1","1","7","7","6","1","2","7","1","7","7","7","7","1","4","1","7","1","6","1","1","1","7","Visuelle Darstellung der modi","Visuell reizgebung bei ""Probleme"". ","Besonders bei gegenlicht waren die Aufforderungen in grau nur schwer zu erkennen Farben wären gut","","1","1",""
"19","2020-10-02 10:11:25","1","de","","2020-10-02 10:02:28","2020-10-02 10:11:25","04","HC_HMI","2020-10-02 10:02:40","Stimme voll zu - 7","2","Stimme voll zu - 7","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","Stimme voll zu - 5","Stimme gar nicht zu - 1","4","Stimme gar nicht zu - 1","4","4","5","1","4","1","2","4","5","3","4","5","6","2","7","5","3","5","2","4","2","6","1","4","2","2","2","5","Einfach zu lernen und bedienen","Nicht klar was der untereinander zwischen assistiertes und automatisiertes fahren war. Außer Hände am Lenkrad als Bedingung scheinen die Funktionalitäten gleich zu sein","Mehr Informationen zu den Funktionalitäten der Stufen","Keine","1","1","Keine"
