"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","VPNr","HMI","Datum","VPCode[SQ001]","VPCode[SQ002]","VPCode[SQ003]","Alter","Geschlecht","Erfahrung","KilometerJahr","Sehhilfe","Farbfehlsichtigkeit","Farbfehlsichtigkeit2","Vorwissen[SQ001]","FAS[SQ001]","FAS[SQ002]","FAS[SQ003]","FAS[SQ004]","OftCC","AutomarkeCC","OftACC","AutomarkeACC","OftLKA","AutomarkeLKA","Zwischenfolie"
"9","2020-09-28 10:43:50","1","de","","2020-09-28 10:34:27","2020-09-28 10:43:50","01","A1","2020-09-28 10:34:55","He","Hu","18","28","A1","A1","A1","A2","N","","A4","Y","Y","Y","","A2","VW","A3","VW","A5","VW",""
"10","2020-09-28 13:41:50","1","de","","2020-09-28 13:33:51","2020-09-28 13:41:50","50","A2","2020-09-28 13:33:00","Sa","Ol","28","22","A1","A1","A4","A1","N","","A4","Y","Y","Y","","A1","Tesla","A1","Tesla","A1","Tesla",""
"11","2020-09-28 15:40:57","1","de","","2020-09-28 15:35:13","2020-09-28 15:40:57","001","A1","2020-09-28 15:35:23","Mo","St","25","30","A1","A3","A1","A1","N","","A4","Y","Y","Y","","A4","VW, BMW, Skoda, tesla","A4","Skoda, Audi, BMW, tesla","A4","Skoda, tesla, Audi, bmw",""
"12","2020-09-29 08:41:01","1","de","","2020-09-29 08:33:47","2020-09-29 08:41:01","2","A1","2020-09-29 08:34:27","Pe","Al","07051988","32","A1","A2","A2","A1","N","","A3","Y","Y","Y","","A4","Peugeot VW Skoda bmw","A5","Skoda bmw","A3","BMW Peugeot VW ",""
"13","2020-09-29 10:37:14","1","de","","2020-09-29 10:25:22","2020-09-29 10:37:14","51","A2","2020-09-29 10:25:40","Ka","Fr","14","30","A1","A2","A2","A1","N","","A2","Y","","","","A5","Fiat","","","","",""
"14","2020-09-29 13:47:41","1","de","","2020-09-29 13:27:51","2020-09-29 13:47:41","3 ","A1","2020-09-29 13:42:59","Ma","Se","18","32","A1","A4","A1","A1","N","","A3","Y","","Y","","A5","Toyota","","","A5","Porsche",""
"15","2020-09-29 15:44:16","1","de","","2020-09-29 15:35:46","2020-09-29 15:44:16","52","A2","2020-09-29 15:36:26","Ly","Hu","28","29","A1","A2","A3","A2","N","","A3","Y","","","","A5","Mini","","","","",""
"16","2020-10-01 08:41:19","1","de","","2020-10-01 08:32:56","2020-10-01 08:41:19","53","A2","2020-10-01 08:33:17","Ma","Ro","06","56","A1","A2","A3","A2","N","","A1","Y","","","","A5","Bmw","","","","",""
"17","2020-10-01 10:45:01","1","de","","2020-10-01 10:35:21","2020-10-01 10:45:01","54","A2","2020-10-01 10:35:37","An","Al","18","58","A1","A1","A3","A1","Y","Rot grün","A2","Y","","","","A2","Mercedes","","","","",""
"18","2020-10-01 13:40:42","1","de","","2020-10-01 13:33:48","2020-10-01 13:40:42","55","A2","2020-10-01 13:33:56","Ma","Be","29","30","A1","A1","A2","A2","Y","Rot-Grün Schwäche","A3","Y","","","","A5","Opel","","","","",""
"19","2020-10-01 15:42:27","1","de","","2020-10-01 15:36:16","2020-10-01 15:42:27","56","A2","2020-10-01 15:36:59","Ma","Ka","14.05.1997","23","A1","A4","A1","A1","N","","A3","Y","","","","A4","VW Konzern","","","","",""
"20","2020-10-02 08:43:10","1","de","","2020-10-02 08:36:06","2020-10-02 08:43:10","4","A1","2020-10-02 08:36:35","Lu","LE","06","22","A1","A3","A1","A1","N","","A2","","","","Y","","","","","","",""
"21","2020-10-02 10:45:15","1","de","","2020-10-02 10:42:03","2020-10-02 10:45:15","5","A1","2020-10-02 10:42:15","Fü","Be","24","42","A2","A2","A2","A1","N","","A1","Y","","","","A4","BMW, Audi ","","","","",""
"22","2020-10-02 13:44:15","1","de","","2020-10-02 13:40:15","2020-10-02 13:44:15","6","A1","2020-10-02 13:40:27","Re","Os","15","24","A2","A3","A1","A1","N","","A5","Y","Y","Y","","A5","Toyota, BMW","A5","BMW","A5","BMW",""
"23","2020-10-02 15:40:30","1","de","","2020-10-02 15:37:31","2020-10-02 15:40:30","7","A1","2020-10-02 15:37:51","SA","HA","02","23","A1","A2","A2","A1","N","","A2","Y","","Y","","A4","3er BMW","","","A4","Opel Astra",""
"24","2020-10-05 08:44:00","1","de","","2020-10-05 08:41:32","2020-10-05 08:44:00","7","A1","2020-10-05 08:41:48","An","Kn","05","62","A2","A2","A3","A2","N","","A2","","","","Y","","","","","","",""
"25","2020-10-05 10:44:32","1","de","","2020-10-05 10:37:56","2020-10-05 10:44:32","58","A2","2020-10-05 10:38:12","In","Pe","97","27","A2","A1","A3","A2","N","","A1","Y","Y","Y","","A4","Audi, Ford, VW, Hyundai, range rover, mercedes","A4","Rangerover","A1","Mercedes, Hyundai, range rover ",""
"26","2020-10-05 13:42:50","1","de","","2020-10-05 13:35:17","2020-10-05 13:42:50","8","A1","2020-10-05 13:35:33","Ch","Ku1","17","68","A1","A1","A2","A1","N","","A3","Y","Y","Y","","A1","Toyota, VW","A1","Toyota, VW","A2","VW",""
"27","2020-10-05 15:50:05","1","de","","2020-10-05 15:47:52","2020-10-05 15:50:05","59","A2","2020-10-05 15:48:04","Ma","No","02","29","A1","A4","A1","A1","N","","A3","Y","","","","A4","Volkswagen ","","","","",""
"28","2020-10-06 08:40:43","1","de","","2020-10-06 08:30:10","2020-10-06 08:40:43","9","A1","2020-10-06 08:30:59","Ed","Gü","08","30","A1","A2","A3","A1","N","","A5","Y","Y","Y","","A4","Renault","A5","Keins","A5","Keins",""
"29","2020-10-06 10:42:57","1","de","","2020-10-06 10:35:51","2020-10-06 10:42:57","10","A1","2020-10-06 10:35:02","Ir","Di","22","25","A2","A4","A1","A1","N","","A1","Y","","","","A5","Audi","","","","",""
"30","2020-10-06 13:39:47","1","de","","2020-10-06 13:25:49","2020-10-06 13:39:47","60","A2","2020-10-06 13:26:57","Re","Be","05","34","A1","A1","A4","A1","N","","A5","Y","Y","Y","","A1","Audi, BMW, Mercedes, VW, Fiat, Mitsubishi, Toyota, Renault","A4","Audi, BMW, Mercedes, VW, Toyota","A4","Audi, BMW, Mercedes, VW, Toyota",""
"31","2020-10-06 15:46:04","1","de","","2020-10-06 15:34:45","2020-10-06 15:46:04","61","A2","2020-10-06 15:35:02","Ma","No","05","22","A2","A1","A3","A3","N","","A1","Y","Y","Y","","A4","BMW, Opel, Ford, ","A4","Ford","A5","Ford bmw",""
"32","2020-10-08 08:43:23","1","de","","2020-10-08 08:40:37","2020-10-08 08:43:23","62","A2","2020-10-08 08:40:51","FR","PE","10","26","A2","A1","A1","A1","N","","A1","Y","","","","A5","Mercedes","","","","",""
"33","2020-10-08 10:43:41","1","de","","2020-10-08 10:33:28","2020-10-08 10:43:41","11","A1","2020-10-08 10:33:45","Ro","Jo","10","35","A1","A1","A2","A1","N","","A1","Y","","","","A4","Audi","","","","",""
"34","2020-10-08 13:49:26","1","de","","2020-10-08 13:37:29","2020-10-08 13:49:26","12","A1","2020-10-08 13:37:40","Ge","Ku","18","75","A1","A1","A3","A1","N","","A2","Y","Y","","","A2","Lexus","A2","Audi","","",""
"35","2020-10-08 15:45:20","1","de","","2020-10-08 15:37:05","2020-10-08 15:45:20","63","A2","2020-10-08 15:37:21","Sa","Jü","04","48","A1","A1","A4","A1","N","","A4","Y","Y","Y","","A1","BMW, Audi, Porsche, Tesla, usw","A1","So","A4","So",""
"36","2020-10-09 08:50:59","1","de","","2020-10-09 08:44:08","2020-10-09 08:50:59","64","A2","2020-10-09 08:44:29","PE","FR","16","31","A1","A1","A3","A1","N","","A3","Y","Y","Y","","A3","BMW, Mercedes, Audi, Mazda, Opel","A4","BMW, Mercedes ","A4","BMW, Mercedes, Audi, Mazda",""
"37","2020-10-09 13:42:00","1","de","","2020-10-09 13:39:35","2020-10-09 13:42:00","13","A1","2020-10-09 13:39:43","Bi","Di","18","30","A1","A5","A1","A1","N","","A1","","","","Y","","","","","","",""
"38","2020-10-09 15:47:18","1","de","","2020-10-09 15:41:11","2020-10-09 15:47:18","14","A1","2020-10-09 15:41:27","ge","vo","18","38","A1","A3","A3","A1","N","","A4","Y","Y","Y","","A4","VAG, BMW, Ford, Tesla, Hyundai, Renault, Opel, Jaguar","A4","VAG, BMW, Ford, Tesla, Hyundai, Jaguar","A4","VAG, BMW, Ford, Tesla, Hyundai, Jaguar",""
"40","2020-10-09 10:46:57","1","de","","2020-10-09 10:43:23","2020-10-09 10:46:57","65","A2","2020-10-09 10:43:32","Si","Fr","12","34","A1","A4","A1","A1","N","","A2","Y","","","","A4","Vw","","","","",""
"41","2020-10-12 08:39:38","1","de","","2020-10-12 08:36:27","2020-10-12 08:39:38","66","A2","2020-10-12 08:36:37","Wa","Ma","09","27","A1","A4","A1","A1","N","","A2","Y","","Y","","A5","VW","","","A5","Audi",""
"42","2020-10-12 10:47:01","1","de","","2020-10-12 10:43:43","2020-10-12 10:47:01","15","A1","2020-10-12 10:43:52","Pe","Ma","19","22","A1","A3","A2","A2","N","","A4","Y","Y","Y","","A4","Porsche, VW","A4","Porsche, VW","A5","_",""
"43","2020-10-12 13:40:38","1","de","","2020-10-12 13:37:46","2020-10-12 13:40:38","16","A1","2020-10-12 13:37:56","Ly","Pe","02","26","A2","A3","A1","A3","N","","A1","Y","Y","","","A5","Mercedes","A4","Vw","","",""
"44","2020-10-12 15:36:52","1","de","","2020-10-12 15:33:18","2020-10-12 15:36:52","17","A1","2020-10-12 15:33:31","Ha","Ke","20","30","A1","A3","A4","A1","N","","A1","Y","Y","Y","","A4","BMW, Mercedes Benz, VW","A5","Mercedes Benz","A4","BMW, Mercedes Benz ",""
"45","2020-10-13 08:42:21","1","de","","2020-10-13 08:38:47","2020-10-13 08:42:21","67","A2","2020-10-13 08:38:59","El","Gu","0205","48","A2","A1","A3","A1","N","","A1","Y","","","","A5","Audi Maserati Mercedes ","","","","",""
"46","2020-10-13 10:43:49","1","de","","2020-10-13 10:40:13","2020-10-13 10:43:49","68","A2","2020-10-13 10:40:23","Ch","Wo","24","26","A2","A1","A3","A1","N","","A1","Y","","","","A5","Honda ","","","","",""
"47","2020-10-13 13:39:18","1","de","","2020-10-13 13:36:38","2020-10-13 13:39:18","18","A1","2020-10-13 13:36:47","Er","WA","21","69","A1","A2","A2","A1","Y","Rot-gruen","A2","Y","","","","A4","Bmw","","","","",""
"48","2020-10-15 08:49:21","1","de","","2020-10-15 08:39:14","2020-10-15 08:49:21","19","A1","2020-10-15 08:39:29","He","Jo","01","30","A1","A2","A1","A2","N","","A2","Y","Y","Y","","A5","Mazda, BMW, Audi","A5","BMW ","A5","Opel, BMW, Mazda ",""
"49","2020-10-15 10:51:51","1","de","","2020-10-15 10:49:09","2020-10-15 10:51:51","20","A1","2020-10-15 10:49:18","An","He","06","22","A2","A2","A2","A2","N","","A3","Y","Y","Y","","A4","VW, Tesla, opel, Mercedes ","A5","Tesla","A4","VW Tesla ",""
"50","2020-10-15 15:38:27","1","de","","2020-10-15 15:36:00","2020-10-15 15:38:27","69","A2","2020-10-15 15:36:16","Ir","Rü","06","36","A1","A2","A4","A1","N","","A2","Y","","","","A3","Vw","","","","",""
"51","2020-10-16 08:37:50","1","de","","2020-10-16 08:33:23","2020-10-16 08:37:50","70","A2","2020-10-16 08:33:40","ma","mi","29","21","A2","A4","A1","A1","N","","A1","","","","Y","","","","","","",""
"52","2020-10-16 10:52:54","1","de","","2020-10-16 10:44:25","2020-10-16 10:52:54","21","A1","2020-10-16 10:44:46","Gu","Jö","25","26","A2","A3","A2","A1","N","","A2","Y","","Y","","A4","Nissan, Audi","","","A5","BMW ",""
"53","2020-10-16 14:47:00","1","de","","2020-10-16 14:38:16","2020-10-16 14:47:00","71","A2","2020-10-16 14:38:46","LA","AL","06","21","A1","A2","A3","A1","N","","A2","Y","","Y","","A4","Mazda","","","A5","Mazda",""
"54","2020-10-19 08:52:49","1","de","","2020-10-19 08:45:39","2020-10-19 08:52:49","23","A1","2020-10-19 08:45:53","Sa","Mi","30","22","A1","A3","A2","A1","N","","A2","Y","Y","Y","","A4","BMW Audi Mercedes Opel Renault Chevrolet","A5","KA","A5","BMW Audi",""
"55","2020-10-19 10:39:49","1","de","","2020-10-19 10:30:01","2020-10-19 10:39:49","24","A1","2020-10-19 10:30:24","Ma","To","14","23","A2","A4","A1","A2","N","","A2","","","Y","","","","","","A4","Mazda",""
"56","2020-10-19 15:27:41","1","de","","2020-10-19 15:22:59","2020-10-19 15:27:41","72","A2","2020-10-19 15:23:27","He","He","04","61","A2","A2","A1","A2","N","","A1","","","","Y","","","","","","",""
"57","2020-10-20 08:40:34","1","de","","2020-10-20 08:29:32","2020-10-20 08:40:34","25","A1","2020-10-20 08:29:55","Ur","Fr","11","47","A1","A1","A4","A2","Y","Rot-Grün-Schwäche","A4","Y","Y","Y","","A3","Audi, Peugeot, Toyota, Ford, Mazda, Opel","A4","Audi, Toyota, Mazda, Opel, Peugeot","A2","Audi, Peugeot, Toyota, Mazda, Ford, Opel",""
"58","2020-10-20 10:49:23","1","de","","2020-10-20 10:37:55","2020-10-20 10:49:23","26","A1","2020-10-20 10:38:16","Er","Al","03.05.1967","53","A2","A2","A1","A1","N","","A1","","","","Y","","","","","","",""
"59","2020-10-20 13:45:23","1","de","","2020-10-20 13:32:57","2020-10-20 13:45:23","27","A1","2020-10-20 13:33:29","An","Jo","240564","56","A1","A1","A4","A1","N","","A1","Y","","Y","","A4","BMW Ford  Subaru ","","","A5","Ford",""
"60","2020-10-20 15:39:21","1","de","","2020-10-20 15:31:55","2020-10-20 15:39:21","28","A1","2020-10-20 15:32:04","SI","He","30","25","A2","A3","A2","A1","N","","A5","Y","Y","Y","","A4","Audi, BMW","A5","Bmw","A5","Bmw",""
"61","2020-10-22 08:47:42","1","de","","2020-10-22 08:43:39","2020-10-22 08:47:42","29","A1","2020-10-22 08:43:49","Ma","St","22","38","A1","A1","A2","A1","N","","A3","Y","Y","Y","","A3","VW BMW Mercedes audi","A4","BMW audi","A4","BMW audi",""
"62","2020-10-22 10:48:10","1","de","","2020-10-22 10:42:45","2020-10-22 10:48:10","30","A1","2020-10-22 10:42:56","Br","Be","12.05.77","43","A1","A1","A4","A1","Y","Rot Grün","A1","Y","","","","A1","VW, Audi, BMW","","","","",""
"63","2020-10-22 13:56:13","1","de","","2020-10-22 13:51:18","2020-10-22 13:56:13","31","A1","2020-10-22 13:51:26","Ha","Al","28","64","A2","A1","A2","A3","N","","A1","Y","","","","A3","Mercedes","","","","",""
"64","2020-10-22 15:48:49","1","de","","2020-10-22 15:41:24","2020-10-22 15:48:49","73","A2","2020-10-22 15:41:36","YV","MI","0205","23","A2","A3","A1","A1","N","","A1","Y","","Y","","A4","VW, mercedes","","","A4","VW, Mercedes",""
"65","2020-10-23 08:44:58","1","de","","2020-10-23 08:41:07","2020-10-23 08:44:58","74","A2","2020-10-23 08:41:16","Ro","Jo","22","48","A1","A1","A4","A1","N","","A1","Y","Y","Y","","A2","VW Sharan","A2","VW Sharan","A2","VW Sharan",""
