"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","VPNr","HMI","Datum","VPCode[SQ001]","VPCode[SQ002]","VPCode[SQ003]","Alter","Geschlecht","Erfahrung","KilometerJahr","Sehhilfe","Farbfehlsichtigkeit","Farbfehlsichtigkeit2","Vorwissen[SQ001]","FAS[SQ001]","FAS[SQ002]","FAS[SQ003]","FAS[SQ004]","OftCC","AutomarkeCC","OftACC","AutomarkeACC","OftLKA","AutomarkeLKA","Zwischenfolie"
"9","2020-09-28 10:43:50","1","de","","2020-09-28 10:34:27","2020-09-28 10:43:50","01","HC_HMI","2020-09-28 10:34:55","He","Hu","18","28","Männlich","Täglich","< als 5.000 km","Ja, ich nutze sie auch jetzt","Nein","","3","Ja","Ja","Ja","N/A","Täglich","VW","Wöchentlich","VW","Nie","VW",""
"10","2020-09-28 13:41:50","1","de","","2020-09-28 13:33:51","2020-09-28 13:41:50","50","LC_HMI","2020-09-28 13:33:00","Sa","Ol","28","22","Männlich","Täglich","> 20.000 km","Nein","Nein","","3","Ja","Ja","Ja","N/A","Mehrmals täglich","Tesla","Mehrmals täglich","Tesla","Mehrmals täglich","Tesla",""
"11","2020-09-28 15:40:57","1","de","","2020-09-28 15:35:13","2020-09-28 15:40:57","001","HC_HMI","2020-09-28 15:35:23","Mo","St","25","30","Männlich","Mehrmals pro Monat","< als 5.000 km","Nein","Nein","","3","Ja","Ja","Ja","N/A","Monatlich","VW, BMW, Skoda, tesla","Monatlich","Skoda, Audi, BMW, tesla","Monatlich","Skoda, tesla, Audi, bmw",""
"12","2020-09-29 08:41:01","1","de","","2020-09-29 08:33:47","2020-09-29 08:41:01","2","HC_HMI","2020-09-29 08:34:27","Pe","Al","07051988","32","Männlich","Mehrmals pro Woche","5.001 - 10.000 km","Nein","Nein","","2","Ja","Ja","Ja","N/A","Monatlich","Peugeot VW Skoda bmw","Nie","Skoda bmw","Wöchentlich","BMW Peugeot VW ",""
"13","2020-09-29 10:37:14","1","de","","2020-09-29 10:25:22","2020-09-29 10:37:14","51","LC_HMI","2020-09-29 10:25:40","Ka","Fr","14","30","Männlich","Mehrmals pro Woche","5.001 - 10.000 km","Nein","Nein","","1","Ja","N/A","N/A","N/A","Nie","Fiat","","","","",""
"14","2020-09-29 13:47:41","1","de","","2020-09-29 13:27:51","2020-09-29 13:47:41","3 ","HC_HMI","2020-09-29 13:42:59","Ma","Se","18","32","Männlich","Weniger als einmal pro Monat","< als 5.000 km","Nein","Nein","","2","Ja","N/A","Ja","N/A","Nie","Toyota","","","Nie","Porsche",""
"15","2020-09-29 15:44:16","1","de","","2020-09-29 15:35:46","2020-09-29 15:44:16","52","LC_HMI","2020-09-29 15:36:26","Ly","Hu","28","29","Männlich","Mehrmals pro Woche","10.001 - 20.000 km","Ja, ich nutze sie auch jetzt","Nein","","2","Ja","N/A","N/A","N/A","Nie","Mini","","","","",""
"16","2020-10-01 08:41:19","1","de","","2020-10-01 08:32:56","2020-10-01 08:41:19","53","LC_HMI","2020-10-01 08:33:17","Ma","Ro","06","56","Männlich","Mehrmals pro Woche","10.001 - 20.000 km","Ja, ich nutze sie auch jetzt","Nein","","Keine Kenntnisse - 0","Ja","N/A","N/A","N/A","Nie","Bmw","","","","",""
"17","2020-10-01 10:45:01","1","de","","2020-10-01 10:35:21","2020-10-01 10:45:01","54","LC_HMI","2020-10-01 10:35:37","An","Al","18","58","Männlich","Täglich","10.001 - 20.000 km","Nein","Ja","Rot grün","1","Ja","N/A","N/A","N/A","Täglich","Mercedes","","","","",""
"18","2020-10-01 13:40:42","1","de","","2020-10-01 13:33:48","2020-10-01 13:40:42","55","LC_HMI","2020-10-01 13:33:56","Ma","Be","29","30","Männlich","Täglich","5.001 - 10.000 km","Ja, ich nutze sie auch jetzt","Ja","Rot-Grün Schwäche","2","Ja","N/A","N/A","N/A","Nie","Opel","","","","",""
