"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","Datum","VP","HMI","Wetter","Licht","VPCode[VPCode1]","VPCode[VPCode2]","VPCode[VPCode3]","Sehhilfe1[SehhilfeAuto]","Sehhilfe1[SehhilfeLesen]","Sehhilfe2[SehhilfeAutoJetzt]","Sehhilfe2[SehhilfeLesenJetzt]","StopPage","StopPage2","TC01LevelSel","TC01LevelSel[other]","TC01ChangeAvail","TC01ChangeAvailSel","TC01ChangeAvailSel[other]","TC01HandsOffAllow","TC01EmailsAllow","TC01ER","TC01RemarksTP","TC01RemarksTL","TC02LevelSel","TC02LevelSel[other]","TC02ChangeAvail","TC02ChangeAvailSel","TC02ChangeAvailSel[other]","TC02HandsOffAllow","TC02EmailsAllow","TC02ER","TC02RemarksTP","TC02RemarksTL","TC03LevelSel","TC03LevelSel[other]","TC03ChangeAvail","TC03ChangeAvailSel","TC03ChangeAvailSel[other]","TC03HandsOffAllow","TC03EmailsAllow","TC03TransProblems","TC03TransProblemsOth","TC03ER","TC03RemarksTP","TC03RemarksTL","TC04LevelSel","TC04LevelSel[other]","TC04ChangeAvail","TC04ChangeAvailSel","TC04ChangeAvailSel[other]","TC04HandsOffAllow","TC04EmailsAllow","TC04ER","TC04RemarksTP","TC04RemarksTL","TC05LevelSel","TC05LevelSel[other]","TC05ChangeAvail","TC05ChangeAvailSel","TC05ChangeAvailSel[other]","TC05HandsOffAllow","TC05EmailsAllow","TC05TransProblems","TC05TransProblemsOth","TC05ER","TC05RemarksTP","TC05RemarksTL","TC06LevelSel","TC06LevelSel[other]","TC06ChangeAvail","TC06ChangeAvailSel","TC06ChangeAvailSel[other]","TC06ChangeAvailReaso","TC06ChangeAvailReaso[other]","TC06HandsOffAllow","TC06EmailsAllow","TC06ER","TC06RemarksTP","TC06RemarksTL","TC07LevelSel","TC07LevelSel[other]","TC07ChangeAvail","TC07ChangeAvailSel","TC07ChangeAvailSel[other]","TC07HandsOffAllow","TC07EmailsAllow","TC07ER","TC07RemarksTP","TC07RemarksTL","TC08LevelSel","TC08LevelSel[other]","TC08ChangeAvail","TC08ChangeAvailSel","TC08ChangeAvailSel[other]","TC08HandsOffAllow","TC08EmailsAllow","TC08ER","TC08RemarksTP","TC08RemarksTL","TC09LevelSel","TC09LevelSel[other]","TC09ChangeAvail","TC09ChangeAvailSel","TC09ChangeAvailSel[other]","TC09HandsOffAllow","TC09EmailsAllow","TC09TransProblems","TC09TransProblemsOth","TC09ER","TC09RemarksTP","TC09RemarksTL","TC10LevelSel","TC10LevelSel[other]","TC10ChangeAvail","TC10ChangeAvailSel","TC10ChangeAvailSel[other]","TC10ChangeAvailReaso","TC10ChangeAvailReaso[other]","TC10HandsOffAllow","TC10EmailsAllow","TC10TransProblems","TC10TransProblemsOth","TC10ER","TC10RemarksTP","TC10RemarksTL","TC11LevelSel","TC11LevelSel[other]","TC11ChangeAvail","TC11ChangeAvailSel","TC11ChangeAvailSel[other]","TC11HandsOffAllow","TC11EmailsAllow","TC11TransProblems","TC11TransProblemsOth","TC11ER","TC11RemarksTP","TC11RemarksTL","TC12LevelSel","TC12LevelSel[other]","TC12ChangeAvail","TC12ChangeAvailSel","TC12ChangeAvailSel[other]","TC12ChangeAvailReaso","TC12ChangeAvailReaso[other]","TC12HandsOffAllow","TC12EmailsAllow","TC12TransProblems","TC12TransProblemsOth","TC12ER","TC12RemarksTP","TC12RemarksTL"
"28","2021-07-07 08:07:46","1","en","","2021-07-07 07:16:46","2021-07-07 08:07:46","2021-07-07 07:16:52","01","HC","2","2","LI","JO","09","0","0","","","","","0","","N","","","N","N","1","","","2","","Y","-oth-","Ass or wut available","Y","N","2","","","4","","N","","","Y","Y","N","","1","","Car irritating","4","","N","","","Y","Y","1","","","2","","N","","","Y","N","N","","1","","","2","","Y","5","","0","","N","N","2","","Takes hands to steering wheel after hod","2","","N","","","Y","N","2","","","2","","Y","2","","Y","N","2","I think I need to keep hands close to steering wheel in case sth goes wrong","","4","","N","","","Y","Y","N","","2","","","0","","Y","5","","-oth-","Limitation ahead","N","N","Y","Slightly unsure how to get back to manual driving","2","","","4","","Y","1","","Y","Y","N","","1","","","0","","Y","8","","0","","N","N","N","","1","",""
"29","2021-07-07 10:14:19","1","en","","2021-07-07 08:58:50","2021-07-07 10:14:19","2021-07-07 08:58:59","51","LC","2","2","Lo","Bi","06","0","0","","","","","-oth-","Far left \\ automated?","N","","","N","Y","1","I would not feel comfortable while driving automated, Id still be knowing that Im in control","","0","","N","","","N","N","1","Secondary activities are very distracting","","-oth-","Full automated","N","","","N","N","N","","2","Hesitant at first. I felt the need to monitor the system","","-oth-","Fully automatic and cc","N","","","N","N","1","The more I get used to the car, I get more comfortable I get with letting the car drive
Feel guilty about giving the responsibility away","","2","","Y","-oth-","Hod","N","N","Y","Did not know which button to press, not intuitive","3","Dont know difference between assisted and automated ; Only Started to feel comfortable after a while","","2","","N","","","","","N","N","1","Assis5 driving, I dont understand what it does. Did not feel need to have foot on accelerator","","2","","N","","","N","N","1","Used to using it, starting to trust it.i dont follow my responsibility,feel guilty","","2","","N","","","N","N","1","Feel more comfortable with secondary activities. Im not ashamed of this I trust it more, I dont look at speed anymore","","4","","N","","","N","N","Y","Still not intuitively confident with operating the buttons. Becomes easier","3","Dont know difference between assisted and automated
I guess, automated lets me take off my hands, while assisted is mix of manual and automated","","-oth-","Fully automatic","N","","","","","N","N","N","","5","After I braked I needed to familiarize myself with how to get back to automated. Took me a while to see and register emergency brake","","-oth-","Automatic","Y","2","","N","N","N","","2","Way more comfortable with automated driving with doing secondary activities compared to manual driving","","-oth-","Fully automatic","N","","","","","N","N","N","","2","Fully confident that car can drive itself",""
"30","2021-07-07 13:11:56","1","en","","2021-07-07 12:11:58","2021-07-07 13:11:56","2021-07-07 12:14:00","02","HC","2","1","Ka","Jo","02","0","0","","","","","0","","N","","","N","N","1","","","0","","Y","1","","N","N","1","Manual Icon Loks Like a waning ","","4","","N","","","Y","Y","Y","Had to guess which button to use","1","I dont know whether bigger icon is the active level or the suggested level; slowed me down to 30kmh, felt little bit like an error","","-oth-","Err","N","","","N","N","5","","Err","2","","N","","","N","N","N","","1","Intuitive: tried to directly activate l3, but like this way better","","2","","Y","5","","-oth-","Sensor not available","N","N","1","Icon on right confused me","","2","","N","","","N","N","1","Anticipated changes in availabilities coming from top","","2","","Y","2","","N","N","1","","","4","","N","","","Y","Y","N","","1","Didnt feel that the car is taking over when switching between manual and assisted, only display informs me","","0","","Y","5","","-oth-","System overloaded\full","N","N","N","","1","","","4","","Y","1","","Y","Y","N","","1","Nothing except for display says the status is okay, on a straight I dont feel the car driving","","0","","Y","8","","0","","N","N","N","","1","",""
"31","2021-07-07 14:44:30","1","en","","2021-07-07 13:46:12","2021-07-07 14:44:30","2021-07-07 13:48:24","52","LC","2","1","Mi","Kh","03","0","0","","","","","0","","N","","","N","N","1","","","0","","Y","2","","N","N","1","","","4","","N","","","Y","Y","N","","3","Took wrong level in the beginning, but no problem after hod","","4","","N","","","Y","Y","1","","","2","","N","","","N","N","N","","1","","","2","","Y","5","","0","","N","N","1"," Not sure what Exactly the assisted driving features are, ","","2","","N","","","N","N","1","","","2","","Y","2","","N","N","1","","","4","","N","","","Y","Y","N","","1","","","0","","Y","5","","-oth-","System failure","N","N","N","","4"," No noise, I was distracted ,could be dangerous","","4","","Y","1","","Y","Y","N","","1","Noticed no notification,but the icons are now illuminated","","0","","Y","5","","0","","N","N","N","","4","",""
"32","2021-07-08 08:06:23","1","en","","2021-07-08 07:09:27","2021-07-08 08:06:23","2021-07-08 07:09:49"," 53","LC","2","1","GE","RO","16","3","3","1","1","","","0","","N","","","N","N","1","","","0","","Y","-oth-","Full automated and second","N","N","3","","","4","","Y","3","","Y","Y","N","","3","","","4","","N","","","Y","Y","2","","","2","","Y","3","","Y","N","N","","3","Removing hands is difficult,because I only drive assisted","","2","","N","","","","","Y","N","2","","","2","","N","","","N","N","1","","","2","","Y","0","","N","N","1","","","4","","N","","","Y","Y","N","","1","","","0","","N","","","","","N","N","N","","1","","","4","","Y","0","","Y","Y","N","","1","","","0","","Y","8","","-oth-","Emergency brake","N","N","N","","5","",""
"33","2021-07-08 10:32:24","1","en","","2021-07-08 09:43:02","2021-07-08 10:32:24","2021-07-08 09:43:06","03","HC","2","1","Li","He","12","4","3","0","1","","","0","","N","","","N","N","1","","","0","","Y","2","","N","N","3","","","4","","N","","","Y","Y","N","","2","","","4","","Y","1","","Y","Y","2","","","2","","N","","","N","N","N","","2","Keep hands on steering wheel in assisted, I know that now","","2","","Y","-oth-","Didnt read that part","0","","N","N","1","","","2","","N","","","N","N","1","","Distracted by car on track!","4","","Y","2","","Y","Y","1","","","4","","Y","1","","Y","Y","N","","1","","Break because of cars on road","0","","Y","8","","-oth-","Not sure","N","N","N","","5","","Eingreifen","4","","Y","1","","Y","Y","N","","1","Understand that you can only activate automated via assisted","","0","","Y","8","","-oth-","Emergency brake","N","N","N","","4","","Very late take over, Reading difficulties"
"34","2021-07-08 12:48:24","1","en","","2021-07-08 11:51:58","2021-07-08 12:48:24","2021-07-08 11:52:08","54","LC","3","2","He","Je","02","0","1","0","0","","","0","","N","","","N","N","1","","Hat L2 & l3 activated, ","0","","N","","","N","N","1","","","4","","N","","","Y","Y","Y","Took a while to notice how to switch from assisted to automated","3","","","4","","N","","","Y","Y","1","Strange to focus on surt, not trusting yet","","2","","Y","5","","N","N","N","","1","","","0","","Y","7","","-oth-","S.b","N","N","1","","Abgeworfen von auto wegen Regen kurz vor marker","2","","N","","","N","N","1","Starting to feel more comfortable with assisted","","2","","N","","","N","N","1","","Abgeworfen wegen Regen kurz vor marker","4","","Y","0","","Y","Y","N","","1","Learned that the system does actually steer and maintains speed","","0","","Y","8","","0","","N","N","N","","5","Noticing was problematic","Not taken over even though he has seen it and as he said understood it","4","","N","","","Y","Y","N","","1","Sceptically looking at display waiting for a warning, that didnt happen before","","0","","Y","4","","0","","N","N","N","","1","Little awkward that throttle was suddenly turned off
Took the warning seriously this time",""
"35","2021-07-08 14:57:03","1","en","","2021-07-08 14:04:28","2021-07-08 14:57:03","2021-07-08 14:04:38","04","HC","1","0","EL","JO","04","0","0","","","","","-oth-","0","N","","","N","N","1","","","-oth-","0","Y","0","","N","N","1","","","-oth-","Automatic","N","","","Y","Y","N","","1","","","-oth-","2, automated driving","N","","","Y","Y","1","","","2","","N","","","Y","N","Y","Accidentally clicked on power button, I could have pressed the other button
Yellow flashing was good, caught my eye","3","","","2","","Y","5","","0","","Y","N","3","Thinks hands close to wheel are enough","","2","","N","","","N","N","3","I know now I need hand on steering wheel while assisted","","2","","Y","2","","N","N","1","Slightly hands on seems to be enough, which is nice","","4","","N","","","Y","Y","N","","1","","","0","","Y","8","","-oth-","Error ahead","N","N","N","","1","","","4","","Y","1","","Y","Y","N","","1","","","0","","Y","8","","0","","Y","N","N","","1","The more I see errors, the less Im trusting, I started looking at the road ahead more, noise was good",""
"36","2021-07-16 10:26:43","1","en","","2021-07-16 09:28:34","2021-07-16 10:26:43","2021-07-16 09:30:56","55","LC","1","0","Su","Ki","01","0","0","","","","","-oth-","First automated","N","","","N","N","1","","","-oth-","First automated","N","","","N","N","2","","","-oth-","Fully automatic driving","Y","-oth-","I could toggle between manual and assisted driving","Y","N","N","","5","","","2","","N","","","Y","N","5","","","-oth-","Different assisted level","N","","","Y","N","N","","5","","","2","","N","","","","","Y","N","4","Saw The hod just now","","2","","N","","","Y","N","5","","","2","","N","","","Y","N","5","","","-oth-","Fully automatic driving","N","","","Y","N","N","","5","","","0","","Y","-oth-","No lka or cc","0","","N","N","N","","3","Dont know what system limit means","","-oth-","Third, last","N","","","Y","N","N","","3","","","2","","N","","","","","Y","N","N","","5","",""
"37","2021-07-16 14:44:48","1","en","","2021-07-16 13:55:02","2021-07-16 14:44:48","2021-07-16 13:55:55","05","HC","1","0","MO","JO","11","1","0","0","0","","","0","","N","","","N","N","1","","","-oth-","Fully automated","Y","-oth-","Assisted and fully automated","Y","Y","3","","","-oth-","Fully automated","N","","","Y","Y","Y","Slight problems, seemed not intuitive that I needed two buttons","3","","","-oth-","Fully automated","N","","","Y","Y","1","","","2","","N","","","N","N","N","","1","","","2","","Y","-oth-","Fully automated driving no longer available","0","","N","N","1","","","2","","N","","","N","N","1","","","2","","N","","","N","N","1","","","4","","N","","","Y","Y","N","","1","","","0","","Y","-oth-","Fully automated no longer available","1","","N","N","N","","1","I would expect a sound from the car when its important","","4","","Y","1","","Y","Y","N","","1","","","0","","Y","5","","0","","N","N","N","","1","",""
