"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","Datum","VP","HMI","VPCode[VPCode1]","VPCode[VPCode2]","VPCode[VPCode3]","UMUX[UMUX01]","UMUX[UMUX02]","UMUX[UMUX03]","UMUX[UMUX04]","SUS[SUS01]","SUS[SUS02]","SUS[SUS03]","SUS[SUS04]","SUS[SUS05]","SUS[SUS06]","SUS[SUS07]","SUS[SUS08]","SUS[SUS09]","SUS[SUS10]","TuA[Trust]","TuA[Acceptance]","UEQ[UEQ01]","UEQ[UEQ02]","UEQ[UEQ03]","UEQ[UEQ04]","UEQ[UEQ05]","UEQ[UEQ06]","UEQ[UEQ07]","UEQ[UEQ08]","UEQ[UEQ09]","UEQ[UEQ10]","UEQ[UEQ11]","UEQ[UEQ12]","UEQ[UEQ13]","UEQ[UEQ14]","UEQ[UEQ15]","UEQ[UEQ16]","UEQ[UEQ17]","UEQ[UEQ18]","UEQ[UEQ19]","UEQ[UEQ20]","UEQ[UEQ21]","UEQ[UEQ22]","UEQ[UEQ23]","UEQ[UEQ24]","UEQ[UEQ25]","UEQ[UEQ26]","GutGefallen","NichtGefallen","Verbessern","Anmerkungen","AnstrengendWenden[AnstrengendWenden]","Uebel[Uebel]","SpeechInfo","SpeechChangeAvailUp[SOCAUpYes]","SpeechChangeAvailUp[SOCAUpNot]","SpeechChangeAvailDow[SOCADoYes]","SpeechChangeAvailDow[SOCADoNot]","SpeechTransition[SOTransYes]","SpeechTransition[SOTransNot]","SpeechTOR[SOTORYes]","SpeechTOR[SOTORNot]","SpeechHOD[SOHODYes]","SpeechHOD[SOHODNot]","SpeechOperationError[SOOpErrYes]","SpeechOperationError[SOOpErrNot]","SpeechBreak","SpeechAddressing[SOAddressing]","SpeechComments","AllgAnregungen"
"8","2021-07-07 10:32:05","9","en","1272092409","2021-07-07 10:16:07","2021-07-07 10:32:05","2021-07-07 00:00:00","01","HC","LI","JO","09","6","2","6","3","5","1","4","1","5","1","4","1","3","2","4","5","7","6","2","6","1","7","7","5","2","2","7","1","5","7","6","7","2","1","1","7","2","7","1","1","1","7","The symbols were quite clear and the system gave me ample time to react to warnings and such.","It was sometimes unclear how to get back into manual driving mode","Maybe separate the button that allows for switching the automation levels up and down, it could be confusing to know if i was currently going up in automation levels or if i was going down","I really liked the flashing lights and signal warning, they were quite clear. This was also the first time I ever drove an automated car, so the experience was quite new and I did not fully trust the system at the beginning","2","1","","0","4","0","4","0","4","0","4","0","4","0","3","","2","I feel the system that i just used could definitely use more speech outputs, I have the worry that if something happends to the automated driving, such as a limitation ahead, I might be respond to it quick enough without a clear speech output","I really enjoyed the study and it quite fun to drive what felt like a super futuristic car! Only thing I would change is the tightness on the eye tracker."
"9","2021-07-07 12:41:13","9","en","325107474","2021-07-07 12:21:38","2021-07-07 12:41:13","2021-07-07 00:00:00","51","LC","Lo","Bi","06","3","6","4","2","4","3","3","1","3","1","4","3","4","4","5","5","5","4","2","4","3","5","5","6","6","6","6","2","3","6","5","6","1","4","2","6","5","6","2","4","4","6","After a few try´s, I felt the HMI was extremly reliable. The HMI made the driving experience more comfortable.","I felt the HMI was not intuitive and a comfort level needed to be reached into order to be familiar with the controls. ","I would like to have a stronger notification system of HMI changes and warnings. ","Overall a good experience and I would use the HMI on a regular basis when driving. Once I understood how the system worked I would come to rely on it. ","1","1","","0","4","0","4","0","4","0","4","0","4","0","4","","0","N/A","An enjoayable study. One thing I would like to add is the definition between ''Automated'' and ''Assisted'' driving is still not clear. Deike was a wonderful instructor!"
"10","2021-07-07 15:34:45","9","en","47734814","2021-07-07 15:18:32","2021-07-07 15:34:45","2021-07-07 00:00:00","02","HC","Ka","Jo","02","5","2","6","1","4","1","5","1","4","1","4","1","4","1","4","4","6","7","2","2","2","6","6","6","2","3","6","1","6","7","6","6","2","3","2","6","1","7","1","2","2","6","It was very easy to use, intuitive, and easy to learn. There was not an abundance of options, which made it simple to use on the go.","Sometimes it was hard to tell when I switched to automated driving that the car was in control. It might be helpful to have a physical indication (aside from just the display) that the car was driving autonomously.","See above. Otherwise it was great.","Nothing more than indicated above or my comments in the car. BMW has a great Navigation interaface vs. their competitors, and I think the design should not drift too far from that.","1","1","","1","3","2","2","1","3","0","4","1","4","2","2","","0","",""
"11","2021-07-07 17:12:46","9","en","851659485","2021-07-07 16:53:04","2021-07-07 17:12:46","2021-07-07 00:00:00","52","LC","MI","KH","03","3","3","6","1","3","2","4","2","3","2","4","2","3","2","2","2","5","5","4","3","3","4","5","4","3","2","5","4","6","5","5","5","6","3","6","3","4","4","2","2","3","5","Although the symbol for the assisted driving did not make much sense, it was easy to figure out as it was the middle symbol between the 3 which purose it served. Easy to figure out, intuitave, easy to switch between modes and the displays were easy on the eyes/nice to look at. ","I did not like that there was no sound associated with needing to suddenly switch from automated back to manuel. When something goes wrong in the car, like a sensor or system error, there should be noise/alarm or at the very lease vibration in the steering wheel to notify the driver's attention. If in automated the goal is for the driver to be able to realistically check emails, then they would not be looking constantly at the dashboard for a message to pop up saying that there could be an error and you need to switch back to manual. This feature made no sense to me and seems dangerous, therefore I would not trust using the automated system.","As stated above, there should be a sound or alarm when the driver would need to switch out of automated system to either assisted or manual. Especially is there is a sensor error or emergency braking is needed!","It was a little unclear which exact features were included in the assisted system. Intuitively I could feel that it controls acceleration, and at first I thought it took over the steering because I felt an immediate sensation in the steering wheel when I switched to assisted. However, I learned when the message appeared that I needed to keep my hands on the wheel. I wonder still what the other features of assisted driving would be, since I did not partake in switching lanes or anything other than driving straight.","1","1","","0","3","0","4","1","2","0","4","1","3","2","2","","0","I think it would be nice to have the voice feature turned off only for notifications of things that are not safety related,, so that a driver could choose their preference. I think however the speech output for when there are errors or you need to switch back to manual from automated concern safety and therefore should not have the option of being turned off. (Like a safety belt alarm ringing when you don't put it on)","Straightforward, easy and enjoyable experience, aside from the eye mask gave me a headache and began hurting and becoming really uncomfortable the last 15 minutes or so of the driving portion. The person assisting me in the experience was very friendly and helpful and made the experience pleasant for me!"
"12","2021-07-08 10:27:35","9","en","487912738","2021-07-08 10:13:16","2021-07-08 10:27:35","2021-07-08 00:00:00","53","LC","GE","RO","16","5","1","7","1","5","3","5","1","5","1","5","3","2","5","5","5","7","7","5","1","3","5","5","6","4","4","4","2","6","6","5","6","1","3","2","6","1","6","1","1","1","5","it is very easy to use, I don`t have to learn so much","I can´t find anything, that was not good. ","A seperate button for assistant driving and one button for automatic driving would be good. ","The human-machine-interface I used was good. And I like the different colours between the different modes. The system was also easy to handle without a lot of instructions. ","3","1","","0","3","0","4","0","3","0","4","0","1","0","1","","4","I think, if there any problems like ""there is a sensor error"", the speech outputs are very important and the driver need it always.","The study and also the assistant driving was very interesting and I find the HMI is a very good thing. I would like to need it at every driving with my car. "
"13","2021-07-08 12:55:14","9","en","1505347604","2021-07-08 12:41:21","2021-07-08 12:55:14","2021-07-08 00:00:00","03","HC","li","he","12","6","2","6","2","4","2","4","2","4","2","4","3","4","2","4","4","6","6","1","2","2","6","6","5","3","2","4","2","6","6","6","6","4","2","2","6","2","6","2","2","2","6","Everything was easy to use","I liked everything","Not at the moment","No","2","1","","0","2","1","1","0","2","1","2","1","2","2","2","","2","","No, everything went well"
"14","2021-07-08 15:05:36","9","en","1858267075","2021-07-08 14:55:59","2021-07-08 15:05:36","2021-07-08 00:00:00","54","LC","He","Je","02","5","2","6","3","2","1","4","1","4","2","5","2","4","2","3","4","5","6","5","1","3","3","5","5","2","3","6","2","6","5","6","5","3","3","2","6","2","6","2","3","3","5","Quick response to setting the modes, and clarity about which mode I am in was very good. The steering feedback that pushes against small human inputs reminds me that it is working and helps build trust.","I would need more time with the system to develop more trust of it. If it were fitted to my car, and I had several weeks or months to get used to it, I think I would start to use it more often. ","The warning when losing support of automated features needs to be more clear. Especially when one is doing the secondary task, it is very easy to miss all of the warnings indicating that the functionality is going away.","A haptic and auditory feedback is necessary to notice the changes in availability, otherwise it is very easy to miss all of the warnings until the system turns itself off","1","1","","0","4","0","4","1","3","0","4","1","4","3","2","","0","Depending on how often the system would be forced to switch between modes, I could see that the constant reminders might become annoying but tolerable. It would be better to have constant reminders than not know what is going on with the car.","Looking forward to see how it would impact the future of BMW cars!"
"15","2021-07-08 17:21:04","9","en","936845685","2021-07-08 17:06:05","2021-07-08 17:21:04","2021-07-08 00:00:00","04","HC","EL","JO","04","7","1","6","2","5","2","5","1","5","1","4","1","4","2","5","5","7","6","2","1","1","7","7","6","2","2","7","1","7","7","7","7","2","3","1","6","2","7","2","2","2","6","The lights on the steering wheel were a nice touch and not very aggressive. The voice/sound was also good for taking me out of my concentration when I was playing the game.","Nothing really","Maybe have the entire interior light up slightly instead of just the steering wheel. If I were to do something that was making me not look anywhere near the steering wheel, having the entire car light up would make sure I got the message.","The more I used the automatic driving, the more it felt cumbersome to keep my fingers on the steering wheel in assisted mode, even though its quite relaxed by allowing me to only slightly touch the steering wheel. At the beginning I felt slightly distrustful of the automatic driving and assistance but that went away fairly quickly. I think I would take some time though before trusting it with other cars and people around.","1","1","","0","3","0","4","1","3","0","3","1","2","4","0","","3","Speech outputs definitely make it feel more immersive and I think a must have. A nice calming voice is definitely wanted","Cool study. I hope that we can have fully automatic cars at some point, I hate driving long distances!"
"17","2021-07-16 12:50:51","9","en","332888541","2021-07-16 12:35:06","2021-07-16 12:50:51","2021-07-16 00:00:00","55","LC","Su","Ki","01","7","1","7","1","4","1","4","1","4","2","4","1","4","2","2","4","7","7","4","4","3","5","5","5","4","4","5","2","5","5","5","5","3","3","1","7","2","6","2","2","2","6","I liked how easy it was to toggle between the modes of automatic driving.","I wasnt sure how much i could trust the machine or if I could really perform other tasks while in fully automatic mode.","The commands that the machine gives the human should be more alarming","I didnt really notice a difference in the assisted driving and the fully automatic driving","1","1","","3","1","1","3","0","3","1","4","1","2","0","2","","0","You should be able to customize your speech settings","I wasnt sure if i would be abel to perform tasks (such as emails) while the automated driving feature was on, if I were driving in traffic, instead of a straight road with out hazards.  I think the subject should be made to take turns or drive around cones to better expirence the difference in the three levels of automatic driving."
"19","2021-07-16 17:11:59","9","en","2083115730","2021-07-16 16:56:54","2021-07-16 17:11:59","2021-07-16 00:00:00","05","HC","MO","JO","11","5","2","5","1","5","2","4","1","4","2","5","1","4","1","2","5","6","6","4","1","1","5","6","4","1","4","7","1","6","6","4","6","5","2","3","6","3","7","2","4","3","3","Well integrated into the usual car controls","Two buttons instead of one.
I expected to be able to click through all modes with one button instead of activiting the system with one button and changing the mode with another.
Uncertainty about what would happen if I did not follow the system`s instructions, in other words what would happen if I did not take back manual control","Turn on and cycle through driving modes with one button
More audio tones to indicate changing availability of driving modes
Information about what will happen if the systems instructions are not followed, eg ""Car will drive to the right and break to a compete stop""","","1","1","","0","4","0","4","0","4","0","4","4","0","0","4","","0","I dislike the idea of having to active assisted driving first and then having to switch between assisted and automated driving with a button. That seems unnecessarily complicated.",""
