"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","VPCode[VPCode1]","VPCode[VPCode2]","VPCode[VPCode3]","Instruktion","Alter","Geschlecht","Nation","NationGeb","NationGeb2","Farbfehlsichtigkeit","Farbfehlsichtigkeit2","Erfahrung","KmJahr","Vorwissen[VorwissenAut]","FAS[CC]","FAS[ACC]","FAS[LKA]","FAS[None]","OftCC","AutomarkeCC","OftACC","AutomarkeACC","OftLKA","AutomarkeLKA","VSM01[VSM01]","VSM01[VSM02]","VSM01[VSM03]","VSM01[VSM04]","VSM01[VSM05]","VSM01[VSM06]","VSM01[VSM07]","VSM01[VSM08]","VSM01[VSM09]","VSM01[VSM10]","VSM11[VSM11]","VSM11[VSM12]","VSM11[VSM13]","VSM11[VSM14]","VSM15[VSM15]","VSM15[VSM16]","VSM17[VSM17]","VSM18[VSM18]","VSM19[VSM19]","VSM20[VSM20]","VSM21[VSM21]","VSM21[VSM22]","VSM21[VSM23]","VSM21[VSM24]","UsabFactor[1]","UsabFactor[2]","UsabFactor[3]","UsabFactor[4]","UsabFactor[5]","UsabFactor[6]","UsabFactor[7]","UsabFactor[8]","UsabFactor[9]","UsabFactor[10]","UsabFactor[11]","UsabFactor[12]","UsabFactor[13]","UsabFactor[14]","UsabFactor[15]","UsabFactor[16]","UsabFactor[17]","UsabFactor[18]","UsabFactor[19]","UsabFactor[21]","UsabFactor[22]","UsabFactor[23]","UsabFactor[24]","UsabFactor[25]","TPComments"
"9","2021-07-02 18:24:02","5","en","85247941","2021-07-02 18:15:30","2021-07-02 18:24:01","LI","JO","21091999","","21","0","US and German","N","","N","","2","0","0","Y","","","","1","Toyota, Audi, BMW","","","","","1","2","3","2","2","1","1","1","2","3","1","3","2","3","1","4","3","3","2","4","2","1","3","3","5","6","6","5","5","6","5","3","4","4","6","5","2","5","5","4","4","4","4","6","5","0","4","6",""
"11","2021-07-05 08:22:55","5","en","1474921089","2021-07-05 08:17:01","2021-07-05 08:22:55","DO","GI","02","","32","0","American","N","","N","","1","0","1","Y","Y","Y","","1","Ford, Renault, Dodge","1","Ford","0","None","3","1","3","3","2","1","3","4","2","1","1","2","3","3","3","2","3","2","1","3","1","3","3","4","2","4","6","6","5","4","5","1","3","3","5","4","2","5","6","4","2","1","5","6","5","2","4","4","Not at this time."
"13","2021-07-06 17:43:28","5","en","1185564770","2021-07-06 17:34:58","2021-07-06 17:43:28","Lo","BI","06","","41","0","USA","N","","N","","3","3","2","Y","Y","Y","Y","3","BMW, Jeep, Nissan","3","BMW, Jeep, Nissan","3","BMW, Jeep, Nissan","1","2","2","2","2","2","2","2","4","2","2","5","2","3","4","2","4","1","1","3","2","2","3","3","5","6","6","5","5","5","5","3","5","5","5","2","0","4","5","6","3","4","5","5","6","0","4","5","No questions or comments. "
"14","2021-07-06 18:35:04","5","en","929991142","2021-07-06 18:18:04","2021-07-06 18:35:04","KA","JO","02","","38","0","USA","N","","N","","1","1","2","Y","Y","Y","","2","Audi, Acura, Porsche, Honda","2","Audi, Acura, Porsche","1","Porsche, Audi","1","1","2","2","1","1","3","2","3","1","2","3","3","3","4","2","4","1","1","4","1","2","3","3","4","5","6","5","4","6","6","3","4","3","4","3","3","6","6","4","4","3","5","6","6","3","3","5","I forgot to mention that I've used Mercedes systems as well, but the survey would not let me return to the previous screens to correct the omission.

"
"15","2021-07-07 00:55:59","5","en","1553311120","2021-07-07 00:37:16","2021-07-07 00:55:59","MI","KH","03","","37","1","United States","N","","N","","3","0","1","Y","","","","2","Mercedes Sprinter, Honda CRV, Nissan Murano","","","","","1","1","3","2","2","1","3","1","2","2","1","2","1","2","3","2","3","2","3","4","1","3","3","4","3","5","6","5","6","6","5","3","5","3","5","3","2","3","5","6","3","4","5","6","6","3","4","6","I would have a better ability to answer this questionnaire about the product/interface after I am introduced to it and become familiar, rather than before. "
"16","2021-07-07 12:16:09","5","en","949949135","2021-07-07 12:01:39","2021-07-07 12:16:09","GE","RO","16","","28","1","american and german","N","","N","","4","2","2","Y","Y","Y","","4","BMW, Mazda, Opel, Suzuki","2","Mazda","2","Mazda","1","1","2","2","2","1","2","2","2","2","1","2","2","3","4","2","4","2","1","1","2","1","3","3","4","5","5","6","5","6","6","4","6","5","6","5","1","5","5","5","6","6","4","6","6","5","5","6","No, I don't have any questions or comments about the questionnaire. Thank you. "
"17","2021-07-07 16:10:41","5","en","1586378819","2021-07-07 16:04:45","2021-07-07 16:10:41","He","Je","14","","28","0","United States","N","","N","","4","2","4","Y","","Y","","4","Opel, VW, Audi, BMW, Nissan, Chevrolet, Toyota","","","1","Toyota, BMW","2","3","3","1","2","2","2","1","4","3","1","4","3","5","4","2","3","2","4","3","2","2","1","3","3","5","6","5","6","4","4","3","2","2","4","1","2","6","5","1","2","2","4","5","6","1","2","6",""
"19","2021-07-07 21:08:59","5","en","645473756","2021-07-07 20:41:30","2021-07-07 21:08:59","LI","HE","12","","55","1","USA","N","","N","","3","3","2","Y","","","","1","Toyota, VW","","","","","2","2","2","2","2","3","3","2","2","2","2","3","3","3","3","2","3","2","2","3","2","3","3","3","4","3","5","5","5","5","5","4","5","4","4","4","3","3","4","4","5","5","3","3","4","4","4","5",""
"20","2021-07-07 21:23:58","5","en","1739676412","2021-07-07 21:18:05","2021-07-07 21:23:58","Lo","Bi","06","","41","0","USA","N","","N","","3","3","2","Y","Y","Y","","3","BMW, Jeep, Nissan","3","BMW, Jeep, Nissan","2","BMW, Jeep, Nissan","1","2","2","1","1","2","2","2","4","2","2","5","2","4","5","1","4","1","1","3","2","2","2","3","5","5","6","5","5","6","5","4","5","5","5","4","3","5","5","6","3","5","5","5","5","2","5","5","No comments."
"21","2021-07-08 00:39:26","5","en","8132986","2021-07-08 00:33:16","2021-07-08 00:39:26","EL","JO","04","","26","0","American","Y","German","N","","2","1","1","Y","","","","2","BMW, Audi, Toyota","","","","","1","2","3","4","2","1","3","2","3","2","1","4","3","3","4","1","5","1","1","2","2","1","3","4","4","4","6","4","4","6","5","3","2","4","6","0","0","6","5","3","1","1","5","6","5","0","4","5",""
"22","2021-07-13 16:19:48","5","en","864858648","2021-07-13 16:14:05","2021-07-13 16:19:48","MO","JO","11","","36","0","USA","N","","N","","3","1","0","Y","","","","3","BMW, Audi, Toyota, Skoda","","","","","2","2","2","2","3","2","3","2","3","3","2","3","2","2","4","2","4","2","2","3","2","1","3","2","5","5","6","5","5","5","4","4","4","4","5","4","3","4","5","4","2","2","5","5","4","3","4","4",""
"23","2021-07-13 18:19:15","5","en","1446693592","2021-07-13 18:13:45","2021-07-13 18:19:15","BR","ST","01","","27","0","USA","N","","N","","1","0","0","Y","","","","1","Honda, Lexus","","","","","1","3","2","2","3","2","3","2","3","2","2","3","2","3","3","2","4","2","3","4","1","2","3","4","4","6","6","4","4","6","5","3","4","2","6","5","2","4","6","3","1","1","6","5","5","0","4","6",""
"24","2021-07-15 11:54:53","5","en","1571070534","2021-07-15 11:49:36","2021-07-15 11:54:53","SH","DA","08","","38","1","American","N","","N","","1","0","2","Y","Y","Y","","1","Buick, Cadillac, Mercedes","1","Cadillac, Mercedes","1","Cadillac, Mercedes","2","2","2","1","2","1","4","2","4","1","2","3","2","3","3","2","5","1","3","4","2","2","3","4","5","5","6","6","4","5","6","3","3","3","5","2","1","5","5","5","1","3","3","5","6","0","2","4",""
"25","2021-07-15 14:14:58","5","en","670510328","2021-07-15 13:41:29","2021-07-15 14:14:58","FE","BE","11","","31","0","American","N","","N","","2","1","4","Y","","Y","","1","Toyota, Ford, Chevy","","","0","Toyota ","3","1","3","1","2","2","2","2","2","1","4","3","3","2","4","2","1","1","1","1","4","1","4","1","4","6","5","6","5","6","6","5","3","6","6","1","3","3","4","6","5","1","6","5","4","3","5","6",".... I don't have any guestions or statements about the questionnaire I just took, although I found some of it strange... like how does driving a smart car give you better social skills... "
"26","2021-07-15 16:52:26","5","en","1343021137","2021-07-15 16:40:45","2021-07-15 16:52:26","MA","AL","07","","59","1","USA","N","","N","","1","0","1","Y","","","","1","Audi, VW, Toyota, Honda","","","","","1","2","3","2","2","1","2","2","4","2","1","4","3","3","3","2","2","1","3","4","1","2","3","4","5","6","6","5","6","6","6","4","3","4","6","1","1","6","6","4","4","4","6","6","6","1","4","5",""
"27","2021-07-16 08:53:38","5","en","1348928758","2021-07-16 08:41:51","2021-07-16 08:53:38","SU","KI","01","","23","0","USA","Y","German","N","","1","0","1","Y","Y","Y","","1","GMC, Chevy, Buick","1","GMC, Chevy, Buick","1","GMC, Chevy, Buick","3","1","2","2","3","3","2","4","4","2","1","3","1","2","2","2","5","2","4","4","2","1","2","3","6","5","6","5","6","5","6","0","1","1","4","4","3","6","5","6","5","5","5","5","4","5","3","6",""
"28","2021-07-20 00:51:45","5","en","2071475989","2021-07-20 00:45:14","2021-07-20 00:51:45","TH","TU","01","","24","1","USA and Germany","Y","Germany","N","","3","1","1","","","","Y","","","","","","","2","1","1","1","2","1","1","2","2","1","3","3","2","2","2","2","1","4","4","4","1","1","3","4","4","5","6","6","6","6","6","5","5","1","5","1","0","2","5","3","4","3","4","6","6","1","3","5","I would like eco-friendliness/fuel efficiency to be considered in this questionnaire/research development."
"29","2021-07-20 17:49:01","5","en","344514660","2021-07-20 17:40:33","2021-07-20 17:49:01","El","Te","07","","42","0","USA","N","","N","","1","0","3","Y","Y","Y","","2","Tesla, Mercedes, Mazda, Audi, mini","5","Tesla, Mercedes, Mazda","5","Tesla","2","2","2","2","3","1","3","2","3","2","2","3","3","3","3","2","3","2","3","3","1","3","1","3","5","4","6","6","6","5","6","3","4","5","4","1","1","0","5","5","5","1","4","1","4","0","4","5",""
"30","2021-07-20 21:47:50","5","en","1246280500","2021-07-20 21:36:11","2021-07-20 21:47:50","RO","HE","07","","44","1","American","Y","Ecuador","N","","3","1","1","Y","","","","1","BMW","","","","","2","3","2","3","2","1","2","3","3","2","2","2","2","3","2","2","1","1","2","4","2","2","3","3","5","3","5","6","6","6","5","5","6","6","6","5","3","6","6","5","5","5","5","6","6","4","5","6","Is the product offered in different languages? "
"31","2021-07-21 13:09:32","5","en","339862836","2021-07-21 12:35:58","2021-07-21 13:09:32","VI","ST","12","","53","1","US-American","N","","N","","4","0","1","Y","","Y","","0","2019  BMW X3","","","1","2019 BMW X3","2","2","1","1","3","2","2","3","3","1","1","3","3","3","4","2","3","1","2","3","2","3","2","4","6","5","5","5","6","6","4","4","4","5","5","5","3","6","6","6","5","5","5","6","5","5","5","6",""
"32","2021-07-21 13:34:52","5","en","1348180991","2021-07-21 13:26:30","2021-07-21 13:34:51","UU","LK","12","","20","0","AMERICAN","N","","N","","3","1","0","Y","","","","2","TOYOTA","","","","","2","1","2","1","2","2","2","2","2","1","2","2","3","2","2","2","3","2","2","4","4","2","4","2","5","5","6","5","5","5","5","4","4","5","5","6","6","5","6","6","6","4","6","5","5","4","5","6",""
"33","2021-07-21 19:38:00","5","en","1520383141","2021-07-21 19:26:27","2021-07-21 19:38:00","Ru","Ro","02","","37","0","American. US. ","N","","N","","1","0","2","Y","","","","1","Ford, VW, Mercedes, BMW","","","","","2","3","3","1","1","2","2","2","3","2","2","2","2","2","4","1","2","1","1","3","1","2","3","2","5","6","6","6","6","6","6","5","6","6","5","6","5","6","6","6","5","6","5","6","6","5","6","6",""
"34","2021-07-22 13:50:21","5","en","655626384","2021-07-22 13:35:03","2021-07-22 13:50:21","Ju","Ru","08","","53","0","USA","N","","N","","3","0","0","","","","Y","","","","","","","1","3","4","1","4","2","3","2","3","2","3","3","2","3","4","2","3","2","4","4","2","2","4","3","0","6","6","6","6","6","6","6","6","0","6","4","0","6","6","3","4","1","1","6","6","3","5","6","interesting questions "
"35","2021-07-22 20:37:02","5","en","386468374","2021-07-22 20:28:22","2021-07-22 20:37:02","Br","Ro","04","","40","0","United States","N","","N","","3","1","1","Y","Y","Y","","2","Audi","2","Audi","4","Audi","2","1","2","2","1","1","2","3","2","3","3","3","3","4","4","2","3","2","3","4","1","2","2","2","5","5","6","5","4","5","5","4","4","4","5","2","0","6","6","4","3","2","5","5","6","1","5","6",""
"36","2021-07-22 21:59:00","5","en","485862744","2021-07-22 21:50:15","2021-07-22 21:59:00","CO","MA","12","","40","1","American","N","","N","","1","0","2","Y","Y","","","3","Acura, Volkswagen, Nissan, Volvo, Dodge, Chevy","2","Volkswagen","","","1","1","3","2","2","3","3","1","3","2","1","3","1","3","3","2","3","2","2","4","1","1","3","2","5","6","6","4","5","6","6","4","4","5","5","4","3","4","5","5","4","3","4","4","4","3","3","5","None"
"37","2021-07-23 08:58:54","5","en","1490235748","2021-07-23 08:48:11","2021-07-23 08:58:54","Ru","Le","06","","40","1","United State of America","N","","N","","3","0","2","Y","","Y","","1","Skoda, BMW, VW, Toyota","","","1","Skoda","2","1","3","3","2","2","2","3","3","2","3","3","2","3","2","2","3","2","3","4","1","2","3","3","4","4","6","5","3","4","4","4","4","3","4","4","2","3","4","4","3","3","5","5","3","4","5","4","Some of these things are dependant on the other. For example, with Originality, that only is strongly valuable IF it is also efficient and intuitive. "
"38","2021-07-23 17:44:28","5","en","1158063903","2021-07-23 17:33:23","2021-07-23 17:44:28","EM","DA","10","","38","1","US American","N","","N","","4","1","3","Y","","Y","","1","Nissan, Isuzu, Toyota, Kia","","","4","Kia","1","1","2","2","2","3","2","2","3","3","2","3","1","3","3","2","2","2","2","4","1","4","2","3","4","6","6","5","4","5","4","3","4","4","6","5","2","4","5","5","2","2","6","4","4","1","5","6",""
"39","2021-07-23 18:04:45","5","en","959691813","2021-07-23 17:57:06","2021-07-23 18:04:45","PA","RI","12","","36","0","USA","N","","N","","4","1","3","Y","","Y","","2","Kia, Toyota","","","2","Kia","1","1","2","1","1","2","2","1","4","3","2","2","4","2","2","3","3","2","4","4","1","3","4","4","4","5","5","6","6","5","6","4","5","4","6","5","1","5","5","4","4","1","5","6","5","0","4","5","Nope"
"40","2021-07-25 11:18:45","5","en","95926530","2021-07-25 11:10:36","2021-07-25 11:18:45","ro","da","11","","42","0","USA","N","","N","","3","2","1","Y","","Y","","1","VW, Toyota, Kia","","","1","Kia","2","2","1","2","2","2","3","3","3","2","2","3","3","3","4","2","3","2","3","3","2","2","3","4","3","6","6","4","6","5","5","3","4","3","4","3","1","4","5","3","4","4","4","5","4","3","4","6",""
