"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","Instruktion","Alter","Geschlecht","Nation[1]","Nation[other]","NationGeb","NationGeb2","Erfahrung","KmJahr","Vorwissen[VorwissenAut]","FAS[CC]","FAS[ACC]","FAS[LKA]","FAS[None]","OftCC","AutomarkeCC[Audi]","AutomarkeCC[BMW]","AutomarkeCC[Buic]","AutomarkeCC[Cadi]","AutomarkeCC[Chev]","AutomarkeCC[Dodg]","AutomarkeCC[Ford]","AutomarkeCC[Hyun]","AutomarkeCC[Jeep]","AutomarkeCC[Fiat]","AutomarkeCC[Kia]","AutomarkeCC[Land]","AutomarkeCC[Lexu]","AutomarkeCC[Mazd]","AutomarkeCC[Merc]","AutomarkeCC[Niss]","AutomarkeCC[Opel]","AutomarkeCC[Peug]","AutomarkeCC[Pors]","AutomarkeCC[Rena]","AutomarkeCC[Seat]","AutomarkeCC[Skod]","AutomarkeCC[Suba]","AutomarkeCC[Tesl]","AutomarkeCC[Toyo]","AutomarkeCC[VW]","AutomarkeCC[Volv]","AutomarkeCC[other]","OftACC","AutomarkeACC[Audi]","AutomarkeACC[BMW]","AutomarkeACC[Buic]","AutomarkeACC[Cadi]","AutomarkeACC[Chev]","AutomarkeACC[Dodg]","AutomarkeACC[Ford]","AutomarkeACC[Hyun]","AutomarkeACC[Jeep]","AutomarkeACC[Fiat]","AutomarkeACC[Kia]","AutomarkeACC[Land]","AutomarkeACC[Lexu]","AutomarkeACC[Mazd]","AutomarkeACC[Merc]","AutomarkeACC[Niss]","AutomarkeACC[Opel]","AutomarkeACC[Peug]","AutomarkeACC[Pors]","AutomarkeACC[Rena]","AutomarkeACC[Seat]","AutomarkeACC[Skod]","AutomarkeACC[Suba]","AutomarkeACC[Tesl]","AutomarkeACC[Toyo]","AutomarkeACC[VW]","AutomarkeACC[Volv]","AutomarkeACC[other]","OftLKA","AutomarkeLKA[Audi]","AutomarkeLKA[BMW]","AutomarkeLKA[Buic]","AutomarkeLKA[Cadi]","AutomarkeLKA[Chev]","AutomarkeLKA[Dodg]","AutomarkeLKA[Ford]","AutomarkeLKA[Hyun]","AutomarkeLKA[Jeep]","AutomarkeLKA[Fiat]","AutomarkeLKA[Kia]","AutomarkeLKA[Land]","AutomarkeLKA[Lexu]","AutomarkeLKA[Mazd]","AutomarkeLKA[Merc]","AutomarkeLKA[Niss]","AutomarkeLKA[Opel]","AutomarkeLKA[Peug]","AutomarkeLKA[Pors]","AutomarkeLKA[Rena]","AutomarkeLKA[Seat]","AutomarkeLKA[Skod]","AutomarkeLKA[Suba]","AutomarkeLKA[Tesl]","AutomarkeLKA[Toyo]","AutomarkeLKA[VW]","AutomarkeLKA[Volv]","AutomarkeLKA[other]","VSMq01[VSM01]","VSMq01[VSM02]","VSMq01[VSM03]","VSMq01[VSM04]","VSMq01[VSM05]","VSMq01[VSM06]","VSMq01[VSM07]","VSMq01[VSM08]","VSMq01[VSM09]","VSMq01[VSM10]","VSMq11[VSM11]","VSMq11[VSM12]","VSMq11[VSM13]","VSMq11[VSM14]","VSMq15[VSM15]","VSMq15[VSM16]","VSMq17[VSM17]","VSMq18[VSM18]","VSMq19[VSM19]","VSMq20[VSM20]","VSMq21[VSM21]","VSMq21[VSM22]","VSMq21[VSM23]","VSMq21[VSM24]","UsabFactor[1]","UsabFactor[2]","UsabFactor[3]","UsabFactor[4]","UsabFactor[5]","UsabFactor[6]","UsabFactor[7]","UsabFactor[8]","UsabFactor[9]","UsabFactor[10]","UsabFactor[11]","UsabFactor[12]","UsabFactor[13]","UsabFactor[14]","UsabFactor[15]","UsabFactor[16]","UsabFactor[17]","UsabFactor[18]","UsabFactor[19]","UsabFactor[21]","UsabFactor[22]","UsabFactor[23]","UsabFactor[24]","UsabFactor[25]","Ausschluss","TPComments","Farbfehlsichtigkeit"
"11","2021-12-23 15:23:36","4","en","194144661","2021-12-23 15:10:49","2021-12-23 15:23:36","","41","0","Y","","N","","3","1","2","Y","Y","Y","","3","","","","","Y","","Y","","","","","","","","","Y","","","","","","","Y","","Y","Y","","Honda","2","","","","","Y","","","","","","","","","","","","","","","","","","","","Y","","","","1","","","","","Y","","","","","","","","","","","","","","","","","","","","Y","","","","2","3","2","1","3","2","3","3","3","3","3","4","2","4","4","3","2","2","4","4","1","4","3","2","4","3","5","6","6","4","5","5","2","2","6","0","0","6","6","5","0","0","5","6","5","0","0","6","","",""
"13","2021-12-24 08:05:55","4","en","1516774860","2021-12-24 07:58:03","2021-12-24 08:05:55","","36","0","Y","","N","","0","0","2","Y","","","","1","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","Honda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","3","3","2","2","2","2","3","2","2","4","2","3","3","2","3","1","3","3","2","2","3","4","4","5","6","5","5","4","4","3","6","2","5","1","0","6","5","2","3","2","5","5","5","1","2","6","","",""
"14","2021-12-26 21:34:23","4","en","1843697442","2021-12-26 21:27:03","2021-12-26 21:34:23","","34","0","Y","","N","","4","3","4","Y","Y","Y","","3","Y","Y","Y","Y","Y","Y","Y","","","","Y","","","Y","Y","Y","Y","","","","","Y","Y","Y","Y","Y","Y","","3","Y","Y","","","Y","","","","","","","","","Y","Y","","","","","","","Y","","Y","Y","Y","","","4","Y","Y","","","","","","","","","","","","Y","Y","","","","","","","Y","","Y","Y","Y","","","1","2","2","1","1","3","4","2","5","2","1","2","1","3","4","1","5","1","2","4","2","4","3","1","3","5","6","4","6","4","6","1","5","0","6","4","0","5","6","4","3","0","4","6","3","0","0","6","","",""
"17","2021-12-30 16:43:06","4","en","1067731717","2021-12-30 15:06:37","2021-12-30 16:43:06","","65","0","Y","","Y","Lebanese","3","1","2","Y","","","","5","","","","","","","Y","","","","","","","Y","","","","","","","","","","","","","","Honda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","1","2","1","1","1","3","3","2","3","4","2","3","3","2","3","1","2","4","1","2","4","4","6","6","6","6","6","6","6","6","6","6","6","6","3","6","6","5","5","5","6","6","6","4","6","6","","None.",""
"19","2022-01-06 15:22:36","4","en","347790581","2022-01-06 15:16:02","2022-01-06 15:22:36","","25","0","Y","","N","","4","2","3","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","2","2","1","2","3","2","2","5","2","3","3","4","5","5","2","3","1","3","1","2","2","3","3","0","6","6","0","0","3","3","0","2","0","0","0","0","0","2","0","0","0","0","6","0","0","0","3","","",""
"20","2022-01-07 16:10:29","4","en","7874904","2022-01-07 16:00:53","2022-01-07 16:10:29","","24","1","Y","","N","","1","0","3","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","1","1","1","2","3","3","3","2","2","2","5","3","3","1","3","1","3","4","4","2","2","4","3","4","6","4","4","5","4","4","2","4","2","6","2","2","4","4","3","1","0","5","5","4","5","2","6","","No",""
"23","2022-01-09 11:14:02","4","en","34679931","2022-01-09 10:56:08","2022-01-09 11:14:02","","37","1","Y","","N","","4","1","3","Y","Y","Y","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","1","1","1","1","1","1","1","3","3","1","2","3","3","1","3","2","4","2","2","4","3","1","1","3","6","6","6","6","6","6","6","6","6","4","6","6","3","4","5","6","6","6","6","6","6","6","6","6","","Some of the questions were ambiguous. I am an owner of an AV and work for an auto manufacturer who produces autonomous vehicles. However I wasn’t sure if I should answer the questions in a way of what do I currently have or what would I desire. I answered with my desires in mind. ",""
"24","2022-01-12 19:30:16","4","en","1681917224","2022-01-12 19:22:54","2022-01-12 19:30:16","","23","0","Y","","N","","3","1","2","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","2","1","1","1","2","2","4","3","1","3","3","3","4","2","3","2","3","3","2","2","3","2","5","3","6","6","6","6","4","3","4","0","5","0","0","4","5","3","2","1","4","4","5","0","4","6","","",""
"27","2022-01-13 15:26:01","4","en","587330586","2022-01-13 15:16:26","2022-01-13 15:26:01","","32","0","Y","","N","","0","0","1","Y","","","","0","","","","","","","Y","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","1","2","2","1","1","1","1","2","2","2","4","2","2","3","2","3","2","2","3","2","2","4","5","4","4","6","6","6","6","6","4","4","3","6","5","2","4","4","5","4","3","4","4","4","3","3","4","","No",""
"28","2022-01-13 16:34:30","4","en","373487581","2022-01-13 16:14:43","2022-01-13 16:34:30","","64","1","Y","","N","","4","1","0","Y","","","","1","","Y","","","","","","","","","","","","","","Y","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","2","2","1","3","1","1","3","2","3","2","3","4","3","3","3","2","1","2","4","4","6","6","6","6","6","6","4","6","4","6","4","1","4","6","4","2","3","5","6","6","4","4","6","","",""
