"Test","diff_means","TOST_t1","TOST_p1","TOST_t2","TOST_p2","TOST_df","alpha","low_eqbound","high_eqbound","low_eqbound_d","high_eqbound_d","LL_CI_TOST","UL_CI_TOST","LL_CI_TTest","UL_CI_TTest","NHST_t","NHST_p","lev_Df_group","lev_Df","lev_F","lev_p","shap_Exp1","shap_Exp2","shap_W1","shap_W2","shap_p1","shap_p2","wTOST_W_NHST","wTOST_W_TOSTlow","wTOST_W_TOSTupp","wTOST_p_NHST","wTOST_p_TOSTlow","wTOST_p_TOSTupp","wTOST_low_eqbound","wTOST_high_eqbound","wTOST_alpha","wTOST_test","wTOST_decision_combined"
"ER_12",0.03998528793610756,3.0513738109876427,0.0014269065158616972,-2.2971999543345603,0.011747084202210446,110.32962366643117,0.05,-0.28357421855355575,0.28357421855355575,-0.5,0.5,-0.13590752269205794,0.21587809856427306,-0.1701488133155956,0.25011938918781074,0.37708692832654134,0.7068333327389289,1,111,0.3016968837202924,0.58392389607473,"1","2","0.941221296436859","0.853099129468664","0.0125583482868093","3.22579172277395e-06","1757.5","2273","1194","0.323665673522567","3.79484648828689e-05","0.0120161028417767","-0.283574218553556","0.283574218553556","0.05","Wilcoxon rank sum test with continuity correction","NHST: don't reject null significance hypothesis that the effect is equal to zero 
TOST: reject null equivalence hypothesis"
"ER_23",-0.06989981785063759,1.939948255899756,0.027781272875384403,-3.050810333389806,0.00150487017982965,88.71678239090355,0.05,-0.31403819015594236,0.31403819015594236,-0.5,0.5,-0.27908556368995024,0.13928592798867506,-0.3199678715526172,0.180168235851342,-0.5554310387450249,0.5799977896920843,1,101,0.06334305647127154,0.8017994529796981,"2","3","0.853099129468664","0.901010771064696","3.22579172277395e-06","0.0015436141794562","1173.5","1603","758","0.471803561076149","0.015427559830303","0.000225158907643136","-0.314038190155942","0.314038190155942","0.05","Wilcoxon rank sum test with continuity correction","NHST: don't reject null significance hypothesis that the effect is equal to zero 
TOST: reject null equivalence hypothesis"
"LevelObserved_Rep_score_12",0.6746532156368215,5.173941187869078,8.215863313429127e-7,-0.286043739753904,0.387789514259179,80.5444965767898,0.05,-0.7536157269768123,0.7536157269768123,-0.5,0.5,0.21530720985346197,1.133999221420181,0.12535226151820977,1.2239541697554333,2.443948724057587,0.016712159234830493,1,111,5.3085941279092905,0.02308171463564731,"1","2","0.704110855840884","0.674332554351482","6.19259815440785e-09","2.35205912971117e-10","1733","2384","1082","0.335007389609834","1.07917487897225e-06","0.00138883333945029","-0.753615726976812","0.753615726976812","0.05","Wilcoxon rank sum test with continuity correction","NHST: don't reject null significance hypothesis that the effect is equal to zero 
TOST: reject null equivalence hypothesis"
"LevelObserved_Rep_score_23",-0.11787665886026488,2.191601861524194,0.015638068927044647,-2.741278270097774,0.0037633360942204734,81.10922762205303,0.05,-1.0578431590009665,1.0578431590009665,-0.5,0.5,-0.8314965906184079,0.5957432728978781,-0.9712252269566789,0.7354719092361491,-0.27483820428678973,0.784139405645252,1,101,0.07900334318921948,0.7792276245843103,"2","3","0.674332554351482","0.547450827608123","2.35205912971117e-10","3.48381888507318e-10","1242.5","1968","376","0.772457571112415","9.85170757818442e-07","1.84195352635416e-10","-1.05784315900097","1.05784315900097","0.05","Wilcoxon rank sum test with continuity correction","NHST: don't reject null significance hypothesis that the effect is equal to zero 
TOST: reject null equivalence hypothesis"
"EmailsAllow_Observed_score_12",0.75,6.219640495126447,1.4421853353023683e-8,0.7359103659031537,0.7679178765085972,72.35729630361931,0.05,-0.5912971781948367,0.5912971781948367,-0.5,0.5,0.39067839757420153,1.1093216024257986,0.32013568497467815,1.1798643150253219,3.4777754305148005,8.594600707013827e-4,1,111,10.574180114523703,0.0015190777944023108,"1","2","0.549161740659124","0.685384392778108","2.13325101214362e-11","3.77332427165784e-10","1919","2711","1127","0.0190640320729652","6.53405096370199e-12","0.0028943661686056","-0.591297178194837","0.591297178194837","0.05","Wilcoxon rank sum test with continuity correction","NHST: reject null significance hypothesis that the effect is equal to zero 
TOST: reject null equivalence hypothesis"
"EmailsAllow_Observed_score_23",0.1904761904761898,2.938450745673084,0.0022051162779394245,-1.9364986354770635,0.028334834477521997,73.15177521143367,0.05,-0.9267526635620099,0.9267526635620099,-0.5,0.5,-0.4429356226436063,0.8238880035959859,-0.5672550972585498,0.9482074782109294,0.5009760550980106,0.6178921283311627,1,101,0.27580649674043467,0.6006140355980252,"2","3","0.685384392778108","0.62898637230572","3.77332427165784e-10","4.52782567043312e-09","1344.5","1822","867","0.633896646506102","8.94757522632171e-05","0.00207461609169019","-0.92675266356201","0.92675266356201","0.05","Wilcoxon rank sum test with continuity correction","NHST: don't reject null significance hypothesis that the effect is equal to zero 
TOST: reject null equivalence hypothesis"
"HandsOffAllow_Observed_score_12",1.173392181588902,7.468861783388706,8.960926583736367e-11,1.9767040649763077,0.9739792421290154,69.54707835358963,0.05,-0.6822730401010075,0.6822730401010075,-0.5,0.5,0.7592051855276581,1.5875791776501456,0.6778104599908823,1.6689739031869215,4.722782924182507,1.1705602127149507e-5,1,111,19.387509805874508,2.4672502361596197e-5,"1","2","0.568937946792076","0.776220425612497","4.05271763227773e-11","2.99443601824319e-08","2112.5","2762","1463","0.000496248247485645","1.29710150759436e-12","0.232914933695968","-0.682273040101008","0.682273040101008","0.05","Wilcoxon rank sum test with continuity correction","NHST: reject null significance hypothesis that the effect is equal to zero 
TOST: don't reject null equivalence hypothesis"
"HandsOffAllow_Observed_score_23",-0.06167056986729058,2.3332273474893346,0.010930811402754405,-2.66907063843764,0.004510412079485195,90.12462077079928,0.05,-0.9185670095330314,0.9185670095330314,-0.5,0.5,-0.6720303174065402,0.548689177671959,-0.7912789695697083,0.6679378298351272,-0.1679216454741526,0.8670211689857905,1,101,0.5516751644714867,0.4593580765248316,"2","3","0.776220425612497","0.757697499547469","2.99443601824319e-08","6.22634914997001e-07","1311","1652","970","0.833752716067822","0.00569635785513374","0.0169763680173192","-0.918567009533031","0.918567009533031","0.05","Wilcoxon rank sum test with continuity correction","NHST: don't reject null significance hypothesis that the effect is equal to zero 
TOST: reject null equivalence hypothesis"
"LevelObserved_Instr_score_12",0.6535308953341747,4.941942937764615,1.8030019966681728e-6,-0.4937238076985469,0.31135854475123215,89.0296832455697,0.05,-0.7986063750523859,0.7986063750523859,-0.5,0.5,0.16512597778960114,1.1419358128787485,0.06968106014948483,1.2373807305188647,2.224109565033034,0.02867051866870115,1,111,9.874009912129821,0.002149770916313218,"1","2","0.643611877869084","0.742242656694845","5.57546048757162e-10","5.19872280325217e-09","1774","2221","1327","0.252084171841025","0.000100352676300762","0.0649124815475383","-0.798606375052386","0.798606375052386","0.05","Wilcoxon rank sum test with continuity correction","NHST: don't reject null significance hypothesis that the effect is equal to zero 
TOST: don't reject null equivalence hypothesis"
"LevelObserved_Instr_score_23",0.1807181889149092,2.875312385216735,0.0025782094020295925,-2.0562157803808447,0.021492400646834744,80.92469659307099,0.05,-1.0880485078414146,1.0880485078414146,-0.5,0.5,-0.5534988077677263,0.9149351855975447,-0.6972675799556047,1.0587039577854231,0.40954830241794504,0.6832193703249627,1,101,0.6806495431233593,0.4113074528958506,"2","3","0.742242656694845","0.762005235926391","5.19872280325217e-09","7.53013527789702e-07","1290.5","2007","667","0.949820425969236","4.2643228660072e-07","1.57121678734562e-05","-1.08804850784141","1.08804850784141","0.05","Wilcoxon rank sum test with continuity correction","NHST: don't reject null significance hypothesis that the effect is equal to zero 
TOST: reject null equivalence hypothesis"
