"startdate","Exp","HMI","VPCode","VPNr"
"2020-08-13 10:04:13",1,"LC","CL_RI_4",76
"2020-08-13 13:34:00",1,"LC","Ma_Ri_8",77
"2020-08-14 11:45:00",1,"LC","He_Ha_5",51
"2020-08-15 11:33:22",1,"LC","Co_Ca_16",52
"2020-08-19 07:55:00",1,"LC","Ir_Ro_9",53
"2020-08-19 13:36:52",1,"LC","BR_GO_14",54
"2020-08-19 16:09:30",1,"LC","BR_RO_20",55
"2020-08-21 07:31:00",1,"LC","ED_ER_2",56
"2020-08-21 09:54:58",1,"LC","GE_JO_1",57
"2020-08-22 10:35:42",1,"LC","Er_Mi_22",58
"2020-08-24 16:25:21",1,"LC","BO_SI_10",59
"2020-08-25 09:29:41",1,"LC","he_wo_19",60
"2020-08-25 12:31:08",1,"LC","In_Be_18",61
"2020-08-25 17:01:53",1,"LC","ed_ed_20",62
"2020-08-26 09:49:09",1,"LC","Ve_Ru_22",63
"2020-08-28 13:29:08",1,"LC","K_T_7",65
"2020-08-29 10:00:34",1,"LC","EL_RU_5",66
"2020-09-03 13:01:44",1,"LC","Bi_Er_22",67
"2020-09-03 16:07:19",1,"LC","XU_HU_28",68
"2020-09-14 08:19:43",1,"LC","GE_HA_23",69
"2020-09-15 10:10:20",1,"LC","EL_WA_31",70
"2020-09-15 12:46:59",1,"LC","GE_MA_24",71
"2020-09-17 12:15:00",1,"LC","So_Se_18",72
"2020-09-17 17:02:42",1,"LC","EL_AL_9",73
"2020-09-18 15:47:00",1,"LC","EL_WO_8",74
"2020-09-19 13:02:30",1,"LC","Lu_Be_08.09.1951",75
"2020-08-13 16:34:58",1,"HC","Sy_Jo_26",1
"2020-08-13 18:42:00",1,"HC","el_ru_16",2
"2020-08-14 14:47:00",1,"HC","gi_ro_3",3
"2020-08-15 09:30:25",1,"HC","Ga_Ud_17",4
"2020-08-15 13:11:01",1,"HC","HE_HE_21",5
"2020-08-19 10:16:00",1,"HC","ba_ot_28",6
"2020-08-20 08:40:00",1,"HC","Jo_Si_24",7
"2020-08-20 10:40:00",1,"HC","EL_KA_5",8
"2020-08-20 12:45:32",1,"HC","MB_GB_25",9
"2020-08-20 16:13:45",1,"HC","Sa_Ro_10",10
"2020-08-21 13:15:13",1,"HC","ir_je_7",11
"2020-08-21 16:33:33",1,"HC","Pe_An_23",12
"2020-08-25 08:00:02",1,"HC","LO_GO_18",13
"2020-08-25 14:06:52",1,"HC","SI_FL_17",14
"2020-08-26 11:18:26",1,"HC","el_wo_22",15
"2020-08-28 10:46:56",1,"HC","Ha_Kl_3",16
"2020-09-02 10:52:46",1,"HC","ma_th_20",17
"2020-09-03 08:48:05",1,"HC","MO_ED_3",18
"2020-09-03 10:33:09",1,"HC","BA_GE_4",19
"2020-09-04 10:36:40",1,"HC","MA_JO_29",20
"2020-09-09 16:21:45",1,"HC","Ra_Si_20",21
"2020-09-17 11:07:03",1,"HC","Ma_Gü_16",22
"2020-09-18 09:51:24",1,"HC","Si_Jü_19",23
"2020-09-18 17:13:10",1,"HC","KA_UL_5",24
"2020-09-19 11:30:21",1,"HC","HI_FR_23",25
"2020-09-19 16:19:29",1,"HC","CO_CA_23",26
"2020-10-01 08:32:56",2,"LC","Ma_Ro_06",53
"2020-10-01 10:35:21",2,"LC","An_Al_18",54
"2020-10-01 15:36:16",2,"LC","Ma_Ka_14.05.1997",56
"2020-10-02 08:36:06",2,"HC","Lu_LE_06",4
"2020-10-02 10:42:03",2,"HC","Fü_Be_24",5
"2020-10-02 13:40:15",2,"HC","Re_Os_15",6
"2020-10-02 15:37:31",2,"LC","SA_HA_02",57
"2020-10-05 08:41:32",2,"HC","An_Kn_05",7
"2020-10-05 10:37:56",2,"LC","In_Pe_97",58
"2020-10-05 13:35:17",2,"HC","Ch_Ku1_17",8
"2020-10-05 15:47:52",2,"LC","Ma_No_02",59
"2020-10-06 08:30:10",2,"HC","Ed_Gü_08",9
"2020-10-06 10:35:51",2,"HC","Ir_Di_22",10
"2020-10-06 13:25:49",2,"LC","Re_Be_05",60
"2020-10-06 15:34:45",2,"LC","Ma_No_05",61
"2020-10-08 08:40:37",2,"LC","FR_PE_10",62
"2020-10-08 10:33:28",2,"HC","Ro_Jo_10",11
"2020-10-08 15:37:05",2,"LC","Sa_Jü_04",63
"2020-10-09 08:44:08",2,"LC","PE_FR_16",64
"2020-10-09 13:39:35",2,"HC","Bi_Di_18",13
"2020-10-09 15:41:11",2,"HC","ge_vo_18",14
"2020-10-09 10:43:23",2,"LC","Si_Fr_12",65
"2020-10-12 08:36:27",2,"LC","Wa_Ma_09",66
"2020-10-12 10:43:43",2,"HC","Pe_Ma_19",15
"2020-10-12 13:37:46",2,"HC","Ly_Pe_02",16
"2020-10-12 15:33:18",2,"HC","Ha_Ke_20",17
"2020-10-13 08:38:47",2,"LC","El_Gu_0205",67
