"Exp","HMI","variable","n","0","1","2","3","4","5"
1,"1HC","Geschlecht",26,16,10,0,0,0,0
1,"1HC","NationGeb",0,0,0,0,0,0,0
1,"1HC","Sehhilfe",26,20,5,1,0,0,0
1,"1HC","SehhilfeAuto",0,0,0,0,0,0,0
1,"1HC","SehhilfeAutoJetzt",0,0,0,0,0,0,0
1,"1HC","SehhilfeLesen",0,0,0,0,0,0,0
1,"1HC","SehhilfeLesenJetzt",0,0,0,0,0,0,0
1,"1HC","Farbfehlsichtigkeit",26,26,0,0,0,0,0
1,"1HC","Wetter",0,0,0,0,0,0,0
1,"1HC","Licht",0,0,0,0,0,0,0
1,"1HC","Erfahrung",26,0,2,2,5,17,0
1,"1HC","KilometerJahr",26,4,9,8,5,0,0
1,"1HC","FAS.CC",26,6,20,0,0,0,0
1,"1HC","FAS.ACC",26,17,9,0,0,0,0
1,"1HC","FAS.LKA",26,11,15,0,0,0,0
1,"1HC","FAS.NoFAS",26,21,5,0,0,0,0
1,"1HC","OftCC",20,5,0,4,3,5,3
1,"1HC","OftACC",9,1,0,3,3,2,0
1,"1HC","OftLKA",15,5,0,2,2,6,0
1,"1HC","TC01_ER",26,0,26,0,0,0,0
1,"1HC","TC02_ER",26,0,22,1,0,0,3
1,"1HC","TC03_ER",26,0,1,7,5,0,13
1,"1HC","TC04_ER",26,0,15,4,5,0,2
1,"1HC","TC05_ER",26,0,15,5,5,0,1
1,"1HC","TC06_ER",26,0,18,3,3,2,0
1,"1HC","TC07_ER",26,0,24,1,1,0,0
1,"1HC","TC08_ER",26,0,22,3,1,0,0
1,"1HC","TC09_ER",26,0,19,6,0,1,0
1,"1HC","TC10_ER",26,0,1,12,7,4,2
1,"1HC","TC11_ER",26,0,17,7,2,0,0
1,"1HC","TC12_ER",26,0,7,15,2,2,0
1,"1HC","Trust",26,0,0,2,7,13,4
1,"1HC","Acceptance",26,0,0,3,3,12,8
1,"LC","Geschlecht",26,16,10,0,0,0,0
1,"LC","NationGeb",0,0,0,0,0,0,0
1,"LC","Sehhilfe",26,14,9,3,0,0,0
1,"LC","SehhilfeAuto",0,0,0,0,0,0,0
1,"LC","SehhilfeAutoJetzt",0,0,0,0,0,0,0
1,"LC","SehhilfeLesen",0,0,0,0,0,0,0
1,"LC","SehhilfeLesenJetzt",0,0,0,0,0,0,0
1,"LC","Farbfehlsichtigkeit",26,24,2,0,0,0,0
1,"LC","Wetter",0,0,0,0,0,0,0
1,"LC","Licht",0,0,0,0,0,0,0
1,"LC","Erfahrung",26,0,1,5,10,10,0
1,"LC","KilometerJahr",26,5,11,9,1,0,0
1,"LC","FAS.CC",26,8,18,0,0,0,0
1,"LC","FAS.ACC",26,20,6,0,0,0,0
1,"LC","FAS.LKA",26,16,10,0,0,0,0
1,"LC","FAS.NoFAS",26,18,8,0,0,0,0
1,"LC","OftCC",18,2,0,7,6,1,2
1,"LC","OftACC",6,1,0,3,2,0,0
1,"LC","OftLKA",10,4,0,3,1,2,0
1,"LC","TC01_ER",26,0,25,1,0,0,0
1,"LC","TC02_ER",26,0,20,1,1,1,3
1,"LC","TC03_ER",26,0,2,8,3,2,11
1,"LC","TC04_ER",26,0,12,13,0,1,0
1,"LC","TC05_ER",26,0,9,11,3,3,0
1,"LC","TC06_ER",26,0,19,3,0,4,0
1,"LC","TC07_ER",26,0,22,2,1,1,0
1,"LC","TC08_ER",26,0,20,5,1,0,0
1,"LC","TC09_ER",26,0,19,6,1,0,0
1,"LC","TC10_ER",26,0,1,12,2,4,7
1,"LC","TC11_ER",26,0,19,4,2,0,1
1,"LC","TC12_ER",26,0,4,11,3,6,2
1,"LC","Trust",26,0,1,6,5,11,3
1,"LC","Acceptance",26,0,1,5,3,10,7
2,"HC","Geschlecht",33,19,14,0,0,0,0
2,"HC","NationGeb",0,0,0,0,0,0,0
2,"HC","Sehhilfe",33,22,8,3,0,0,0
2,"HC","SehhilfeAuto",0,0,0,0,0,0,0
2,"HC","SehhilfeAutoJetzt",0,0,0,0,0,0,0
2,"HC","SehhilfeLesen",0,0,0,0,0,0,0
2,"HC","SehhilfeLesenJetzt",0,0,0,0,0,0,0
2,"HC","Farbfehlsichtigkeit",33,30,3,0,0,0,0
2,"HC","Wetter",33,2,13,13,5,0,0
2,"HC","Licht",33,7,24,2,0,0,0
2,"HC","Erfahrung",33,1,2,9,11,10,0
2,"HC","KilometerJahr",33,8,11,8,6,0,0
2,"HC","FAS.CC",33,7,26,0,0,0,0
2,"HC","FAS.ACC",33,18,15,0,0,0,0
2,"HC","FAS.LKA",33,16,17,0,0,0,0
2,"HC","FAS.NoFAS",33,27,6,0,0,0,0
2,"HC","OftCC",26,5,0,14,5,0,2
2,"HC","OftACC",15,9,0,5,0,0,1
2,"HC","OftLKA",17,9,0,6,0,2,0
2,"HC","TC01_ER",33,0,28,1,1,3,0
2,"HC","TC02_ER",33,0,25,2,4,2,0
2,"HC","TC03_ER",33,0,10,7,6,9,1
2,"HC","TC04_ER",33,0,23,3,2,5,0
2,"HC","TC05_ER",33,0,22,0,7,4,0
2,"HC","TC06_ER",33,0,24,5,4,0,0
2,"HC","TC07_ER",33,0,30,2,1,0,0
2,"HC","TC08_ER",33,0,30,0,2,1,0
2,"HC","TC09_ER",33,0,28,2,2,1,0
2,"HC","TC10_ER",33,0,8,15,8,2,0
2,"HC","TC11_ER",33,0,32,0,0,1,0
2,"HC","TC12_ER",33,0,25,7,1,0,0
2,"HC","Trust",33,0,2,2,8,18,3
2,"HC","Acceptance",33,0,0,2,7,13,11
2,"LC","Geschlecht",28,18,10,0,0,0,0
2,"LC","NationGeb",0,0,0,0,0,0,0
2,"LC","Sehhilfe",28,22,4,2,0,0,0
2,"LC","SehhilfeAuto",0,0,0,0,0,0,0
2,"LC","SehhilfeAutoJetzt",0,0,0,0,0,0,0
2,"LC","SehhilfeLesen",0,0,0,0,0,0,0
2,"LC","SehhilfeLesenJetzt",0,0,0,0,0,0,0
2,"LC","Farbfehlsichtigkeit",28,27,1,0,0,0,0
2,"LC","Wetter",28,3,11,10,4,0,0
2,"LC","Licht",28,7,16,5,0,0,0
2,"LC","Erfahrung",28,0,6,1,7,14,0
2,"LC","KilometerJahr",28,9,3,10,6,0,0
2,"LC","FAS.CC",28,3,25,0,0,0,0
2,"LC","FAS.ACC",28,19,9,0,0,0,0
2,"LC","FAS.LKA",28,13,15,0,0,0,0
2,"LC","FAS.NoFAS",28,25,3,0,0,0,0
2,"LC","OftCC",25,5,0,10,5,2,3
2,"LC","OftACC",9,1,0,4,1,1,2
2,"LC","OftLKA",15,6,0,5,1,1,2
2,"LC","TC01_ER",28,0,26,0,1,1,0
2,"LC","TC02_ER",28,0,17,1,5,3,2
2,"LC","TC03_ER",28,0,2,6,6,14,0
2,"LC","TC04_ER",28,0,14,3,0,11,0
2,"LC","TC05_ER",28,0,15,5,3,5,0
2,"LC","TC06_ER",28,0,17,1,4,5,1
2,"LC","TC07_ER",28,0,19,2,2,5,0
2,"LC","TC08_ER",28,0,19,2,2,5,0
2,"LC","TC09_ER",28,0,23,0,1,4,0
2,"LC","TC10_ER",28,0,4,7,5,6,6
2,"LC","TC11_ER",28,0,22,1,3,1,1
2,"LC","TC12_ER",28,0,5,10,4,5,4
2,"LC","Trust",28,0,3,4,4,9,8
2,"LC","Acceptance",28,0,1,3,3,5,16
3,"HC","Geschlecht",21,12,9,0,0,0,0
3,"HC","NationGeb",21,17,4,0,0,0,0
3,"HC","Sehhilfe",0,0,0,0,0,0,0
3,"HC","SehhilfeAuto",21,11,1,1,0,8,0
3,"HC","SehhilfeAutoJetzt",13,6,7,0,0,0,0
3,"HC","SehhilfeLesen",21,12,1,1,1,6,0
