"Exp","HMI","variable","n","0","1","2","3","4","5","6","7","8","9"
1,"HC","Deactivation",26,26,0,0,0,0,0,0,0,0,0
1,"LC","Deactivation",26,24,2,0,0,0,0,0,0,0,0
2,"HC","Deactivation",33,32,1,0,0,0,0,0,0,0,0
2,"LC","Deactivation",23,21,2,0,0,0,0,0,0,0,0
3,"HC","Deactivation",21,20,1,0,0,0,0,0,0,0,0
3,"LC","Deactivation",19,18,1,0,0,0,0,0,0,0,0
1,"HC","Hoff_n_warnings",26,26,0,0,0,0,0,0,0,0,0
1,"HC","Hoff_n_warnings_s1",26,26,0,0,0,0,0,0,0,0,0
1,"HC","Hoff_n_warnings_s2",26,26,0,0,0,0,0,0,0,0,0
1,"HC","Hoff_n_warnings_s3",26,26,0,0,0,0,0,0,0,0,0
1,"LC","Hoff_n_warnings",26,24,2,0,0,0,0,0,0,0,0
1,"LC","Hoff_n_warnings_s1",26,25,1,0,0,0,0,0,0,0,0
1,"LC","Hoff_n_warnings_s2",26,25,1,0,0,0,0,0,0,0,0
1,"LC","Hoff_n_warnings_s3",26,26,0,0,0,0,0,0,0,0,0
2,"HC","Hoff_n_warnings",33,24,5,1,2,0,0,0,0,0,1
2,"HC","Hoff_n_warnings_s1",33,24,6,0,2,0,0,0,0,1,0
2,"HC","Hoff_n_warnings_s2",33,31,2,0,0,0,0,0,0,0,0
2,"HC","Hoff_n_warnings_s3",33,33,0,0,0,0,0,0,0,0,0
2,"LC","Hoff_n_warnings",26,18,4,2,0,0,1,0,0,0,1
2,"LC","Hoff_n_warnings_s1",26,21,3,0,0,1,0,0,0,1,0
2,"LC","Hoff_n_warnings_s2",26,24,2,0,0,0,0,0,0,0,0
2,"LC","Hoff_n_warnings_s3",26,22,3,1,0,0,0,0,0,0,0
3,"HC","Hoff_n_warnings",21,15,4,2,0,0,0,0,0,0,0
3,"HC","Hoff_n_warnings_s1",21,15,5,1,0,0,0,0,0,0,0
3,"HC","Hoff_n_warnings_s2",21,20,1,0,0,0,0,0,0,0,0
3,"HC","Hoff_n_warnings_s3",21,21,0,0,0,0,0,0,0,0,0
3,"LC","Hoff_n_warnings",19,13,1,2,1,1,0,1,0,0,0
3,"LC","Hoff_n_warnings_s1",19,13,2,3,1,0,0,0,0,0,0
3,"LC","Hoff_n_warnings_s2",19,17,0,2,0,0,0,0,0,0,0
3,"LC","Hoff_n_warnings_s3",19,17,1,1,0,0,0,0,0,0,0
1,"HC","TC10_Action_1",26,0,10,9,7,0,0,0,0,0,0
1,"HC","TC10_Action_2",9,0,2,7,0,0,0,0,0,0,0
1,"HC","TC10_Action_3",7,0,2,4,1,0,0,0,0,0,0
1,"HC","TC10_Action_4",4,0,2,2,0,0,0,0,0,0,0
1,"HC","TC10_Action_5",2,0,0,1,1,0,0,0,0,0,0
1,"HC","TC10_Action_6",1,0,0,1,0,0,0,0,0,0,0
1,"HC","TC10_Action_7",1,0,1,0,0,0,0,0,0,0,0
1,"HC","TC12_Action_1",26,0,16,1,9,0,0,0,0,0,0
1,"HC","TC12_Action_2",4,0,1,0,3,0,0,0,0,0,0
1,"HC","TC12_Action_3",0,0,0,0,0,0,0,0,0,0,0
1,"HC","TC12_Action_4",0,0,0,0,0,0,0,0,0,0,0
1,"LC","TC10_Action_1",26,0,10,4,12,0,0,0,0,0,0
1,"LC","TC10_Action_2",5,0,2,2,1,0,0,0,0,0,0
1,"LC","TC10_Action_3",2,0,0,1,1,0,0,0,0,0,0
1,"LC","TC10_Action_4",2,0,2,0,0,0,0,0,0,0,0
1,"LC","TC10_Action_5",1,0,1,0,0,0,0,0,0,0,0
1,"LC","TC10_Action_6",0,0,0,0,0,0,0,0,0,0,0
1,"LC","TC10_Action_7",0,0,0,0,0,0,0,0,0,0,0
1,"LC","TC12_Action_1",26,0,10,2,14,0,0,0,0,0,0
1,"LC","TC12_Action_2",4,0,1,1,2,0,0,0,0,0,0
1,"LC","TC12_Action_3",2,0,1,0,1,0,0,0,0,0,0
1,"LC","TC12_Action_4",0,0,0,0,0,0,0,0,0,0,0
2,"HC","TC10_Action_1",32,0,9,6,17,0,0,0,0,0,0
2,"HC","TC10_Action_2",10,0,1,6,3,0,0,0,0,0,0
2,"HC","TC10_Action_3",7,0,3,3,1,0,0,0,0,0,0
2,"HC","TC10_Action_4",3,0,3,0,0,0,0,0,0,0,0
2,"HC","TC10_Action_5",0,0,0,0,0,0,0,0,0,0,0
2,"HC","TC10_Action_6",0,0,0,0,0,0,0,0,0,0,0
2,"HC","TC10_Action_7",0,0,0,0,0,0,0,0,0,0,0
2,"HC","TC12_Action_1",33,0,8,0,25,0,0,0,0,0,0
2,"HC","TC12_Action_2",3,0,1,0,2,0,0,0,0,0,0
2,"HC","TC12_Action_3",1,0,1,0,0,0,0,0,0,0,0
2,"HC","TC12_Action_4",0,0,0,0,0,0,0,0,0,0,0
2,"LC","TC10_Action_1",24,0,7,1,16,0,0,0,0,0,0
2,"LC","TC10_Action_2",6,0,1,1,4,0,0,0,0,0,0
2,"LC","TC10_Action_3",3,0,1,0,2,0,0,0,0,0,0
2,"LC","TC10_Action_4",1,0,0,0,1,0,0,0,0,0,0
2,"LC","TC10_Action_5",0,0,0,0,0,0,0,0,0,0,0
2,"LC","TC10_Action_6",0,0,0,0,0,0,0,0,0,0,0
2,"LC","TC10_Action_7",0,0,0,0,0,0,0,0,0,0,0
2,"LC","TC12_Action_1",23,0,7,2,14,0,0,0,0,0,0
2,"LC","TC12_Action_2",5,0,0,0,5,0,0,0,0,0,0
2,"LC","TC12_Action_3",1,0,0,0,1,0,0,0,0,0,0
2,"LC","TC12_Action_4",0,0,0,0,0,0,0,0,0,0,0
3,"HC","TC10_Action_1",21,0,4,1,16,0,0,0,0,0,0
3,"HC","TC10_Action_2",4,0,1,2,1,0,0,0,0,0,0
3,"HC","TC10_Action_3",1,0,0,0,1,0,0,0,0,0,0
3,"HC","TC10_Action_4",0,0,0,0,0,0,0,0,0,0,0
3,"HC","TC10_Action_5",0,0,0,0,0,0,0,0,0,0,0
3,"HC","TC10_Action_6",0,0,0,0,0,0,0,0,0,0,0
3,"HC","TC10_Action_7",0,0,0,0,0,0,0,0,0,0,0
3,"HC","TC12_Action_1",20,0,2,0,18,0,0,0,0,0,0
3,"HC","TC12_Action_2",0,0,0,0,0,0,0,0,0,0,0
3,"HC","TC12_Action_3",0,0,0,0,0,0,0,0,0,0,0
3,"HC","TC12_Action_4",0,0,0,0,0,0,0,0,0,0,0
3,"LC","TC10_Action_1",15,0,2,2,11,0,0,0,0,0,0
3,"LC","TC10_Action_2",4,0,0,0,3,1,0,0,0,0,0
3,"LC","TC10_Action_3",2,0,0,0,1,1,0,0,0,0,0
3,"LC","TC10_Action_4",1,0,0,0,1,0,0,0,0,0,0
3,"LC","TC10_Action_5",0,0,0,0,0,0,0,0,0,0,0
3,"LC","TC10_Action_6",0,0,0,0,0,0,0,0,0,0,0
3,"LC","TC10_Action_7",0,0,0,0,0,0,0,0,0,0,0
3,"LC","TC12_Action_1",16,0,4,0,12,0,0,0,0,0,0
3,"LC","TC12_Action_2",2,0,0,0,2,0,0,0,0,0,0
3,"LC","TC12_Action_3",0,0,0,0,0,0,0,0,0,0,0
3,"LC","TC12_Action_4",0,0,0,0,0,0,0,0,0,0,0
