"Exp","HMI","variable","n","0","1","2","3","4","5","6","7","8","9","10","11","12","13"
1,"HC","TC01_valid",22,0,22,0,0,0,0,0,0,0,0,0,0,0,0
1,"HC","TC01_lvl_start",22,22,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"HC","TC01_lvl_end",22,22,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"HC","TC04_valid",22,0,22,0,0,0,0,0,0,0,0,0,0,0,0
1,"HC","TC04_lvl_start",22,1,0,0,21,0,0,0,0,0,0,0,0,0,0
1,"HC","TC04_lvl_end",22,0,0,0,22,0,0,0,0,0,0,0,0,0,0
1,"HC","TC07_valid",22,0,22,0,0,0,0,0,0,0,0,0,0,0,0
1,"HC","TC07_lvl_start",22,0,0,22,0,0,0,0,0,0,0,0,0,0,0
1,"HC","TC07_lvl_end",22,0,0,22,0,0,0,0,0,0,0,0,0,0,0
1,"LC","TC01_valid",25,0,25,0,0,0,0,0,0,0,0,0,0,0,0
1,"LC","TC01_lvl_start",25,25,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"LC","TC01_lvl_end",25,25,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"LC","TC04_valid",25,0,25,0,0,0,0,0,0,0,0,0,0,0,0
1,"LC","TC04_lvl_start",25,1,0,0,24,0,0,0,0,0,0,0,0,0,0
1,"LC","TC04_lvl_end",25,0,0,0,25,0,0,0,0,0,0,0,0,0,0
1,"LC","TC07_valid",25,0,25,0,0,0,0,0,0,0,0,0,0,0,0
1,"LC","TC07_lvl_start",25,0,0,25,0,0,0,0,0,0,0,0,0,0,0
1,"LC","TC07_lvl_end",25,0,0,25,0,0,0,0,0,0,0,0,0,0,0
2,"HC","TC01_valid",32,5,27,0,0,0,0,0,0,0,0,0,0,0,0
2,"HC","TC01_lvl_start",27,27,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"HC","TC01_lvl_end",27,27,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"HC","TC04_valid",32,5,27,0,0,0,0,0,0,0,0,0,0,0,0
2,"HC","TC04_lvl_start",27,1,0,2,24,0,0,0,0,0,0,0,0,0,0
2,"HC","TC04_lvl_end",27,0,0,0,27,0,0,0,0,0,0,0,0,0,0
2,"HC","TC07_valid",32,0,32,0,0,0,0,0,0,0,0,0,0,0,0
2,"HC","TC07_lvl_start",32,0,0,32,0,0,0,0,0,0,0,0,0,0,0
2,"HC","TC07_lvl_end",32,0,0,32,0,0,0,0,0,0,0,0,0,0,0
2,"LC","TC01_valid",25,3,22,0,0,0,0,0,0,0,0,0,0,0,0
2,"LC","TC01_lvl_start",22,22,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"LC","TC01_lvl_end",22,22,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"LC","TC04_valid",25,11,14,0,0,0,0,0,0,0,0,0,0,0,0
2,"LC","TC04_lvl_start",14,0,0,1,13,0,0,0,0,0,0,0,0,0,0
2,"LC","TC04_lvl_end",14,0,0,0,14,0,0,0,0,0,0,0,0,0,0
2,"LC","TC07_valid",25,5,20,0,0,0,0,0,0,0,0,0,0,0,0
2,"LC","TC07_lvl_start",20,1,0,19,0,0,0,0,0,0,0,0,0,0,0
2,"LC","TC07_lvl_end",20,0,0,20,0,0,0,0,0,0,0,0,0,0,0
3,"HC","TC01_valid",20,1,19,0,0,0,0,0,0,0,0,0,0,0,0
3,"HC","TC01_lvl_start",19,19,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"HC","TC01_lvl_end",19,19,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"HC","TC04_valid",20,5,15,0,0,0,0,0,0,0,0,0,0,0,0
3,"HC","TC04_lvl_start",15,0,0,0,15,0,0,0,0,0,0,0,0,0,0
3,"HC","TC04_lvl_end",15,0,0,0,15,0,0,0,0,0,0,0,0,0,0
3,"HC","TC07_valid",20,0,20,0,0,0,0,0,0,0,0,0,0,0,0
3,"HC","TC07_lvl_start",20,0,0,20,0,0,0,0,0,0,0,0,0,0,0
3,"HC","TC07_lvl_end",20,0,0,20,0,0,0,0,0,0,0,0,0,0,0
3,"LC","TC01_valid",21,1,20,0,0,0,0,0,0,0,0,0,0,0,0
3,"LC","TC01_lvl_start",20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"LC","TC01_lvl_end",20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"LC","TC04_valid",21,9,12,0,0,0,0,0,0,0,0,0,0,0,0
3,"LC","TC04_lvl_start",12,0,0,0,12,0,0,0,0,0,0,0,0,0,0
3,"LC","TC04_lvl_end",12,0,0,0,12,0,0,0,0,0,0,0,0,0,0
3,"LC","TC07_valid",21,3,18,0,0,0,0,0,0,0,0,0,0,0,0
3,"LC","TC07_lvl_start",18,0,0,18,0,0,0,0,0,0,0,0,0,0,0
3,"LC","TC07_lvl_end",18,0,0,18,0,0,0,0,0,0,0,0,0,0,0
