"Exp","HMI","variable","n","0","1","2","3","4","5","6","7","8","9","10","11","12","13"
1,"HC","TC10_valid",26,4,22,0,0,0,0,0,0,0,0,0,0,0,0
1,"HC","TC10_lvl_notification",22,0,0,0,22,0,0,0,0,0,0,0,0,0,0
1,"HC","TC10_lvl_end",22,22,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"HC","TC10_EB_triggered",22,18,4,0,0,0,0,0,0,0,0,0,0,0,0
1,"HC","TC10_nth_gaze_to_ic",22,1,17,3,0,1,0,0,0,0,0,0,0,0,0
1,"HC","TC10_n_gazes_till_EB_or_TO",22,0,0,0,0,0,4,2,4,2,0,2,1,7,0
1,"HC","TC10_ic_glance_at_start",22,21,1,0,0,0,0,0,0,0,0,0,0,0,0
1,"HC","TC10_ic_n_glances_after_start",22,0,0,0,7,6,1,8,0,0,0,0,0,0,0
1,"HC","TC10_street_glance_at_start",22,20,2,0,0,0,0,0,0,0,0,0,0,0,0
1,"HC","TC10_street_n_glances_after_start",22,3,5,4,4,4,2,0,0,0,0,0,0,0,0
1,"HC","TC10_surt_glance_at_start",22,3,19,0,0,0,0,0,0,0,0,0,0,0,0
1,"HC","TC10_surt_n_glances_after_start",22,1,15,4,1,0,1,0,0,0,0,0,0,0,0
1,"HC","TC10_wheel_glance_at_start",22,22,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"HC","TC10_wheel_n_glances_after_start",22,4,7,9,1,0,1,0,0,0,0,0,0,0,0
1,"HC","TC12_valid",26,4,22,0,0,0,0,0,0,0,0,0,0,0,0
1,"HC","TC12_lvl_notification",22,0,0,0,22,0,0,0,0,0,0,0,0,0,0
1,"HC","TC12_lvl_end",22,22,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"HC","TC12_EB_triggered",22,14,8,0,0,0,0,0,0,0,0,0,0,0,0
1,"HC","TC12_nth_gaze_to_ic",22,1,21,0,0,0,0,0,0,0,0,0,0,0,0
1,"HC","TC12_n_gazes_till_EB_or_TO",22,0,1,1,11,1,5,1,2,0,0,0,0,0,0
1,"HC","TC12_ic_glance_at_start",22,21,1,0,0,0,0,0,0,0,0,0,0,0,0
1,"HC","TC12_ic_n_glances_after_start",22,0,3,11,7,1,0,0,0,0,0,0,0,0,0
1,"HC","TC12_street_glance_at_start",22,21,1,0,0,0,0,0,0,0,0,0,0,0,0
1,"HC","TC12_street_n_glances_after_start",22,6,11,4,1,0,0,0,0,0,0,0,0,0,0
1,"HC","TC12_surt_glance_at_start",22,2,20,0,0,0,0,0,0,0,0,0,0,0,0
1,"HC","TC12_surt_n_glances_after_start",22,2,18,2,0,0,0,0,0,0,0,0,0,0,0
1,"HC","TC12_wheel_glance_at_start",22,22,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"HC","TC12_wheel_n_glances_after_start",22,10,11,1,0,0,0,0,0,0,0,0,0,0,0
1,"LC","TC10_valid",26,1,25,0,0,0,0,0,0,0,0,0,0,0,0
1,"LC","TC10_lvl_notification",25,0,0,0,25,0,0,0,0,0,0,0,0,0,0
1,"LC","TC10_lvl_end",25,24,0,1,0,0,0,0,0,0,0,0,0,0,0
1,"LC","TC10_EB_triggered",25,13,12,0,0,0,0,0,0,0,0,0,0,0,0
1,"LC","TC10_nth_gaze_to_ic",22,1,20,0,1,0,0,0,0,0,0,0,0,0,0
1,"LC","TC10_n_gazes_till_EB_or_TO",25,3,1,0,7,2,3,1,2,2,0,0,0,4,0
1,"LC","TC10_ic_glance_at_start",25,24,1,0,0,0,0,0,0,0,0,0,0,0,0
1,"LC","TC10_ic_n_glances_after_start",25,3,1,11,3,3,0,3,1,0,0,0,0,0,0
1,"LC","TC10_street_glance_at_start",25,25,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"LC","TC10_street_n_glances_after_start",25,13,4,3,2,2,1,0,0,0,0,0,0,0,0
1,"LC","TC10_surt_glance_at_start",25,1,24,0,0,0,0,0,0,0,0,0,0,0,0
1,"LC","TC10_surt_n_glances_after_start",25,0,18,1,3,2,1,0,0,0,0,0,0,0,0
1,"LC","TC10_wheel_glance_at_start",25,25,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"LC","TC10_wheel_n_glances_after_start",25,13,10,2,0,0,0,0,0,0,0,0,0,0,0
1,"LC","TC12_valid",26,1,25,0,0,0,0,0,0,0,0,0,0,0,0
1,"LC","TC12_lvl_notification",25,0,0,0,25,0,0,0,0,0,0,0,0,0,0
1,"LC","TC12_lvl_end",25,25,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"LC","TC12_EB_triggered",25,12,13,0,0,0,0,0,0,0,0,0,0,0,0
1,"LC","TC12_nth_gaze_to_ic",25,4,18,1,0,0,0,0,0,0,0,0,0,0,0
1,"LC","TC12_n_gazes_till_EB_or_TO",25,2,4,4,5,3,3,1,1,0,1,0,1,0,0
1,"LC","TC12_ic_glance_at_start",25,21,4,0,0,0,0,0,0,0,0,0,0,0,0
1,"LC","TC12_ic_n_glances_after_start",25,2,6,10,4,1,1,1,0,0,0,0,0,0,0
1,"LC","TC12_street_glance_at_start",25,24,1,0,0,0,0,0,0,0,0,0,0,0,0
1,"LC","TC12_street_n_glances_after_start",25,11,11,0,3,0,0,0,0,0,0,0,0,0,0
1,"LC","TC12_surt_glance_at_start",25,5,20,0,0,0,0,0,0,0,0,0,0,0,0
1,"LC","TC12_surt_n_glances_after_start",25,5,18,1,0,0,0,1,0,0,0,0,0,0,0
1,"LC","TC12_wheel_glance_at_start",25,25,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"LC","TC12_wheel_n_glances_after_start",25,12,13,0,0,0,0,0,0,0,0,0,0,0,0
2,"HC","TC10_valid",33,2,31,0,0,0,0,0,0,0,0,0,0,0,0
2,"HC","TC10_lvl_notification",31,0,0,0,31,0,0,0,0,0,0,0,0,0,0
2,"HC","TC10_lvl_end",31,31,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"HC","TC10_EB_triggered",31,28,3,0,0,0,0,0,0,0,0,0,0,0,0
2,"HC","TC10_nth_gaze_to_ic",31,2,24,2,1,2,0,0,0,0,0,0,0,0,0
2,"HC","TC10_n_gazes_till_EB_or_TO",31,0,5,1,10,3,4,2,2,2,1,0,1,0,0
2,"HC","TC10_ic_glance_at_start",31,29,2,0,0,0,0,0,0,0,0,0,0,0,0
2,"HC","TC10_ic_n_glances_after_start",31,0,8,11,6,4,2,0,0,0,0,0,0,0,0
2,"HC","TC10_street_glance_at_start",31,28,3,0,0,0,0,0,0,0,0,0,0,0,0
2,"HC","TC10_street_n_glances_after_start",31,12,10,6,2,1,0,0,0,0,0,0,0,0,0
