"variable","Exp","HMI","n","n_notNA","mean","sd","median","min","max","frequencies"
"Deactivation",1,"HC",26,26,0,0,0,0,0,"0: 26, 1: 0"
"Deactivation",1,"LC",26,26,0.08,0.27,0,0,1,"0: 24, 1: 2"
"Deactivation",2,"HC",33,33,0.03,0.17,0,0,1,"0: 32, 1: 1"
"Deactivation",2,"LC",28,23,0.09,0.29,0,0,1,"0: 21, 1: 2"
"Deactivation",3,"HC",21,21,0.05,0.22,0,0,1,"0: 20, 1: 1"
"Deactivation",3,"LC",21,19,0.05,0.23,0,0,1,"0: 18, 1: 1"
"Hoff_n_warnings",1,"HC",26,26,0,0,0,0,0,"0: 26, 1: 0, 9: 0, 3: 0"
"Hoff_n_warnings",1,"LC",26,26,0.08,0.27,0,0,1,"0: 24, 1: 2, 9: 0, 3: 0"
"Hoff_n_warnings",2,"HC",33,33,0.67,1.71,0,0,9,"0: 24, 1: 5, 3: 2, 9: 1"
"Hoff_n_warnings",2,"LC",28,26,0.85,1.99,0,0,9,"0: 18, 1: 4, 2: 2, 9: 1"
"Hoff_n_warnings",3,"HC",21,21,0.38,0.67,0,0,2,"0: 15, 1: 4, 2: 2, 9: 0"
"Hoff_n_warnings",3,"LC",21,19,0.95,1.72,0,0,6,"0: 13, 2: 2, 1: 1, 3: 1"
"Hoff_n_warnings_s1",1,"HC",26,26,0,0,0,0,0,"0: 26, 1: 0, 8: 0, 3: 0"
"Hoff_n_warnings_s1",1,"LC",26,26,0.04,0.2,0,0,1,"0: 25, 1: 1, 8: 0, 3: 0"
"Hoff_n_warnings_s1",2,"HC",33,33,0.61,1.54,0,0,8,"0: 24, 1: 6, 3: 2, 8: 1"
"Hoff_n_warnings_s1",2,"LC",28,26,0.58,1.72,0,0,8,"0: 21, 1: 3, 8: 1, 4: 1"
"Hoff_n_warnings_s1",3,"HC",21,21,0.33,0.58,0,0,2,"0: 15, 1: 5, 2: 1, 8: 0"
"Hoff_n_warnings_s1",3,"LC",21,19,0.58,0.96,0,0,3,"0: 13, 2: 3, 1: 2, 3: 1"
"Hoff_n_warnings_s2",1,"HC",26,26,0,0,0,0,0,"0: 26, 1: 0, 2: 0"
"Hoff_n_warnings_s2",1,"LC",26,26,0.04,0.2,0,0,1,"0: 25, 1: 1, 2: 0"
"Hoff_n_warnings_s2",2,"HC",33,33,0.06,0.24,0,0,1,"0: 31, 1: 2, 2: 0"
"Hoff_n_warnings_s2",2,"LC",28,26,0.08,0.27,0,0,1,"0: 24, 1: 2, 2: 0"
"Hoff_n_warnings_s2",3,"HC",21,21,0.05,0.22,0,0,1,"0: 20, 1: 1, 2: 0"
"Hoff_n_warnings_s2",3,"LC",21,19,0.21,0.63,0,0,2,"0: 17, 2: 2, 1: 0"
"Hoff_n_warnings_s3",1,"HC",26,26,0,0,0,0,0,"0: 26, 1: 0, 2: 0"
"Hoff_n_warnings_s3",1,"LC",26,26,0,0,0,0,0,"0: 26, 1: 0, 2: 0"
"Hoff_n_warnings_s3",2,"HC",33,33,0,0,0,0,0,"0: 33, 1: 0, 2: 0"
"Hoff_n_warnings_s3",2,"LC",28,26,0.19,0.49,0,0,2,"0: 22, 1: 3, 2: 1"
"Hoff_n_warnings_s3",3,"HC",21,21,0,0,0,0,0,"0: 21, 1: 0, 2: 0"
"Hoff_n_warnings_s3",3,"LC",21,19,0.16,0.5,0,0,2,"0: 17, 1: 1, 2: 1"
"Hoff_WarningDuration_mean",1,"HC",26,0,NA,NA,NA,Inf,-Inf,NA
"Hoff_WarningDuration_mean",1,"LC",26,2,4.58,4.38,4.58,1.48,7.68,NA
"Hoff_WarningDuration_mean",2,"HC",33,9,3.36,1.59,3.27,1.7,7.1,NA
"Hoff_WarningDuration_mean",2,"LC",28,8,8.01,6.99,4.28,1.5,18.8,NA
"Hoff_WarningDuration_mean",3,"HC",21,6,3.86,2.16,3,1.9,7.55,NA
"Hoff_WarningDuration_mean",3,"LC",21,6,6.21,3.9,5.54,2,11.5,NA
"Hoff_WarningDuration_1",1,"HC",26,0,NA,NA,NA,Inf,-Inf,NA
"Hoff_WarningDuration_1",1,"LC",26,2,4.58,4.38,4.58,1.48,7.68,NA
"Hoff_WarningDuration_1",2,"HC",33,9,4.01,2.85,3.1,1.7,10.5,NA
"Hoff_WarningDuration_1",2,"LC",28,8,10.71,7.73,12.15,1.5,18.8,NA
"Hoff_WarningDuration_1",3,"HC",21,6,4.2,2.79,3,1.9,9.4,NA
"Hoff_WarningDuration_1",3,"LC",21,6,6.15,6.45,3.65,2,19,NA
"Hoff_WarningDuration_2",1,"HC",26,0,NA,NA,NA,Inf,-Inf,NA
"Hoff_WarningDuration_2",1,"LC",26,0,NA,NA,NA,Inf,-Inf,NA
"Hoff_WarningDuration_2",2,"HC",33,4,2.67,1.6,3.35,0.3,3.7,NA
"Hoff_WarningDuration_2",2,"LC",28,4,6.93,7.37,5.2,0.3,17,NA
"Hoff_WarningDuration_2",3,"HC",21,2,3.95,2.47,3.95,2.2,5.7,NA
"Hoff_WarningDuration_2",3,"LC",21,5,6.72,3.33,6.8,2.8,10,NA
"Hoff_WarningDuration_3",1,"HC",26,0,NA,NA,NA,Inf,-Inf,NA
"Hoff_WarningDuration_3",1,"LC",26,0,NA,NA,NA,Inf,-Inf,NA
"Hoff_WarningDuration_3",2,"HC",33,3,3.17,0.32,3.3,2.8,3.4,NA
"Hoff_WarningDuration_3",2,"LC",28,2,2.7,0.42,2.7,2.4,3,NA
"Hoff_WarningDuration_3",3,"HC",21,0,NA,NA,NA,Inf,-Inf,NA
"Hoff_WarningDuration_3",3,"LC",21,3,7.27,3.7,9.2,3,9.6,NA
"Hoff_WarningDuration_4",1,"HC",26,0,NA,NA,NA,Inf,-Inf,NA
"Hoff_WarningDuration_4",1,"LC",26,0,NA,NA,NA,Inf,-Inf,NA
"Hoff_WarningDuration_4",2,"HC",33,1,2.8,NA,2.8,2.8,2.8,NA
"Hoff_WarningDuration_4",2,"LC",28,2,2.2,0.14,2.2,2.1,2.3,NA
"Hoff_WarningDuration_4",3,"HC",21,0,NA,NA,NA,Inf,-Inf,NA
"Hoff_WarningDuration_4",3,"LC",21,2,9.65,10.96,9.65,1.9,17.4,NA
"Hoff_WarningDuration_5",1,"HC",26,0,NA,NA,NA,Inf,-Inf,NA
"Hoff_WarningDuration_5",1,"LC",26,0,NA,NA,NA,Inf,-Inf,NA
"Hoff_WarningDuration_5",2,"HC",33,1,2.8,NA,2.8,2.8,2.8,NA
"Hoff_WarningDuration_5",2,"LC",28,2,2.95,0.49,2.95,2.6,3.3,NA
"Hoff_WarningDuration_5",3,"HC",21,0,NA,NA,NA,Inf,-Inf,NA
"Hoff_WarningDuration_5",3,"LC",21,1,1.9,NA,1.9,1.9,1.9,NA
"Hoff_WarningDuration_6",1,"HC",26,0,NA,NA,NA,Inf,-Inf,NA
"Hoff_WarningDuration_6",1,"LC",26,0,NA,NA,NA,Inf,-Inf,NA
"Hoff_WarningDuration_6",2,"HC",33,1,5.2,NA,5.2,5.2,5.2,NA
"Hoff_WarningDuration_6",2,"LC",28,1,4.4,NA,4.4,4.4,4.4,NA
"Hoff_WarningDuration_6",3,"HC",21,0,NA,NA,NA,Inf,-Inf,NA
"Hoff_WarningDuration_6",3,"LC",21,1,16.7,NA,16.7,16.7,16.7,NA
"Hoff_WarningDuration_7",1,"HC",26,0,NA,NA,NA,Inf,-Inf,NA
"Hoff_WarningDuration_7",1,"LC",26,0,NA,NA,NA,Inf,-Inf,NA
"Hoff_WarningDuration_7",2,"HC",33,1,9.7,NA,9.7,9.7,9.7,NA
"Hoff_WarningDuration_7",2,"LC",28,1,2.5,NA,2.5,2.5,2.5,NA
"Hoff_WarningDuration_7",3,"HC",21,0,NA,NA,NA,Inf,-Inf,NA
"Hoff_WarningDuration_7",3,"LC",21,0,NA,NA,NA,Inf,-Inf,NA
"Hoff_WarningDuration_8",1,"HC",26,0,NA,NA,NA,Inf,-Inf,NA
"Hoff_WarningDuration_8",1,"LC",26,0,NA,NA,NA,Inf,-Inf,NA
"Hoff_WarningDuration_8",2,"HC",33,1,3,NA,3,3,3,NA
"Hoff_WarningDuration_8",2,"LC",28,1,2.4,NA,2.4,2.4,2.4,NA
"Hoff_WarningDuration_8",3,"HC",21,0,NA,NA,NA,Inf,-Inf,NA
"Hoff_WarningDuration_8",3,"LC",21,0,NA,NA,NA,Inf,-Inf,NA
"Hoff_WarningDuration_9",1,"HC",26,0,NA,NA,NA,Inf,-Inf,NA
"Hoff_WarningDuration_9",1,"LC",26,0,NA,NA,NA,Inf,-Inf,NA
"Hoff_WarningDuration_9",2,"HC",33,1,2.6,NA,2.6,2.6,2.6,NA
"Hoff_WarningDuration_9",2,"LC",28,1,2.6,NA,2.6,2.6,2.6,NA
"Hoff_WarningDuration_9",3,"HC",21,0,NA,NA,NA,Inf,-Inf,NA
"Hoff_WarningDuration_9",3,"LC",21,0,NA,NA,NA,Inf,-Inf,NA
"TC10_Action_1",1,"HC",26,26,1.88,0.82,2,1,3,"1: 10, 2: 9, 3: 7"
"TC10_Action_1",1,"LC",26,26,2.08,0.93,2,1,3,"3: 12, 1: 10, 2: 4"
"TC10_Action_1",2,"HC",33,32,2.25,0.88,3,1,3,"3: 17, 1: 9, 2: 6"
"TC10_Action_1",2,"LC",28,24,2.38,0.92,3,1,3,"3: 16, 1: 7, 2: 1"
"TC10_Action_1",3,"HC",21,21,2.57,0.81,3,1,3,"3: 16, 1: 4, 2: 1"
"TC10_Action_1",3,"LC",21,15,2.6,0.74,3,1,3,"3: 11, 1: 2, 2: 2"
"TC10_Action_2",1,"HC",26,9,1.78,0.44,2,1,2,"2: 7, 1: 2, 3: 0, 4: 0"
"TC10_Action_2",1,"LC",26,5,1.8,0.84,2,1,3,"1: 2, 2: 2, 3: 1, 4: 0"
"TC10_Action_2",2,"HC",33,10,2.2,0.63,2,1,3,"2: 6, 3: 3, 1: 1, 4: 0"
"TC10_Action_2",2,"LC",28,6,2.5,0.84,3,1,3,"3: 4, 1: 1, 2: 1, 4: 0"
"TC10_Action_2",3,"HC",21,4,2,0.82,2,1,3,"2: 2, 1: 1, 3: 1, 4: 0"
"TC10_Action_2",3,"LC",21,4,3.25,0.5,3,3,4,"3: 3, 4: 1, 1: 0, 2: 0"
"TC10_Action_3",1,"HC",26,7,1.86,0.69,2,1,3,"2: 4, 1: 2, 3: 1, 4: 0"
"TC10_Action_3",1,"LC",26,2,2.5,0.71,2.5,2,3,"2: 1, 3: 1, 1: 0, 4: 0"
"TC10_Action_3",2,"HC",33,7,1.71,0.76,2,1,3,"1: 3, 2: 3, 3: 1, 4: 0"
"TC10_Action_3",2,"LC",28,3,2.33,1.15,3,1,3,"3: 2, 1: 1, 2: 0, 4: 0"
"TC10_Action_3",3,"HC",21,1,3,NA,3,3,3,"3: 1, 1: 0, 2: 0, 4: 0"
"TC10_Action_3",3,"LC",21,2,3.5,0.71,3.5,3,4,"3: 1, 4: 1, 1: 0, 2: 0"
"TC10_Action_4",1,"HC",26,4,1.5,0.58,1.5,1,2,"1: 2, 2: 2, 3: 0"
"TC10_Action_4",1,"LC",26,2,1,0,1,1,1,"1: 2, 2: 0, 3: 0"
"TC10_Action_4",2,"HC",33,3,1,0,1,1,1,"1: 3, 2: 0, 3: 0"
"TC10_Action_4",2,"LC",28,1,3,NA,3,3,3,"3: 1, 1: 0, 2: 0"
"TC10_Action_4",3,"HC",21,0,NA,NA,NA,Inf,-Inf,"1: 0, 2: 0, 3: 0"
"TC10_Action_4",3,"LC",21,1,3,NA,3,3,3,"3: 1, 1: 0, 2: 0"
"TC10_Action_5",1,"HC",26,2,2.5,0.71,2.5,2,3,"2: 1, 3: 1, 1: 0"
"TC10_Action_5",1,"LC",26,1,1,NA,1,1,1,"1: 1, 2: 0, 3: 0"
"TC10_Action_5",2,"HC",33,0,NA,NA,NA,Inf,-Inf,"1: 0, 2: 0, 3: 0"
"TC10_Action_5",2,"LC",28,0,NA,NA,NA,Inf,-Inf,"1: 0, 2: 0, 3: 0"
"TC10_Action_5",3,"HC",21,0,NA,NA,NA,Inf,-Inf,"1: 0, 2: 0, 3: 0"
"TC10_Action_5",3,"LC",21,0,NA,NA,NA,Inf,-Inf,"1: 0, 2: 0, 3: 0"
"TC10_Action_6",1,"HC",26,1,2,NA,2,2,2,"2: 1"
"TC10_Action_6",1,"LC",26,0,NA,NA,NA,Inf,-Inf,"2: 0"
"TC10_Action_6",2,"HC",33,0,NA,NA,NA,Inf,-Inf,"2: 0"
"TC10_Action_6",2,"LC",28,0,NA,NA,NA,Inf,-Inf,"2: 0"
"TC10_Action_6",3,"HC",21,0,NA,NA,NA,Inf,-Inf,"2: 0"
"TC10_Action_6",3,"LC",21,0,NA,NA,NA,Inf,-Inf,"2: 0"
"TC10_Action_7",1,"HC",26,1,1,NA,1,1,1,"1: 1"
