"variable","Exp","HMI","n","n_notNA","mean","sd","median","min","max","frequencies"
"TC01_valid",1,"HC",22,22,1,0,1,1,1,"1: 22, 0: 0"
"TC01_valid",1,"LC",25,25,1,0,1,1,1,"1: 25, 0: 0"
"TC01_valid",2,"HC",32,32,0.84,0.37,1,0,1,"1: 27, 0: 5"
"TC01_valid",2,"LC",25,25,0.88,0.33,1,0,1,"1: 22, 0: 3"
"TC01_valid",3,"HC",20,20,0.95,0.22,1,0,1,"1: 19, 0: 1"
"TC01_valid",3,"LC",21,21,0.95,0.22,1,0,1,"1: 20, 0: 1"
"TC01_lvl_start",1,"HC",22,22,0,0,0,0,0,"0: 22"
"TC01_lvl_start",1,"LC",25,25,0,0,0,0,0,"0: 25"
"TC01_lvl_start",2,"HC",32,27,0,0,0,0,0,"0: 27"
"TC01_lvl_start",2,"LC",25,22,0,0,0,0,0,"0: 22"
"TC01_lvl_start",3,"HC",20,19,0,0,0,0,0,"0: 19"
"TC01_lvl_start",3,"LC",21,20,0,0,0,0,0,"0: 20"
"TC01_lvl_end",1,"HC",22,22,0,0,0,0,0,"0: 22"
"TC01_lvl_end",1,"LC",25,25,0,0,0,0,0,"0: 25"
"TC01_lvl_end",2,"HC",32,27,0,0,0,0,0,"0: 27"
"TC01_lvl_end",2,"LC",25,22,0,0,0,0,0,"0: 22"
"TC01_lvl_end",3,"HC",20,19,0,0,0,0,0,"0: 19"
"TC01_lvl_end",3,"LC",21,20,0,0,0,0,0,"0: 20"
"TC04_valid",1,"HC",22,22,1,0,1,1,1,"1: 22, 0: 0"
"TC04_valid",1,"LC",25,25,1,0,1,1,1,"1: 25, 0: 0"
"TC04_valid",2,"HC",32,32,0.84,0.37,1,0,1,"1: 27, 0: 5"
"TC04_valid",2,"LC",25,25,0.56,0.51,1,0,1,"1: 14, 0: 11"
"TC04_valid",3,"HC",20,20,0.75,0.44,1,0,1,"1: 15, 0: 5"
"TC04_valid",3,"LC",21,21,0.57,0.51,1,0,1,"1: 12, 0: 9"
"TC04_lvl_start",1,"HC",22,22,2.86,0.64,3,0,3,"3: 21, 0: 1, 2: 0"
"TC04_lvl_start",1,"LC",25,25,2.88,0.6,3,0,3,"3: 24, 0: 1, 2: 0"
"TC04_lvl_start",2,"HC",32,27,2.81,0.62,3,0,3,"3: 24, 2: 2, 0: 1"
"TC04_lvl_start",2,"LC",25,14,2.93,0.27,3,2,3,"3: 13, 2: 1, 0: 0"
"TC04_lvl_start",3,"HC",20,15,3,0,3,3,3,"3: 15, 0: 0, 2: 0"
"TC04_lvl_start",3,"LC",21,12,3,0,3,3,3,"3: 12, 0: 0, 2: 0"
"TC04_lvl_end",1,"HC",22,22,3,0,3,3,3,"3: 22"
"TC04_lvl_end",1,"LC",25,25,3,0,3,3,3,"3: 25"
"TC04_lvl_end",2,"HC",32,27,3,0,3,3,3,"3: 27"
"TC04_lvl_end",2,"LC",25,14,3,0,3,3,3,"3: 14"
"TC04_lvl_end",3,"HC",20,15,3,0,3,3,3,"3: 15"
"TC04_lvl_end",3,"LC",21,12,3,0,3,3,3,"3: 12"
"TC07_valid",1,"HC",22,22,1,0,1,1,1,"1: 22, 0: 0"
"TC07_valid",1,"LC",25,25,1,0,1,1,1,"1: 25, 0: 0"
"TC07_valid",2,"HC",32,32,1,0,1,1,1,"1: 32, 0: 0"
"TC07_valid",2,"LC",25,25,0.8,0.41,1,0,1,"1: 20, 0: 5"
"TC07_valid",3,"HC",20,20,1,0,1,1,1,"1: 20, 0: 0"
"TC07_valid",3,"LC",21,21,0.86,0.36,1,0,1,"1: 18, 0: 3"
"TC07_lvl_start",1,"HC",22,22,2,0,2,2,2,"2: 22, 0: 0"
"TC07_lvl_start",1,"LC",25,25,2,0,2,2,2,"2: 25, 0: 0"
"TC07_lvl_start",2,"HC",32,32,2,0,2,2,2,"2: 32, 0: 0"
"TC07_lvl_start",2,"LC",25,20,1.9,0.45,2,0,2,"2: 19, 0: 1"
"TC07_lvl_start",3,"HC",20,20,2,0,2,2,2,"2: 20, 0: 0"
"TC07_lvl_start",3,"LC",21,18,2,0,2,2,2,"2: 18, 0: 0"
"TC07_lvl_end",1,"HC",22,22,2,0,2,2,2,"2: 22"
"TC07_lvl_end",1,"LC",25,25,2,0,2,2,2,"2: 25"
"TC07_lvl_end",2,"HC",32,32,2,0,2,2,2,"2: 32"
"TC07_lvl_end",2,"LC",25,20,2,0,2,2,2,"2: 20"
"TC07_lvl_end",3,"HC",20,20,2,0,2,2,2,"2: 20"
"TC07_lvl_end",3,"LC",21,18,2,0,2,2,2,"2: 18"
"TC01_duration",1,"HC",22,22,70.91,2.77,70.59,65.71,78.65,NA
"TC01_duration",1,"LC",25,25,69.95,3.98,70.52,61.91,75.83,NA
"TC01_duration",2,"HC",32,27,69.86,4.29,69.86,62.3,81.51,NA
"TC01_duration",2,"LC",25,22,70.47,5.78,71.3,55.35,80.91,NA
"TC01_duration",3,"HC",20,19,68.75,4.54,69.9,56.59,74.2,NA
"TC01_duration",3,"LC",21,20,71.89,2.84,71.48,67.71,77.1,NA
"TC04_duration",1,"HC",22,22,71.58,3.3,72.05,58.65,78.01,NA
"TC04_duration",1,"LC",25,25,71.72,1.81,72.1,64.06,74.23,NA
"TC04_duration",2,"HC",32,27,73.43,3.8,74.09,62.74,83.22,NA
"TC04_duration",2,"LC",25,14,73.94,0.59,74.2,72.66,74.56,NA
"TC04_duration",3,"HC",20,15,74.5,2,74.9,67.7,76.93,NA
"TC04_duration",3,"LC",21,12,74.36,0.95,74.49,72.36,75.78,NA
"TC07_duration",1,"HC",22,22,71.7,0.55,71.81,69.89,72.5,NA
"TC07_duration",1,"LC",25,25,71.61,2.32,71.54,68.77,81.88,NA
"TC07_duration",2,"HC",32,32,73.9,1.65,74.26,65.35,75.17,NA
"TC07_duration",2,"LC",25,20,73.09,3.06,74.09,62.48,74.73,NA
"TC07_duration",3,"HC",20,20,74.01,2.1,74.67,66.79,75.49,NA
"TC07_duration",3,"LC",21,18,74.72,2.05,74.39,71.16,82.2,NA
"TC01_AR_surt",1,"HC",22,22,0.32,0.63,0,0,2.26,NA
"TC01_AR_surt",1,"LC",25,25,0,0,0,0,0,NA
"TC01_AR_surt",2,"HC",32,27,0.37,0.8,0,0,3.2,NA
"TC01_AR_surt",2,"LC",25,22,1.7,5.73,0,0,27.04,NA
"TC01_AR_surt",3,"HC",20,19,0.19,0.5,0,0,1.92,NA
"TC01_AR_surt",3,"LC",21,20,0.27,0.56,0,0,1.82,NA
"TC01_AR_street",1,"HC",22,22,71.02,11.79,72.23,46.6,89.5,NA
"TC01_AR_street",1,"LC",25,25,75.81,7.5,77.04,58.61,93.64,NA
"TC01_AR_street",2,"HC",32,27,64.08,17.43,66.02,1.1,85.82,NA
"TC01_AR_street",2,"LC",25,22,60.47,14.57,61.35,27.5,81.01,NA
"TC01_AR_street",3,"HC",20,19,64.33,17.87,68.33,19.18,90.5,NA
"TC01_AR_street",3,"LC",21,20,63.52,20.77,65.61,5.09,99.77,NA
"TC01_AR_ic",1,"HC",22,22,23.7,10.13,23.37,8.57,43.29,NA
"TC01_AR_ic",1,"LC",25,25,20.86,7.22,20.3,5.85,37.22,NA
"TC01_AR_ic",2,"HC",32,27,29.58,15.06,26.68,0,83.45,NA
"TC01_AR_ic",2,"LC",25,22,32.74,14.43,29.59,14.19,65.1,NA
"TC01_AR_ic",3,"HC",20,19,25.5,14.27,24.14,2.87,51.86,NA
"TC01_AR_ic",3,"LC",21,20,29.61,16.41,28.44,0,75.38,NA
"TC01_AR_wheel",1,"HC",22,22,0.89,2.79,0,0,12.97,NA
"TC01_AR_wheel",1,"LC",25,25,0.01,0.07,0,0,0.38,NA
"TC01_AR_wheel",2,"HC",32,27,0.05,0.18,0,0,0.76,NA
"TC01_AR_wheel",2,"LC",25,22,0.19,0.44,0,0,1.84,NA
"TC01_AR_wheel",3,"HC",20,19,0.15,0.51,0,0,2.12,NA
"TC01_AR_wheel",3,"LC",21,20,0.16,0.64,0,0,2.85,NA
"TC01_AR_sum",1,"HC",22,22,95.93,2.79,96.38,91.16,100.3,NA
"TC01_AR_sum",1,"LC",25,25,96.68,3.42,97.37,85.65,100.31,NA
"TC01_AR_sum",2,"HC",32,27,94.08,6.17,96.66,72.45,100.06,NA
"TC01_AR_sum",2,"LC",25,22,95.09,3.73,96.4,87.11,99.23,NA
"TC01_AR_sum",3,"HC",20,19,90.17,8.36,92.58,71.05,99.97,NA
"TC01_AR_sum",3,"LC",21,20,93.56,4.64,94.43,82.04,99.77,NA
"TC01_prop_L0",1,"HC",22,22,1,0,1,1,1,NA
"TC01_prop_L0",1,"LC",25,25,1,0,1,1,1,NA
"TC01_prop_L0",2,"HC",32,27,1,0,1,1,1,NA
"TC01_prop_L0",2,"LC",25,22,1,0,1,1,1,NA
"TC01_prop_L0",3,"HC",20,19,1,0,1,1,1,NA
"TC01_prop_L0",3,"LC",21,20,0.99,0.03,1,0.87,1,NA
"TC01_prop_L2",1,"HC",22,22,0,0,0,0,0,NA
"TC01_prop_L2",1,"LC",25,25,0,0,0,0,0,NA
"TC01_prop_L2",2,"HC",32,27,0,0,0,0,0,NA
"TC01_prop_L2",2,"LC",25,22,0,0,0,0,0,NA
"TC01_prop_L2",3,"HC",20,19,0,0,0,0,0,NA
"TC01_prop_L2",3,"LC",21,20,0,0.01,0,0,0.06,NA
"TC01_prop_L3",1,"HC",22,22,0,0,0,0,0,NA
"TC01_prop_L3",1,"LC",25,25,0,0,0,0,0,NA
"TC01_prop_L3",2,"HC",32,27,0,0,0,0,0,NA
"TC01_prop_L3",2,"LC",25,22,0,0,0,0,0,NA
"TC01_prop_L3",3,"HC",20,19,0,0,0,0,0,NA
"TC01_prop_L3",3,"LC",21,20,0,0.02,0,0,0.07,NA
"TC04_AR_surt",1,"HC",22,22,79.34,22.6,85.95,6.42,98.86,NA
"TC04_AR_surt",1,"LC",25,25,69.74,36.81,90.83,0.4,98.8,NA
"TC04_AR_surt",2,"HC",32,27,76.36,18.9,83.72,26.69,96.79,NA
"TC04_AR_surt",2,"LC",25,14,63.27,28.41,68.91,0,99.57,NA
"TC04_AR_surt",3,"HC",20,15,64.29,36.65,83.6,0,100,NA
"TC04_AR_surt",3,"LC",21,12,39.56,33.52,44.12,0,93.58,NA
"TC04_AR_street",1,"HC",22,22,9.14,16.43,4.38,0,76.8,NA
"TC04_AR_street",1,"LC",25,25,18.83,29.8,2.79,0,91.9,NA
"TC04_AR_street",2,"HC",32,27,10.69,10.52,7.06,1.36,46.87,NA
"TC04_AR_street",2,"LC",25,14,16.08,19.66,8.84,0,63.09,NA
"TC04_AR_street",3,"HC",20,15,19.24,24.7,8.09,0,71.08,NA
"TC04_AR_street",3,"LC",21,12,30.58,20.64,27.58,2.22,67.66,NA
