"variable","Exp","HMI","n","n_notNA","mean","sd","median","min","max","frequencies"
"TC10_valid",1,"HC",26,26,0.85,0.37,1,0,1,"1: 22, 0: 4"
"TC10_valid",1,"LC",26,26,0.96,0.2,1,0,1,"1: 25, 0: 1"
"TC10_valid",2,"HC",33,33,0.94,0.24,1,0,1,"1: 31, 0: 2"
"TC10_valid",2,"LC",28,28,0.86,0.36,1,0,1,"1: 24, 0: 4"
"TC10_valid",3,"HC",23,23,0.87,0.34,1,0,1,"1: 20, 0: 3"
"TC10_valid",3,"LC",19,19,0.84,0.37,1,0,1,"1: 16, 0: 3"
"TC10_lvl_notification",1,"HC",26,22,3,0,3,3,3,"3: 22"
"TC10_lvl_notification",1,"LC",26,25,3,0,3,3,3,"3: 25"
"TC10_lvl_notification",2,"HC",33,31,3,0,3,3,3,"3: 31"
"TC10_lvl_notification",2,"LC",28,24,3,0,3,3,3,"3: 24"
"TC10_lvl_notification",3,"HC",23,20,3,0,3,3,3,"3: 20"
"TC10_lvl_notification",3,"LC",19,16,3,0,3,3,3,"3: 16"
"TC10_lvl_end",1,"HC",26,22,0,0,0,0,0,"0: 22, 2: 0, 3: 0"
"TC10_lvl_end",1,"LC",26,25,0.08,0.4,0,0,2,"0: 24, 2: 1, 3: 0"
"TC10_lvl_end",2,"HC",33,31,0,0,0,0,0,"0: 31, 2: 0, 3: 0"
"TC10_lvl_end",2,"LC",28,24,0.25,0.85,0,0,3,"0: 22, 3: 2, 2: 0"
"TC10_lvl_end",3,"HC",23,20,0,0,0,0,0,"0: 20, 2: 0, 3: 0"
"TC10_lvl_end",3,"LC",19,16,0.19,0.75,0,0,3,"0: 15, 3: 1, 2: 0"
"TC10_EB_triggered",1,"HC",26,22,0.18,0.39,0,0,1,"0: 18, 1: 4"
"TC10_EB_triggered",1,"LC",26,25,0.48,0.51,0,0,1,"0: 13, 1: 12"
"TC10_EB_triggered",2,"HC",33,31,0.1,0.3,0,0,1,"0: 28, 1: 3"
"TC10_EB_triggered",2,"LC",28,24,0.54,0.51,1,0,1,"1: 13, 0: 11"
"TC10_EB_triggered",3,"HC",23,20,0.25,0.44,0,0,1,"0: 15, 1: 5"
"TC10_EB_triggered",3,"LC",19,16,0.75,0.45,1,0,1,"1: 12, 0: 4"
"TC10_nth_gaze_to_ic",1,"HC",26,22,1.23,0.75,1,0,4,"1: 17, 2: 3, 0: 1, 4: 1"
"TC10_nth_gaze_to_ic",1,"LC",26,22,1.05,0.49,1,0,3,"1: 20, 0: 1, 3: 1, 2: 0"
"TC10_nth_gaze_to_ic",2,"HC",33,31,1.26,0.89,1,0,4,"1: 24, 0: 2, 2: 2, 4: 2"
"TC10_nth_gaze_to_ic",2,"LC",28,19,1.74,1.52,1,1,5,"1: 15, 5: 3, 3: 1, 0: 0"
"TC10_nth_gaze_to_ic",3,"HC",23,18,1.5,1.25,1,0,5,"1: 13, 0: 1, 2: 1, 3: 1"
"TC10_nth_gaze_to_ic",3,"LC",19,8,2,1.2,2.5,0,3,"3: 4, 1: 2, 0: 1, 2: 1"
"TC10_n_gazes_till_EB_or_TO",1,"HC",26,22,8.68,2.82,8,5,12,"12: 7, 5: 4, 7: 4, 6: 2"
"TC10_n_gazes_till_EB_or_TO",1,"LC",26,25,5.16,3.78,4,0,12,"3: 7, 12: 4, 0: 3, 5: 3"
"TC10_n_gazes_till_EB_or_TO",2,"HC",33,31,4.23,2.54,3,1,11,"3: 10, 1: 5, 5: 4, 4: 3"
"TC10_n_gazes_till_EB_or_TO",2,"LC",28,24,5.46,3.2,5,0,12,"3: 6, 5: 3, 7: 3, 8: 3"
"TC10_n_gazes_till_EB_or_TO",3,"HC",23,20,3.1,1.89,3,0,7,"3: 6, 4: 4, 1: 3, 0: 2"
"TC10_n_gazes_till_EB_or_TO",3,"LC",19,16,3.12,2.28,3,0,8,"2: 4, 0: 3, 3: 3, 5: 3"
"TC10_ic_glance_at_start",1,"HC",26,22,0.05,0.21,0,0,1,"0: 21, 1: 1"
"TC10_ic_glance_at_start",1,"LC",26,25,0.04,0.2,0,0,1,"0: 24, 1: 1"
"TC10_ic_glance_at_start",2,"HC",33,31,0.06,0.25,0,0,1,"0: 29, 1: 2"
"TC10_ic_glance_at_start",2,"LC",28,24,0,0,0,0,0,"0: 24, 1: 0"
"TC10_ic_glance_at_start",3,"HC",23,20,0.05,0.22,0,0,1,"0: 19, 1: 1"
"TC10_ic_glance_at_start",3,"LC",19,16,0.06,0.25,0,0,1,"0: 15, 1: 1"
"TC10_ic_n_glances_after_start",1,"HC",26,22,4.45,1.3,4,3,6,"6: 8, 3: 7, 4: 6, 5: 1"
"TC10_ic_n_glances_after_start",1,"LC",26,25,2.76,1.9,2,0,7,"2: 11, 0: 3, 3: 3, 4: 3"
"TC10_ic_n_glances_after_start",2,"HC",33,31,2.39,1.2,2,1,5,"2: 11, 1: 8, 3: 6, 4: 4"
"TC10_ic_n_glances_after_start",2,"LC",28,24,2.17,1.71,2,0,6,"2: 8, 0: 5, 1: 3, 3: 3"
"TC10_ic_n_glances_after_start",3,"HC",23,20,1.5,0.76,2,0,3,"2: 10, 1: 7, 0: 2, 3: 1"
"TC10_ic_n_glances_after_start",3,"LC",19,16,1.06,1.29,0.5,0,4,"0: 8, 2: 4, 1: 2, 3: 1"
"TC10_street_glance_at_start",1,"HC",26,22,0.09,0.29,0,0,1,"0: 20, 1: 2"
"TC10_street_glance_at_start",1,"LC",26,25,0,0,0,0,0,"0: 25, 1: 0"
"TC10_street_glance_at_start",2,"HC",33,31,0.1,0.3,0,0,1,"0: 28, 1: 3"
"TC10_street_glance_at_start",2,"LC",28,24,0.17,0.38,0,0,1,"0: 20, 1: 4"
"TC10_street_glance_at_start",3,"HC",23,20,0.1,0.31,0,0,1,"0: 18, 1: 2"
"TC10_street_glance_at_start",3,"LC",19,16,0.06,0.25,0,0,1,"0: 15, 1: 1"
"TC10_street_n_glances_after_start",1,"HC",26,22,2.32,1.59,2,0,5,"1: 5, 2: 4, 3: 4, 4: 4"
"TC10_street_n_glances_after_start",1,"LC",26,25,1.16,1.55,0,0,5,"0: 13, 1: 4, 2: 3, 3: 2"
"TC10_street_n_glances_after_start",2,"HC",33,31,1.03,1.08,1,0,4,"0: 12, 1: 10, 2: 6, 3: 2"
"TC10_street_n_glances_after_start",2,"LC",28,24,1.96,1.65,1,0,6,"1: 9, 4: 5, 0: 4, 2: 3"
"TC10_street_n_glances_after_start",3,"HC",23,20,1.1,1.02,1,0,3,"0: 7, 1: 6, 2: 5, 3: 2"
"TC10_street_n_glances_after_start",3,"LC",19,16,1.19,1.05,1,0,3,"0: 5, 1: 5, 2: 4, 3: 2"
"TC10_surt_glance_at_start",1,"HC",26,22,0.86,0.35,1,0,1,"1: 19, 0: 3"
"TC10_surt_glance_at_start",1,"LC",26,25,0.96,0.2,1,0,1,"1: 24, 0: 1"
"TC10_surt_glance_at_start",2,"HC",33,31,0.84,0.37,1,0,1,"1: 26, 0: 5"
"TC10_surt_glance_at_start",2,"LC",28,24,0.83,0.38,1,0,1,"1: 20, 0: 4"
"TC10_surt_glance_at_start",3,"HC",23,20,0.75,0.44,1,0,1,"1: 15, 0: 5"
"TC10_surt_glance_at_start",3,"LC",19,16,0.88,0.34,1,0,1,"1: 14, 0: 2"
"TC10_surt_n_glances_after_start",1,"HC",26,22,1.41,1.01,1,0,5,"1: 15, 2: 4, 0: 1, 3: 1"
