"variable","Exp","HMI","n","mean","sd","median","min","max","frequencies"
"Trust",1,"HC",26,3.73,0.83,4,2,5,"4: 13, 3: 7, 5: 4, 2: 2"
"Trust",1,"LC",26,3.35,1.09,4,1,5,"4: 11, 2: 6, 3: 5, 5: 3"
"Trust",2,"HC",33,3.55,0.97,4,1,5,"4: 18, 3: 8, 5: 3, 1: 2"
"Trust",2,"LC",28,3.54,1.35,4,1,5,"4: 9, 5: 8, 2: 4, 3: 4"
"Trust",3,"HC",21,3.86,0.91,4,2,5,"4: 10, 5: 5, 3: 4, 2: 2"
"Trust",3,"LC",21,3.62,1.24,4,1,5,"5: 7, 3: 6, 4: 4, 2: 3"
"Acceptance",1,"HC",26,3.96,0.96,4,2,5,"4: 12, 5: 8, 2: 3, 3: 3"
"Acceptance",1,"LC",26,3.65,1.2,4,1,5,"4: 10, 5: 7, 2: 5, 3: 3"
"Acceptance",2,"HC",33,4,0.9,4,2,5,"4: 13, 5: 11, 3: 7, 2: 2"
"Acceptance",2,"LC",28,4.14,1.21,5,1,5,"5: 16, 4: 5, 2: 3, 3: 3"
"Acceptance",3,"HC",21,4.29,0.85,4,2,5,"5: 10, 4: 8, 3: 2, 2: 1"
"Acceptance",3,"LC",21,3.95,1.24,4,1,5,"5: 10, 3: 4, 4: 4, 2: 2"
"TC01_ER",1,"HC",26,1,0,1,1,1,"1: 26, 2: 0, 3: 0, 4: 0"
"TC01_ER",1,"LC",26,1.04,0.2,1,1,2,"1: 25, 2: 1, 3: 0, 4: 0"
"TC01_ER",2,"HC",33,1.36,0.93,1,1,4,"1: 28, 4: 3, 2: 1, 3: 1"
"TC01_ER",2,"LC",28,1.18,0.67,1,1,4,"1: 26, 3: 1, 4: 1, 2: 0"
"TC01_ER",3,"HC",21,1,0,1,1,1,"1: 21, 2: 0, 3: 0, 4: 0"
"TC01_ER",3,"LC",21,1,0,1,1,1,"1: 21, 2: 0, 3: 0, 4: 0"
"TC02_ER",1,"HC",26,1.5,1.3,1,1,5,"1: 22, 5: 3, 2: 1, 3: 0"
"TC02_ER",1,"LC",26,1.69,1.41,1,1,5,"1: 20, 5: 3, 2: 1, 3: 1"
"TC02_ER",2,"HC",33,1.48,0.94,1,1,4,"1: 25, 3: 4, 2: 2, 4: 2"
"TC02_ER",2,"LC",28,2,1.39,1,1,5,"1: 17, 3: 5, 4: 3, 5: 2"
"TC02_ER",3,"HC",21,1.52,0.81,1,1,3,"1: 14, 3: 4, 2: 3, 4: 0"
"TC02_ER",3,"LC",21,1.38,0.67,1,1,3,"1: 15, 2: 4, 3: 2, 4: 0"
"TC03_ER",1,"HC",26,3.65,1.44,4,1,5,"5: 13, 2: 7, 3: 5, 1: 1"
"TC03_ER",1,"LC",26,3.46,1.5,3.5,1,5,"5: 11, 2: 8, 3: 3, 1: 2"
