"variable","Exp","HMI","n","mean","sd","median","min","max","frequencies"
"Geschlecht",1,"HC",26,NA,NA,NA,NA,NA,"0: 16, 1: 10"
"Geschlecht",1,"LC",26,NA,NA,NA,NA,NA,"0: 16, 1: 10"
"Geschlecht",2,"HC",33,NA,NA,NA,NA,NA,"0: 19, 1: 14"
"Geschlecht",2,"LC",28,NA,NA,NA,NA,NA,"0: 18, 1: 10"
"Geschlecht",3,"HC",21,NA,NA,NA,NA,NA,"0: 12, 1: 9"
"Geschlecht",3,"LC",21,NA,NA,NA,NA,NA,"0: 11, 1: 10"
"NationGeb",1,"HC",0,NA,NA,NA,NA,NA,"0: 0, 1: 0"
"NationGeb",1,"LC",0,NA,NA,NA,NA,NA,"0: 0, 1: 0"
"NationGeb",2,"HC",0,NA,NA,NA,NA,NA,"0: 0, 1: 0"
"NationGeb",2,"LC",0,NA,NA,NA,NA,NA,"0: 0, 1: 0"
"NationGeb",3,"HC",21,NA,NA,NA,NA,NA,"0: 17, 1: 4"
"NationGeb",3,"LC",21,NA,NA,NA,NA,NA,"0: 15, 1: 6"
"Sehhilfe",1,"HC",26,NA,NA,NA,NA,NA,"0: 20, 1: 5, 2: 1"
"Sehhilfe",1,"LC",26,NA,NA,NA,NA,NA,"0: 14, 1: 9, 2: 3"
"Sehhilfe",2,"HC",33,NA,NA,NA,NA,NA,"0: 22, 1: 8, 2: 3"
"Sehhilfe",2,"LC",28,NA,NA,NA,NA,NA,"0: 22, 1: 4, 2: 2"
"Sehhilfe",3,"HC",0,NA,NA,NA,NA,NA,"0: 0, 1: 0, 2: 0"
"Sehhilfe",3,"LC",0,NA,NA,NA,NA,NA,"0: 0, 1: 0, 2: 0"
"SehhilfeAuto",1,"HC",0,NA,NA,NA,NA,NA,"0: 0, 1: 0, 2: 0, 3: 0"
"SehhilfeAuto",1,"LC",0,NA,NA,NA,NA,NA,"0: 0, 1: 0, 2: 0, 3: 0"
"SehhilfeAuto",2,"HC",0,NA,NA,NA,NA,NA,"0: 0, 1: 0, 2: 0, 3: 0"
"SehhilfeAuto",2,"LC",0,NA,NA,NA,NA,NA,"0: 0, 1: 0, 2: 0, 3: 0"
"SehhilfeAuto",3,"HC",21,NA,NA,NA,NA,NA,"0: 11, 4: 8, 1: 1, 2: 1"
"SehhilfeAuto",3,"LC",21,NA,NA,NA,NA,NA,"0: 13, 4: 7, 3: 1, 1: 0"
"SehhilfeAutoJetzt",1,"HC",0,NA,NA,NA,NA,NA,"0: 0, 1: 0"
"SehhilfeAutoJetzt",1,"LC",0,NA,NA,NA,NA,NA,"0: 0, 1: 0"
"SehhilfeAutoJetzt",2,"HC",0,NA,NA,NA,NA,NA,"0: 0, 1: 0"
"SehhilfeAutoJetzt",2,"LC",0,NA,NA,NA,NA,NA,"0: 0, 1: 0"
"SehhilfeAutoJetzt",3,"HC",13,NA,NA,NA,NA,NA,"1: 7, 0: 6"
"SehhilfeAutoJetzt",3,"LC",11,NA,NA,NA,NA,NA,"1: 7, 0: 4"
"SehhilfeLesen",1,"HC",0,NA,NA,NA,NA,NA,"0: 0, 1: 0, 2: 0, 3: 0"
"SehhilfeLesen",1,"LC",0,NA,NA,NA,NA,NA,"0: 0, 1: 0, 2: 0, 3: 0"
"SehhilfeLesen",2,"HC",0,NA,NA,NA,NA,NA,"0: 0, 1: 0, 2: 0, 3: 0"
"SehhilfeLesen",2,"LC",0,NA,NA,NA,NA,NA,"0: 0, 1: 0, 2: 0, 3: 0"
"SehhilfeLesen",3,"HC",21,NA,NA,NA,NA,NA,"0: 12, 4: 6, 1: 1, 2: 1"
"SehhilfeLesen",3,"LC",21,NA,NA,NA,NA,NA,"0: 11, 4: 6, 3: 2, 1: 1"
"SehhilfeLesenJetzt",1,"HC",0,NA,NA,NA,NA,NA,"0: 0, 1: 0"
"SehhilfeLesenJetzt",1,"LC",0,NA,NA,NA,NA,NA,"0: 0, 1: 0"
"SehhilfeLesenJetzt",2,"HC",0,NA,NA,NA,NA,NA,"0: 0, 1: 0"
"SehhilfeLesenJetzt",2,"LC",0,NA,NA,NA,NA,NA,"0: 0, 1: 0"
"SehhilfeLesenJetzt",3,"HC",13,NA,NA,NA,NA,NA,"1: 8, 0: 5"
"SehhilfeLesenJetzt",3,"LC",11,NA,NA,NA,NA,NA,"1: 7, 0: 4"
"Farbfehlsichtigkeit",1,"HC",26,NA,NA,NA,NA,NA,"0: 26, 1: 0"
"Farbfehlsichtigkeit",1,"LC",26,NA,NA,NA,NA,NA,"0: 24, 1: 2"
"Farbfehlsichtigkeit",2,"HC",33,NA,NA,NA,NA,NA,"0: 30, 1: 3"
"Farbfehlsichtigkeit",2,"LC",28,NA,NA,NA,NA,NA,"0: 27, 1: 1"
"Farbfehlsichtigkeit",3,"HC",21,NA,NA,NA,NA,NA,"0: 20, 1: 1"
"Farbfehlsichtigkeit",3,"LC",21,NA,NA,NA,NA,NA,"0: 21, 1: 0"
"Wetter",1,"HC",0,NA,NA,NA,NA,NA,"0: 0, 1: 0, 2: 0, 3: 0"
"Wetter",1,"LC",0,NA,NA,NA,NA,NA,"0: 0, 1: 0, 2: 0, 3: 0"
"Wetter",2,"HC",33,NA,NA,NA,NA,NA,"1: 13, 2: 13, 3: 5, 0: 2"
"Wetter",2,"LC",28,NA,NA,NA,NA,NA,"1: 11, 2: 10, 3: 4, 0: 3"
"Wetter",3,"HC",21,NA,NA,NA,NA,NA,"2: 10, 1: 7, 0: 4, 3: 0"
"Wetter",3,"LC",21,NA,NA,NA,NA,NA,"1: 8, 2: 8, 0: 3, 3: 2"
"Licht",1,"HC",0,NA,NA,NA,NA,NA,"0: 0, 1: 0, 2: 0"
"Licht",1,"LC",0,NA,NA,NA,NA,NA,"0: 0, 1: 0, 2: 0"
"Licht",2,"HC",33,NA,NA,NA,NA,NA,"1: 24, 0: 7, 2: 2"
"Licht",2,"LC",28,NA,NA,NA,NA,NA,"1: 16, 0: 7, 2: 5"
"Licht",3,"HC",21,NA,NA,NA,NA,NA,"1: 11, 0: 9, 2: 1"
"Licht",3,"LC",21,NA,NA,NA,NA,NA,"1: 11, 0: 7, 2: 3"
"Erfahrung",1,"HC",26,3.42,0.95,4,1,4,"4: 17, 3: 5, 1: 2, 2: 2"
"Erfahrung",1,"LC",26,3.12,0.86,3,1,4,"3: 10, 4: 10, 2: 5, 1: 1"
"Erfahrung",2,"HC",33,2.82,1.04,3,0,4,"3: 11, 4: 10, 2: 9, 1: 2"
"Erfahrung",2,"LC",28,3.04,1.2,3.5,1,4,"4: 14, 3: 7, 1: 6, 2: 1"
"Erfahrung",3,"HC",21,2.52,0.98,3,1,4,"3: 9, 2: 5, 1: 4, 4: 3"
"Erfahrung",3,"LC",21,2.14,1.31,2,0,4,"1: 9, 3: 6, 4: 4, 0: 1"
"KilometerJahr",1,"HC",26,1.54,0.99,1.5,0,3,"1: 9, 2: 8, 3: 5, 0: 4"
"KilometerJahr",1,"LC",26,1.23,0.82,1,0,3,"1: 11, 2: 9, 0: 5, 3: 1"
"KilometerJahr",2,"HC",33,1.36,1.06,1,0,3,"1: 11, 0: 8, 2: 8, 3: 6"
"KilometerJahr",2,"LC",28,1.46,1.17,2,0,3,"2: 10, 0: 9, 3: 6, 1: 3"
"KilometerJahr",3,"HC",21,0.76,0.83,1,0,3,"0: 9, 1: 9, 2: 2, 3: 1"
"KilometerJahr",3,"LC",21,0.71,0.96,0,0,3,"0: 12, 1: 4, 2: 4, 3: 1"
"FAS.CC",1,"HC",26,0.77,0.43,1,0,1,"1: 20, 0: 6"
"FAS.CC",1,"LC",26,0.69,0.47,1,0,1,"1: 18, 0: 8"
"FAS.CC",2,"HC",33,0.79,0.42,1,0,1,"1: 26, 0: 7"
